Siewierska, Anna. 2011. Alignment of Verbal Person Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 100A.
Available online at http://wals.info/feature/100A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Neutral	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
abu	Abun	1	Neutral	-0.500	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
adz	Adzera	1	Neutral	-6.250	146.250	Oceanic	Austronesian	Simple Clauses
abn	Arabana	1	Neutral	-28.250	136.250	Pama-Nyungan	Australian	Simple Clauses
ana	Araona	1	Neutral	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
awt	Awtuw	1	Neutral	-3.583	142.000	Ram	Sepik	Simple Clauses
bab	Babungo	1	Neutral	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bam	Bambara	1	Neutral	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
bnj	Bandjalang	1	Neutral	-28.750	153.000	Pama-Nyungan	Australian	Simple Clauses
bar	Bari	1	Neutral	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bri	Bribri	1	Neutral	9.417	-83.000	Talamanca	Chibchan	Simple Clauses
bro	Broken	1	Neutral	-10.167	143.000	Creoles and Pidgins	other	Simple Clauses
brm	Burmese	1	Neutral	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
mnd	Mandarin	1	Neutral	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
chr	Chrau	1	Neutral	10.750	107.500	Bahnaric	Austro-Asiatic	Simple Clauses
dga	Dagaare	1	Neutral	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dre	Drehu	1	Neutral	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
don	Dong	1	Neutral	27.000	109.000	Kam-Tai	Tai-Kadai	Simple Clauses
epe	Epena Pedee	1	Neutral	3.000	-77.000	Choco	Choco	Simple Clauses
gar	Garo	1	Neutral	25.667	90.500	Bodo-Garo	Sino-Tibetan	Simple Clauses
niv	Nivkh	1	Neutral	53.333	142.000	Nivkh	Nivkh	Simple Clauses
god	Godoberi	1	Neutral	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
grb	Grebo	1	Neutral	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
nbr	Ngäbere	1	Neutral	8.667	-82.000	Guaymi	Chibchan	Simple Clauses
gud	Gude	1	Neutral	10.417	13.417	Biu-Mandara	Afro-Asiatic	Simple Clauses
guu	Guugu Yimidhirr	1	Neutral	-15.000	144.833	Pama-Nyungan	Australian	Simple Clauses
hai	Haida	1	Neutral	53.000	-132.000	Haida	Haida	Simple Clauses
hmr	Hamer	1	Neutral	5.000	36.500	South Omotic	Afro-Asiatic	Simple Clauses
hau	Hausa	1	Neutral	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
hmo	Hmong Njua	1	Neutral	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
igb	Igbo	1	Neutral	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
imo	Imonda	1	Neutral	-3.333	141.167	Border	Border	Simple Clauses
ing	Ingush	1	Neutral	43.167	45.083	Nakh	Nakh-Daghestanian	Simple Clauses
jpn	Japanese	1	Neutral	37.000	140.000	Japanese	Japanese	Simple Clauses
qaw	Qawasqar	1	Neutral	-49.000	-75.000	Alacalufan	Alacalufan	Simple Clauses
kyl	Kayah Li (Eastern)	1	Neutral	19.000	97.500	Karen	Sino-Tibetan	Simple Clauses
kay	Kayardild	1	Neutral	-17.050	139.500	Tangkic	Australian	Simple Clauses
kha	Khalkha	1	Neutral	47.000	105.000	Mongolic	Altaic	Simple Clauses
khm	Khmer	1	Neutral	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	Neutral	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klk	Koh (Lakka)	1	Neutral	8.000	15.500	Adamawa	Niger-Congo	Simple Clauses
kor	Korean	1	Neutral	37.500	128.000	Korean	Korean	Simple Clauses
kch	Koyra Chiini	1	Neutral	17.000	-3.000	Songhay	Nilo-Saharan	Simple Clauses
mcr	Mauritian Creole	1	Neutral	-20.333	57.500	Creoles and Pidgins	other	Simple Clauses
kro	Krongo	1	Neutral	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kuk	Kukú	1	Neutral	5.833	31.667	Nilotic	Nilo-Saharan	Simple Clauses
lad	Ladakhi	1	Neutral	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lah	Lahu	1	Neutral	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Simple Clauses
lep	Lepcha	1	Neutral	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lez	Lezgian	1	Neutral	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
mle	Maale	1	Neutral	6.000	36.917	North Omotic	Afro-Asiatic	Simple Clauses
mal	Malagasy	1	Neutral	-20.000	47.000	Barito	Austronesian	Simple Clauses
mao	Maori	1	Neutral	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
mrt	Martuthunira	1	Neutral	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
mei	Meithei	1	Neutral	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mde	Mende	1	Neutral	7.833	-11.500	Western Mande	Niger-Congo	Simple Clauses
mlm	Mlabri (Minor)	1	Neutral	18.500	101.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
mum	Mumuye	1	Neutral	9.000	11.667	Adamawa	Niger-Congo	Simple Clauses
ndy	Ndyuka	1	Neutral	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
nup	Nupe	1	Neutral	9.167	5.417	Nupoid	Niger-Congo	Simple Clauses
pai	Paiwan	1	Neutral	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
rap	Rapanui	1	Neutral	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
sam	Samoan	1	Neutral	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
san	Sango	1	Neutral	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
snm	Sanuma	1	Neutral	4.500	-64.667	Yanomam	Yanomam	Simple Clauses
srm	Saramaccan	1	Neutral	4.500	-55.500	Creoles and Pidgins	other	Simple Clauses
saw	Sawu	1	Neutral	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Simple Clauses
shk	Shipibo-Konibo	1	Neutral	-7.500	-75.000	Panoan	Panoan	Simple Clauses
kse	Koyraboro Senni	1	Neutral	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
pso	Pomo (Southeastern)	1	Neutral	39.000	-122.500	Pomoan	Hokan	Simple Clauses
sun	Sundanese	1	Neutral	-7.000	107.000	Sundanese	Austronesian	Simple Clauses
sup	Supyire	1	Neutral	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
tag	Tagalog	1	Neutral	15.000	121.000	Meso-Philippine	Austronesian	Simple Clauses
tha	Thai	1	Neutral	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
uhi	Uradhi	1	Neutral	-11.917	142.417	Pama-Nyungan	Australian	Simple Clauses
vie	Vietnamese	1	Neutral	10.500	106.500	Viet-Muong	Austro-Asiatic	Simple Clauses
wap	Wappo	1	Neutral	38.500	-122.500	Wappo	Wappo-Yukian	Simple Clauses
wik	Wikchamni	1	Neutral	36.417	-119.083	Yokuts	Penutian	Simple Clauses
xok	Xokleng	1	Neutral	-24.500	-50.000	Ge-Kaingang	Macro-Ge	Simple Clauses
yaq	Yaqui	1	Neutral	27.500	-110.250	Cahita	Uto-Aztecan	Simple Clauses
yes	Yessan-Mayo	1	Neutral	-4.167	142.583	Tama Sepik	Sepik	Simple Clauses
yid	Yidiny	1	Neutral	-17.000	145.750	Pama-Nyungan	Australian	Simple Clauses
yor	Yoruba	1	Neutral	8.000	4.333	Defoid	Niger-Congo	Simple Clauses
zun	Zuni	1	Neutral	35.083	-108.833	Zuni	Zuni	Simple Clauses
abi	Abipón	2	Accusative	-29.000	-61.000	Guaicuruan	Guaicuruan	Simple Clauses
acm	Achumawi	2	Accusative	41.500	-121.000	Palaihnihan	Hokan	Simple Clauses
ala	Alamblak	2	Accusative	-4.667	143.333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	2	Accusative	41.000	20.000	Albanian	Indo-European	Simple Clauses
ame	Amele	2	Accusative	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
amh	Amharic	2	Accusative	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
anj	Anejom	2	Accusative	-20.200	169.800	Oceanic	Austronesian	Simple Clauses
ane	Anêm	2	Accusative	-5.583	149.083	Anêm	Anêm	Simple Clauses
ani	//Ani	2	Accusative	-18.917	21.917	Central Khoisan	Khoisan	Simple Clauses
aeg	Arabic (Egyptian)	2	Accusative	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
arm	Armenian (Eastern)	2	Accusative	40.000	45.000	Armenian	Indo-European	Simple Clauses
asm	Asmat	2	Accusative	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
au	Au	2	Accusative	-3.583	142.083	Wapei-Palei	Torricelli	Simple Clauses
bag	Bagirmi	2	Accusative	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
baa	Barai	2	Accusative	-9.333	148.083	Koiarian	Trans-New Guinea	Simple Clauses
brs	Barasano	2	Accusative	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
baw	Bawm	2	Accusative	22.500	92.250	Kuki-Chin	Sino-Tibetan	Simple Clauses
bej	Beja	2	Accusative	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
ber	Berta	2	Accusative	10.333	34.667	Berta	Nilo-Saharan	Simple Clauses
bln	Bilin	2	Accusative	15.750	38.500	Central Cushitic	Afro-Asiatic	Simple Clauses
brr	Bororo	2	Accusative	-16.000	-57.000	Bororo	Macro-Ge	Simple Clauses
brh	Brahui	2	Accusative	28.500	67.000	Northern Dravidian	Dravidian	Simple Clauses
brn	Burunge	2	Accusative	-5.333	36.000	Southern Cushitic	Afro-Asiatic	Simple Clauses
bya	Byansi	2	Accusative	30.167	80.500	Bodic	Sino-Tibetan	Simple Clauses
cah	Cahuilla	2	Accusative	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
can	Candoshi	2	Accusative	-4.167	-77.000	Candoshi	Candoshi	Simple Clauses
cap	Capanahua	2	Accusative	-7.000	-74.000	Panoan	Panoan	Simple Clauses
cbo	Chácobo	2	Accusative	-12.167	-66.750	Panoan	Panoan	Simple Clauses
mxc	Mixtec (Chalcatongo)	2	Accusative	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
cle	Chinantec (Lealao)	2	Accusative	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
cba	Chumash (Barbareño)	2	Accusative	34.500	-120.250	Chumash	Chumash	Simple Clauses
cmn	Comanche	2	Accusative	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
cmx	Comox	2	Accusative	50.167	-125.000	Central Salish	Salishan	Simple Clauses
tri	Trique (Copala)	2	Accusative	17.167	-97.917	Mixtecan	Oto-Manguean	Simple Clauses
cop	Coptic	2	Accusative	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cor	Cora	2	Accusative	22.167	-104.833	Corachol	Uto-Aztecan	Simple Clauses
cub	Cubeo	2	Accusative	1.333	-70.500	Tucanoan	Tucanoan	Simple Clauses
cri	Crimean Tatar	2	Accusative	45.000	34.083	Turkic	Altaic	Simple Clauses
dag	Daga	2	Accusative	-10.000	149.333	Dagan	Dagan	Simple Clauses
dgr	Dagur	2	Accusative	48.000	124.000	Mongolic	Altaic	Simple Clauses
dni	Dani (Lower Grand Valley)	2	Accusative	-4.333	138.833	Dani	Trans-New Guinea	Simple Clauses
dio	Diola-Fogny	2	Accusative	13.000	-16.250	Northern Atlantic	Niger-Congo	Simple Clauses
diz	Dizi	2	Accusative	6.167	36.500	North Omotic	Afro-Asiatic	Simple Clauses
