Dryer, Matthew S.. 2011. Expression of Pronominal Subjects.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 101A.
Available online at http://wals.info/feature/101A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Obligatory pronouns in subject position	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
kho	Khoekhoe	1	Obligatory pronouns in subject position	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
bus	Busa	1	Obligatory pronouns in subject position	9.667	4.000	Eastern Mande	Niger-Congo	Simple Clauses
mka	Mauka	1	Obligatory pronouns in subject position	8.333	-7.500	Western Mande	Niger-Congo	Simple Clauses
vai	Vai	1	Obligatory pronouns in subject position	6.917	-11.250	Western Mande	Niger-Congo	Simple Clauses
snn	Soninke	1	Obligatory pronouns in subject position	15.000	-10.500	Western Mande	Niger-Congo	Simple Clauses
sup	Supyire	1	Obligatory pronouns in subject position	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
moo	Mooré	1	Obligatory pronouns in subject position	12.833	-1.250	Gur	Niger-Congo	Simple Clauses
dga	Dagaare	1	Obligatory pronouns in subject position	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dgb	Dagbani	1	Obligatory pronouns in subject position	9.583	-0.500	Gur	Niger-Congo	Simple Clauses
bmb	Bimoba	1	Obligatory pronouns in subject position	10.500	0.000	Gur	Niger-Congo	Simple Clauses
ngb	Ngbaka	1	Obligatory pronouns in subject position	3.500	20.000	Ubangi	Niger-Congo	Simple Clauses
gwa	Gwari	1	Obligatory pronouns in subject position	9.500	7.000	Nupoid	Niger-Congo	Simple Clauses
egn	Engenni	1	Obligatory pronouns in subject position	5.167	6.383	Edoid	Niger-Congo	Simple Clauses
juk	Jukun	1	Obligatory pronouns in subject position	6.917	10.417	Platoid	Niger-Congo	Simple Clauses
bab	Babungo	1	Obligatory pronouns in subject position	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
non	Noni	1	Obligatory pronouns in subject position	6.417	10.583	Bantoid	Niger-Congo	Simple Clauses
