Siewierska, Anna. 2011. Verbal Person Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 102A.
Available online at http://wals.info/feature/102A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No person marking	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
abu	Abun	1	No person marking	-0.500	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
adz	Adzera	1	No person marking	-6.250	146.250	Oceanic	Austronesian	Simple Clauses
abn	Arabana	1	No person marking	-28.250	136.250	Pama-Nyungan	Australian	Simple Clauses
ana	Araona	1	No person marking	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
awt	Awtuw	1	No person marking	-3.583	142.000	Ram	Sepik	Simple Clauses
bab	Babungo	1	No person marking	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bam	Bambara	1	No person marking	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
bnj	Bandjalang	1	No person marking	-28.750	153.000	Pama-Nyungan	Australian	Simple Clauses
bar	Bari	1	No person marking	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bri	Bribri	1	No person marking	9.417	-83.000	Talamanca	Chibchan	Simple Clauses
bro	Broken	1	No person marking	-10.167	143.000	Creoles and Pidgins	other	Simple Clauses
brm	Burmese	1	No person marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
mnd	Mandarin	1	No person marking	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
chr	Chrau	1	No person marking	10.750	107.500	Bahnaric	Austro-Asiatic	Simple Clauses
dga	Dagaare	1	No person marking	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dre	Drehu	1	No person marking	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
epe	Epena Pedee	1	No person marking	3.000	-77.000	Choco	Choco	Simple Clauses
gar	Garo	1	No person marking	25.667	90.500	Bodo-Garo	Sino-Tibetan	Simple Clauses
niv	Nivkh	1	No person marking	53.333	142.000	Nivkh	Nivkh	Simple Clauses
god	Godoberi	1	No person marking	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
grb	Grebo	1	No person marking	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
nbr	Ngäbere	1	No person marking	8.667	-82.000	Guaymi	Chibchan	Simple Clauses
gud	Gude	1	No person marking	10.417	13.417	Biu-Mandara	Afro-Asiatic	Simple Clauses
guu	Guugu Yimidhirr	1	No person marking	-15.000	144.833	Pama-Nyungan	Australian	Simple Clauses
hai	Haida	1	No person marking	53.000	-132.000	Haida	Haida	Simple Clauses
hmr	Hamer	1	No person marking	5.000	36.500	South Omotic	Afro-Asiatic	Simple Clauses
hau	Hausa	1	No person marking	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
hmo	Hmong Njua	1	No person marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
igb	Igbo	1	No person marking	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
imo	Imonda	1	No person marking	-3.333	141.167	Border	Border	Simple Clauses
ing	Ingush	1	No person marking	43.167	45.083	Nakh	Nakh-Daghestanian	Simple Clauses
jpn	Japanese	1	No person marking	37.000	140.000	Japanese	Japanese	Simple Clauses
qaw	Qawasqar	1	No person marking	-49.000	-75.000	Alacalufan	Alacalufan	Simple Clauses
kyl	Kayah Li (Eastern)	1	No person marking	19.000	97.500	Karen	Sino-Tibetan	Simple Clauses
kay	Kayardild	1	No person marking	-17.050	139.500	Tangkic	Australian	Simple Clauses
kha	Khalkha	1	No person marking	47.000	105.000	Mongolic	Altaic	Simple Clauses
khm	Khmer	1	No person marking	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	No person marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klk	Koh (Lakka)	1	No person marking	8.000	15.500	Adamawa	Niger-Congo	Simple Clauses
kor	Korean	1	No person marking	37.500	128.000	Korean	Korean	Simple Clauses
kch	Koyra Chiini	1	No person marking	17.000	-3.000	Songhay	Nilo-Saharan	Simple Clauses
mcr	Mauritian Creole	1	No person marking	-20.333	57.500	Creoles and Pidgins	other	Simple Clauses
kro	Krongo	1	No person marking	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kuk	Kukú	1	No person marking	5.833	31.667	Nilotic	Nilo-Saharan	Simple Clauses
lad	Ladakhi	1	No person marking	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lah	Lahu	1	No person marking	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Simple Clauses
lep	Lepcha	1	No person marking	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lez	Lezgian	1	No person marking	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
mal	Malagasy	1	No person marking	-20.000	47.000	Barito	Austronesian	Simple Clauses
mao	Maori	1	No person marking	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
mrt	Martuthunira	1	No person marking	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
mei	Meithei	1	No person marking	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mde	Mende	1	No person marking	7.833	-11.500	Western Mande	Niger-Congo	Simple Clauses
mlm	Mlabri (Minor)	1	No person marking	18.500	101.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
mum	Mumuye	1	No person marking	9.000	11.667	Adamawa	Niger-Congo	Simple Clauses
ndy	Ndyuka	1	No person marking	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
nup	Nupe	1	No person marking	9.167	5.417	Nupoid	Niger-Congo	Simple Clauses
pai	Paiwan	1	No person marking	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
rap	Rapanui	1	No person marking	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
sam	Samoan	1	No person marking	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
san	Sango	1	No person marking	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
snm	Sanuma	1	No person marking	4.500	-64.667	Yanomam	Yanomam	Simple Clauses
srm	Saramaccan	1	No person marking	4.500	-55.500	Creoles and Pidgins	other	Simple Clauses
saw	Sawu	1	No person marking	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Simple Clauses
shk	Shipibo-Konibo	1	No person marking	-7.500	-75.000	Panoan	Panoan	Simple Clauses
kse	Koyraboro Senni	1	No person marking	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
pso	Pomo (Southeastern)	1	No person marking	39.000	-122.500	Pomoan	Hokan	Simple Clauses
sun	Sundanese	1	No person marking	-7.000	107.000	Sundanese	Austronesian	Simple Clauses
sup	Supyire	1	No person marking	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
tag	Tagalog	1	No person marking	15.000	121.000	Meso-Philippine	Austronesian	Simple Clauses
tha	Thai	1	No person marking	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
uhi	Uradhi	1	No person marking	-11.917	142.417	Pama-Nyungan	Australian	Simple Clauses
vie	Vietnamese	1	No person marking	10.500	106.500	Viet-Muong	Austro-Asiatic	Simple Clauses
wap	Wappo	1	No person marking	38.500	-122.500	Wappo	Wappo-Yukian	Simple Clauses
wik	Wikchamni	1	No person marking	36.417	-119.083	Yokuts	Penutian	Simple Clauses
xok	Xokleng	1	No person marking	-24.500	-50.000	Ge-Kaingang	Macro-Ge	Simple Clauses
yaq	Yaqui	1	No person marking	27.500	-110.250	Cahita	Uto-Aztecan	Simple Clauses
yes	Yessan-Mayo	1	No person marking	-4.167	142.583	Tama Sepik	Sepik	Simple Clauses
yid	Yidiny	1	No person marking	-17.000	145.750	Pama-Nyungan	Australian	Simple Clauses
yor	Yoruba	1	No person marking	8.000	4.333	Defoid	Niger-Congo	Simple Clauses
zun	Zuni	1	No person marking	35.083	-108.833	Zuni	Zuni	Simple Clauses
arm	Armenian (Eastern)	2	Only the A argument	40.000	45.000	Armenian	Indo-European	Simple Clauses
