Siewierska, Anna. 2011. Third Person Zero of Verbal Person Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 103A.
Available online at http://wals.info/feature/103A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No person marking	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
abu	Abun	1	No person marking	-0.500	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
adz	Adzera	1	No person marking	-6.250	146.250	Oceanic	Austronesian	Simple Clauses
ani	//Ani	1	No person marking	-18.917	21.917	Central Khoisan	Khoisan	Simple Clauses
abn	Arabana	1	No person marking	-28.250	136.250	Pama-Nyungan	Australian	Simple Clauses
ana	Araona	1	No person marking	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
awt	Awtuw	1	No person marking	-3.583	142.000	Ram	Sepik	Simple Clauses
bab	Babungo	1	No person marking	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bam	Bambara	1	No person marking	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
bnj	Bandjalang	1	No person marking	-28.750	153.000	Pama-Nyungan	Australian	Simple Clauses
bar	Bari	1	No person marking	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bri	Bribri	1	No person marking	9.417	-83.000	Talamanca	Chibchan	Simple Clauses
bro	Broken	1	No person marking	-10.167	143.000	Creoles and Pidgins	other	Simple Clauses
brm	Burmese	1	No person marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
mnd	Mandarin	1	No person marking	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
chr	Chrau	1	No person marking	10.750	107.500	Bahnaric	Austro-Asiatic	Simple Clauses
dga	Dagaare	1	No person marking	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dre	Drehu	1	No person marking	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
don	Dong	1	No person marking	27.000	109.000	Kam-Tai	Tai-Kadai	Simple Clauses
epe	Epena Pedee	1	No person marking	3.000	-77.000	Choco	Choco	Simple Clauses
gar	Garo	1	No person marking	25.667	90.500	Bodo-Garo	Sino-Tibetan	Simple Clauses
niv	Nivkh	1	No person marking	53.333	142.000	Nivkh	Nivkh	Simple Clauses
god	Godoberi	1	No person marking	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
grb	Grebo	1	No person marking	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
nbr	Ngäbere	1	No person marking	8.667	-82.000	Guaymi	Chibchan	Simple Clauses
gud	Gude	1	No person marking	10.417	13.417	Biu-Mandara	Afro-Asiatic	Simple Clauses
guu	Guugu Yimidhirr	1	No person marking	-15.000	144.833	Pama-Nyungan	Australian	Simple Clauses
hai	Haida	1	No person marking	53.000	-132.000	Haida	Haida	Simple Clauses
hmr	Hamer	1	No person marking	5.000	36.500	South Omotic	Afro-Asiatic	Simple Clauses
hau	Hausa	1	No person marking	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
hmo	Hmong Njua	1	No person marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hzb	Hunzib	1	No person marking	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
igb	Igbo	1	No person marking	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
imo	Imonda	1	No person marking	-3.333	141.167	Border	Border	Simple Clauses
ing	Ingush	1	No person marking	43.167	45.083	Nakh	Nakh-Daghestanian	Simple Clauses
jpn	Japanese	1	No person marking	37.000	140.000	Japanese	Japanese	Simple Clauses
qaw	Qawasqar	1	No person marking	-49.000	-75.000	Alacalufan	Alacalufan	Simple Clauses
kyl	Kayah Li (Eastern)	1	No person marking	19.000	97.500	Karen	Sino-Tibetan	Simple Clauses
kay	Kayardild	1	No person marking	-17.050	139.500	Tangkic	Australian	Simple Clauses
ker	Kera	1	No person marking	9.833	15.083	East Chadic	Afro-Asiatic	Simple Clauses
kha	Khalkha	1	No person marking	47.000	105.000	Mongolic	Altaic	Simple Clauses
khm	Khmer	1	No person marking	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	No person marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
kis	Kisi	1	No person marking	8.833	-10.167	Southern Atlantic	Niger-Congo	Simple Clauses
klk	Koh (Lakka)	1	No person marking	8.000	15.500	Adamawa	Niger-Congo	Simple Clauses
ijo	Ijo (Kolokuma)	1	No person marking	4.917	5.667	Ijoid	Niger-Congo	Simple Clauses
kor	Korean	1	No person marking	37.500	128.000	Korean	Korean	Simple Clauses
kch	Koyra Chiini	1	No person marking	17.000	-3.000	Songhay	Nilo-Saharan	Simple Clauses
mcr	Mauritian Creole	1	No person marking	-20.333	57.500	Creoles and Pidgins	other	Simple Clauses
kro	Krongo	1	No person marking	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kuk	Kukú	1	No person marking	5.833	31.667	Nilotic	Nilo-Saharan	Simple Clauses
lad	Ladakhi	1	No person marking	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lah	Lahu	1	No person marking	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Simple Clauses
lep	Lepcha	1	No person marking	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lez	Lezgian	1	No person marking	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
mle	Maale	1	No person marking	6.000	36.917	North Omotic	Afro-Asiatic	Simple Clauses
mal	Malagasy	1	No person marking	-20.000	47.000	Barito	Austronesian	Simple Clauses
mao	Maori	1	No person marking	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
mrt	Martuthunira	1	No person marking	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
mei	Meithei	1	No person marking	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mde	Mende	1	No person marking	7.833	-11.500	Western Mande	Niger-Congo	Simple Clauses
mlm	Mlabri (Minor)	1	No person marking	18.500	101.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
mum	Mumuye	1	No person marking	9.000	11.667	Adamawa	Niger-Congo	Simple Clauses
mup	Mupun	1	No person marking	9.500	8.833	West Chadic	Afro-Asiatic	Simple Clauses
kho	Khoekhoe	1	No person marking	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
ndy	Ndyuka	1	No person marking	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
noo	Noon	1	No person marking	14.833	-16.833	Northern Atlantic	Niger-Congo	Simple Clauses
nup	Nupe	1	No person marking	9.167	5.417	Nupoid	Niger-Congo	Simple Clauses
pai	Paiwan	1	No person marking	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
pny	Panyjima	1	No person marking	-22.833	118.417	Pama-Nyungan	Australian	Simple Clauses
rap	Rapanui	1	No person marking	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
sam	Samoan	1	No person marking	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
san	Sango	1	No person marking	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
snm	Sanuma	1	No person marking	4.500	-64.667	Yanomam	Yanomam	Simple Clauses
srm	Saramaccan	1	No person marking	4.500	-55.500	Creoles and Pidgins	other	Simple Clauses
saw	Sawu	1	No person marking	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Simple Clauses
sel	Selknam	1	No person marking	-53.000	-70.000	Chon Proper	Chon	Simple Clauses
sem	Sema	1	No person marking	26.000	94.500	Kuki-Chin	Sino-Tibetan	Simple Clauses
shk	Shipibo-Konibo	1	No person marking	-7.500	-75.000	Panoan	Panoan	Simple Clauses
kse	Koyraboro Senni	1	No person marking	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
pso	Pomo (Southeastern)	1	No person marking	39.000	-122.500	Pomoan	Hokan	Simple Clauses
sun	Sundanese	1	No person marking	-7.000	107.000	Sundanese	Austronesian	Simple Clauses
