Siewierska, Anna. 2011. Order of Person Markers on the Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 104A.
Available online at http://wals.info/feature/104A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	A and P do not or do not both occur on the verb	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
abu	Abun	1	A and P do not or do not both occur on the verb	-0.500	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
adz	Adzera	1	A and P do not or do not both occur on the verb	-6.250	146.250	Oceanic	Austronesian	Simple Clauses
anj	Anejom	1	A and P do not or do not both occur on the verb	-20.200	169.800	Oceanic	Austronesian	Simple Clauses
ani	//Ani	1	A and P do not or do not both occur on the verb	-18.917	21.917	Central Khoisan	Khoisan	Simple Clauses
abn	Arabana	1	A and P do not or do not both occur on the verb	-28.250	136.250	Pama-Nyungan	Australian	Simple Clauses
ana	Araona	1	A and P do not or do not both occur on the verb	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
arm	Armenian (Eastern)	1	A and P do not or do not both occur on the verb	40.000	45.000	Armenian	Indo-European	Simple Clauses
ata	Atayal	1	A and P do not or do not both occur on the verb	24.500	121.333	Atayalic	Austronesian	Simple Clauses
awp	Awa Pit	1	A and P do not or do not both occur on the verb	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
awt	Awtuw	1	A and P do not or do not both occur on the verb	-3.583	142.000	Ram	Sepik	Simple Clauses
bab	Babungo	1	A and P do not or do not both occur on the verb	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bam	Bambara	1	A and P do not or do not both occur on the verb	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
bnj	Bandjalang	1	A and P do not or do not both occur on the verb	-28.750	153.000	Pama-Nyungan	Australian	Simple Clauses
brs	Barasano	1	A and P do not or do not both occur on the verb	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
bar	Bari	1	A and P do not or do not both occur on the verb	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
brh	Brahui	1	A and P do not or do not both occur on the verb	28.500	67.000	Northern Dravidian	Dravidian	Simple Clauses
bri	Bribri	1	A and P do not or do not both occur on the verb	9.417	-83.000	Talamanca	Chibchan	Simple Clauses
bro	Broken	1	A and P do not or do not both occur on the verb	-10.167	143.000	Creoles and Pidgins	other	Simple Clauses
brm	Burmese	1	A and P do not or do not both occur on the verb	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
brn	Burunge	1	A and P do not or do not both occur on the verb	-5.333	36.000	Southern Cushitic	Afro-Asiatic	Simple Clauses
bya	Byansi	1	A and P do not or do not both occur on the verb	30.167	80.500	Bodic	Sino-Tibetan	Simple Clauses
ckr	Canela-Krahô	1	A and P do not or do not both occur on the verb	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
cap	Capanahua	1	A and P do not or do not both occur on the verb	-7.000	-74.000	Panoan	Panoan	Simple Clauses
cav	Cavineña	1	A and P do not or do not both occur on the verb	-13.333	-66.500	Tacanan	Tacanan	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	A and P do not or do not both occur on the verb	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
cha	Chamorro	1	A and P do not or do not both occur on the verb	13.450	144.750	Chamorro	Austronesian	Simple Clauses
cpn	Chepang	1	A and P do not or do not both occur on the verb	27.667	84.750	Bodic	Sino-Tibetan	Simple Clauses
cle	Chinantec (Lealao)	1	A and P do not or do not both occur on the verb	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
mnd	Mandarin	1	A and P do not or do not both occur on the verb	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
chr	Chrau	1	A and P do not or do not both occur on the verb	10.750	107.500	Bahnaric	Austro-Asiatic	Simple Clauses
tri	Trique (Copala)	1	A and P do not or do not both occur on the verb	17.167	-97.917	Mixtecan	Oto-Manguean	Simple Clauses
cop	Coptic	1	A and P do not or do not both occur on the verb	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cub	Cubeo	1	A and P do not or do not both occur on the verb	1.333	-70.500	Tucanoan	Tucanoan	Simple Clauses
cri	Crimean Tatar	1	A and P do not or do not both occur on the verb	45.000	34.083	Turkic	Altaic	Simple Clauses
dga	Dagaare	1	A and P do not or do not both occur on the verb	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dgr	Dagur	1	A and P do not or do not both occur on the verb	48.000	124.000	Mongolic	Altaic	Simple Clauses
dre	Drehu	1	A and P do not or do not both occur on the verb	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
diz	Dizi	1	A and P do not or do not both occur on the verb	6.167	36.500	North Omotic	Afro-Asiatic	Simple Clauses
tms	Tommo So	1	A and P do not or do not both occur on the verb	15.000	-3.000	Dogon	Niger-Congo	Simple Clauses
don	Dong	1	A and P do not or do not both occur on the verb	27.000	109.000	Kam-Tai	Tai-Kadai	Simple Clauses
nbd	Nubian (Dongolese)	1	A and P do not or do not both occur on the verb	18.250	30.750	Nubian	Nilo-Saharan	Simple Clauses
dut	Dutch	1	A and P do not or do not both occur on the verb	52.500	6.000	Germanic	Indo-European	Simple Clauses
eng	English	1	A and P do not or do not both occur on the verb	52.000	0.000	Germanic	Indo-European	Simple Clauses
epe	Epena Pedee	1	A and P do not or do not both occur on the verb	3.000	-77.000	Choco	Choco	Simple Clauses
eve	Evenki	1	A and P do not or do not both occur on the verb	56.000	125.000	Tungusic	Altaic	Simple Clauses
fin	Finnish	1	A and P do not or do not both occur on the verb	62.000	25.000	Finnic	Uralic	Simple Clauses
fre	French	1	A and P do not or do not both occur on the verb	48.000	2.000	Romance	Indo-European	Simple Clauses
fur	Fur	1	A and P do not or do not both occur on the verb	13.500	25.000	Fur	Nilo-Saharan	Simple Clauses
gar	Garo	1	A and P do not or do not both occur on the verb	25.667	90.500	Bodo-Garo	Sino-Tibetan	Simple Clauses
ger	German	1	A and P do not or do not both occur on the verb	52.000	10.000	Germanic	Indo-European	Simple Clauses
niv	Nivkh	1	A and P do not or do not both occur on the verb	53.333	142.000	Nivkh	Nivkh	Simple Clauses
god	Godoberi	1	A and P do not or do not both occur on the verb	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
grb	Grebo	1	A and P do not or do not both occur on the verb	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
nbr	Ngäbere	1	A and P do not or do not both occur on the verb	8.667	-82.000	Guaymi	Chibchan	Simple Clauses
gud	Gude	1	A and P do not or do not both occur on the verb	10.417	13.417	Biu-Mandara	Afro-Asiatic	Simple Clauses
guu	Guugu Yimidhirr	1	A and P do not or do not both occur on the verb	-15.000	144.833	Pama-Nyungan	Australian	Simple Clauses
hai	Haida	1	A and P do not or do not both occur on the verb	53.000	-132.000	Haida	Haida	Simple Clauses
hmr	Hamer	1	A and P do not or do not both occur on the verb	5.000	36.500	South Omotic	Afro-Asiatic	Simple Clauses
hat	Hatam	1	A and P do not or do not both occur on the verb	-1.000	134.000	Hatam	West Papuan	Simple Clauses
hau	Hausa	1	A and P do not or do not both occur on the verb	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	1	A and P do not or do not both occur on the verb	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	A and P do not or do not both occur on the verb	25.000	77.000	Indic	Indo-European	Simple Clauses
hmo	Hmong Njua	1	A and P do not or do not both occur on the verb	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hzb	Hunzib	1	A and P do not or do not both occur on the verb	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
igb	Igbo	1	A and P do not or do not both occur on the verb	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
imo	Imonda	1	A and P do not or do not both occur on the verb	-3.333	141.167	Border	Border	Simple Clauses
ind	Indonesian	1	A and P do not or do not both occur on the verb	0.000	106.000	Malayic	Austronesian	Simple Clauses
ing	Ingush	1	A and P do not or do not both occur on the verb	43.167	45.083	Nakh	Nakh-Daghestanian	Simple Clauses
iqu	Iquito	1	A and P do not or do not both occur on the verb	-3.250	-74.000	Zaparoan	Zaparoan	Simple Clauses
irq	Iraqw	1	A and P do not or do not both occur on the verb	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Simple Clauses
iri	Irish	1	A and P do not or do not both occur on the verb	53.000	-8.000	Celtic	Indo-European	Simple Clauses
ita	Italian	1	A and P do not or do not both occur on the verb	43.000	12.000	Romance	Indo-European	Simple Clauses
jpn	Japanese	1	A and P do not or do not both occur on the verb	37.000	140.000	Japanese	Japanese	Simple Clauses
jur	Jurchen	1	A and P do not or do not both occur on the verb	47.000	130.000	Tungusic	Altaic	Simple Clauses
kgu	Kalkatungu	1	A and P do not or do not both occur on the verb	-21.000	139.500	Pama-Nyungan	Australian	Simple Clauses
knd	Kannada	1	A and P do not or do not both occur on the verb	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
kna	Karitiâna	1	A and P do not or do not both occur on the verb	-9.500	-64.000	Arikem	Tupian	Simple Clauses
bkr	Batak (Karo)	1	A and P do not or do not both occur on the verb	3.250	98.250	Sumatra	Austronesian	Simple Clauses
qaw	Qawasqar	1	A and P do not or do not both occur on the verb	-49.000	-75.000	Alacalufan	Alacalufan	Simple Clauses
kyl	Kayah Li (Eastern)	1	A and P do not or do not both occur on the verb	19.000	97.500	Karen	Sino-Tibetan	Simple Clauses
kay	Kayardild	1	A and P do not or do not both occur on the verb	-17.050	139.500	Tangkic	Australian	Simple Clauses
ker	Kera	1	A and P do not or do not both occur on the verb	9.833	15.083	East Chadic	Afro-Asiatic	Simple Clauses
kew	Kewa	1	A and P do not or do not both occur on the verb	-6.500	143.833	Engan	Trans-New Guinea	Simple Clauses
kha	Khalkha	1	A and P do not or do not both occur on the verb	47.000	105.000	Mongolic	Altaic	Simple Clauses
khs	Khasi	1	A and P do not or do not both occur on the verb	25.500	92.000	Khasian	Austro-Asiatic	Simple Clauses
khm	Khmer	1	A and P do not or do not both occur on the verb	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	A and P do not or do not both occur on the verb	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
kio	Kiowa	1	A and P do not or do not both occur on the verb	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Simple Clauses
kis	Kisi	1	A and P do not or do not both occur on the verb	8.833	-10.167	Southern Atlantic	Niger-Congo	Simple Clauses
kob	Kobon	1	A and P do not or do not both occur on the verb	-5.167	144.333	Madang	Trans-New Guinea	Simple Clauses
klk	Koh (Lakka)	1	A and P do not or do not both occur on the verb	8.000	15.500	Adamawa	Niger-Congo	Simple Clauses
ijo	Ijo (Kolokuma)	1	A and P do not or do not both occur on the verb	4.917	5.667	Ijoid	Niger-Congo	Simple Clauses
kor	Korean	1	A and P do not or do not both occur on the verb	37.500	128.000	Korean	Korean	Simple Clauses
kch	Koyra Chiini	1	A and P do not or do not both occur on the verb	17.000	-3.000	Songhay	Nilo-Saharan	Simple Clauses
mcr	Mauritian Creole	1	A and P do not or do not both occur on the verb	-20.333	57.500	Creoles and Pidgins	other	Simple Clauses
kro	Krongo	1	A and P do not or do not both occur on the verb	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kuk	Kukú	1	A and P do not or do not both occur on the verb	5.833	31.667	Nilotic	Nilo-Saharan	Simple Clauses
lad	Ladakhi	1	A and P do not or do not both occur on the verb	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lah	Lahu	1	A and P do not or do not both occur on the verb	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Simple Clauses
lak	Lak	1	A and P do not or do not both occur on the verb	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Simple Clauses
lat	Latvian	1	A and P do not or do not both occur on the verb	57.000	24.000	Baltic	Indo-European	Simple Clauses
lep	Lepcha	1	A and P do not or do not both occur on the verb	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lez	Lezgian	1	A and P do not or do not both occur on the verb	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
mle	Maale	1	A and P do not or do not both occur on the verb	6.000	36.917	North Omotic	Afro-Asiatic	Simple Clauses
wma	West Makian	1	A and P do not or do not both occur on the verb	0.500	127.583	North Halmaheran	West Papuan	Simple Clauses
mal	Malagasy	1	A and P do not or do not both occur on the verb	-20.000	47.000	Barito	Austronesian	Simple Clauses
mao	Maori	1	A and P do not or do not both occur on the verb	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
mrt	Martuthunira	1	A and P do not or do not both occur on the verb	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
may	Maybrat	1	A and P do not or do not both occur on the verb	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
mei	Meithei	1	A and P do not or do not both occur on the verb	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mde	Mende	1	A and P do not or do not both occur on the verb	7.833	-11.500	Western Mande	Niger-Congo	Simple Clauses
mis	Miskito	1	A and P do not or do not both occur on the verb	14.000	-83.667	Misumalpan	Misumalpan	Simple Clauses
mlm	Mlabri (Minor)	1	A and P do not or do not both occur on the verb	18.500	101.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
mne	Maidu (Northeast)	1	A and P do not or do not both occur on the verb	40.000	-120.667	Maiduan	Penutian	Simple Clauses
mum	Mumuye	1	A and P do not or do not both occur on the verb	9.000	11.667	Adamawa	Niger-Congo	Simple Clauses
mup	Mupun	1	A and P do not or do not both occur on the verb	9.500	8.833	West Chadic	Afro-Asiatic	Simple Clauses
nad	Nadëb	1	A and P do not or do not both occur on the verb	-1.000	-66.500	Nadahup	Nadahup	Simple Clauses
nak	Nakanai	1	A and P do not or do not both occur on the verb	-5.583	150.583	Oceanic	Austronesian	Simple Clauses
kho	Khoekhoe	1	A and P do not or do not both occur on the verb	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
ndy	Ndyuka	1	A and P do not or do not both occur on the verb	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
nen	Nenets	1	A and P do not or do not both occur on the verb	69.000	72.000	Samoyedic	Uralic	Simple Clauses
noo	Noon	1	A and P do not or do not both occur on the verb	14.833	-16.833	Northern Atlantic	Niger-Congo	Simple Clauses
nuu	Nuuchahnulth	1	A and P do not or do not both occur on the verb	49.667	-126.667	Southern Wakashan	Wakashan	Simple Clauses
nup	Nupe	1	A and P do not or do not both occur on the verb	9.167	5.417	Nupoid	Niger-Congo	Simple Clauses
orh	Oromo (Harar)	1	A and P do not or do not both occur on the verb	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Simple Clauses
pai	Paiwan	1	A and P do not or do not both occur on the verb	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
plk	Palikur	1	A and P do not or do not both occur on the verb	3.000	-51.000	Arawakan	Arawakan	Simple Clauses
pny	Panyjima	1	A and P do not or do not both occur on the verb	-22.833	118.417	Pama-Nyungan	Australian	Simple Clauses
pau	Paumarí	1	A and P do not or do not both occur on the verb	-6.000	-64.000	Arauan	Arauan	Simple Clauses
pol	Polish	1	A and P do not or do not both occur on the verb	52.000	20.000	Slavic	Indo-European	Simple Clauses
ram	Rama	1	A and P do not or do not both occur on the verb	11.750	-83.750	Rama	Chibchan	Simple Clauses
rap	Rapanui	1	A and P do not or do not both occur on the verb	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
rem	Remo	1	A and P do not or do not both occur on the verb	18.000	82.000	Munda	Austro-Asiatic	Simple Clauses
rus	Russian	1	A and P do not or do not both occur on the verb	56.000	38.000	Slavic	Indo-European	Simple Clauses
syu	Salt-Yui	1	A and P do not or do not both occur on the verb	-6.283	145.033	Chimbu	Trans-New Guinea	Simple Clauses
sam	Samoan	1	A and P do not or do not both occur on the verb	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
san	Sango	1	A and P do not or do not both occur on the verb	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
snm	Sanuma	1	A and P do not or do not both occur on the verb	4.500	-64.667	Yanomam	Yanomam	Simple Clauses
srm	Saramaccan	1	A and P do not or do not both occur on the verb	4.500	-55.500	Creoles and Pidgins	other	Simple Clauses
saw	Sawu	1	A and P do not or do not both occur on the verb	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Simple Clauses
sel	Selknam	1	A and P do not or do not both occur on the verb	-53.000	-70.000	Chon Proper	Chon	Simple Clauses
sem	Sema	1	A and P do not or do not both occur on the verb	26.000	94.500	Kuki-Chin	Sino-Tibetan	Simple Clauses
sml	Semelai	1	A and P do not or do not both occur on the verb	3.000	103.000	Aslian	Austro-Asiatic	Simple Clauses
shk	Shipibo-Konibo	1	A and P do not or do not both occur on the verb	-7.500	-75.000	Panoan	Panoan	Simple Clauses
so	So	1	A and P do not or do not both occur on the verb	2.583	34.750	Kuliak	Nilo-Saharan	Simple Clauses
kse	Koyraboro Senni	1	A and P do not or do not both occur on the verb	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
pso	Pomo (Southeastern)	1	A and P do not or do not both occur on the verb	39.000	-122.500	Pomoan	Hokan	Simple Clauses
sue	Suena	1	A and P do not or do not both occur on the verb	-7.750	147.550	Binanderean	Trans-New Guinea	Simple Clauses
sun	Sundanese	1	A and P do not or do not both occur on the verb	-7.000	107.000	Sundanese	Austronesian	Simple Clauses
sup	Supyire	1	A and P do not or do not both occur on the verb	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
tab	Taba	1	A and P do not or do not both occur on the verb	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Simple Clauses
tag	Tagalog	1	A and P do not or do not both occur on the verb	15.000	121.000	Meso-Philippine	Austronesian	Simple Clauses
tmr	Temiar	1	A and P do not or do not both occur on the verb	5.000	101.500	Aslian	Austro-Asiatic	Simple Clauses
trb	Teribe	1	A and P do not or do not both occur on the verb	9.333	-82.667	Talamanca	Chibchan	Simple Clauses
tha	Thai	1	A and P do not or do not both occur on the verb	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
tid	Tidore	1	A and P do not or do not both occur on the verb	0.750	127.500	North Halmaheran	West Papuan	Simple Clauses
tgk	Tigak	1	A and P do not or do not both occur on the verb	-2.717	150.800	Oceanic	Austronesian	Simple Clauses
tin	Tinrin	1	A and P do not or do not both occur on the verb	-21.667	165.750	Oceanic	Austronesian	Simple Clauses
tir	Tiriyo	1	A and P do not or do not both occur on the verb	3.250	-55.750	Cariban	Cariban	Simple Clauses
tla	Tolai	1	A and P do not or do not both occur on the verb	-4.250	152.083	Oceanic	Austronesian	Simple Clauses
tru	Trumai	1	A and P do not or do not both occur on the verb	-11.917	-53.583	Trumai	Trumai	Simple Clauses
tso	Tsou	1	A and P do not or do not both occur on the verb	23.500	120.750	Tsouic	Austronesian	Simple Clauses
tur	Turkish	1	A and P do not or do not both occur on the verb	39.000	35.000	Turkic	Altaic	Simple Clauses
udh	Udihe	1	A and P do not or do not both occur on the verb	47.667	136.250	Tungusic	Altaic	Simple Clauses
