Haspelmath, Martin. 2011. Ditransitive Constructions: The Verb 'Give'.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 105A.
Available online at http://wals.info/feature/105A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
but	Buriat	1	Indirect-object construction	52.000	108.000	Mongolic	Altaic	Simple Clauses
eve	Evenki	1	Indirect-object construction	56.000	125.000	Tungusic	Altaic	Simple Clauses
udh	Udihe	1	Indirect-object construction	47.667	136.250	Tungusic	Altaic	Simple Clauses
ale	Aleut	1	Indirect-object construction	54.000	-166.000	Aleut	Eskimo-Aleut	Simple Clauses
yko	Yukaghir (Kolyma)	1	Indirect-object construction	65.750	150.833	Yukaghir	Yukaghir	Simple Clauses
sno	Saami (Northern)	1	Indirect-object construction	69.000	24.000	Saami	Uralic	Simple Clauses
skp	Selkup	1	Indirect-object construction	65.000	82.000	Samoyedic	Uralic	Simple Clauses
rus	Russian	1	Indirect-object construction	56.000	38.000	Slavic	Indo-European	Simple Clauses
nbd	Nubian (Dongolese)	1	Indirect-object construction	18.250	30.750	Nubian	Nilo-Saharan	Simple Clauses
pae	Páez	1	Indirect-object construction	2.667	-76.000	Páezan	Páezan	Simple Clauses
abk	Abkhaz	1	Indirect-object construction	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ame	Amele	1	Indirect-object construction	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
awp	Awa Pit	1	Indirect-object construction	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
bag	Bagirmi	1	Indirect-object construction	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
bak	Baka (in Cameroon)	1	Indirect-object construction	2.583	13.583	Ubangi	Niger-Congo	Simple Clauses
bsq	Basque	1	Indirect-object construction	43.000	-3.000	Basque	Basque	Simple Clauses
ckr	Canela-Krahô	1	Indirect-object construction	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
chk	Chukchi	1	Indirect-object construction	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
dhi	Dhivehi	1	Indirect-object construction	4.167	73.500	Indic	Indo-European	Simple Clauses
dja	Djabugay	1	Indirect-object construction	-16.750	145.583	Pama-Nyungan	Australian	Simple Clauses
fin	Finnish	1	Indirect-object construction	62.000	25.000	Finnic	Uralic	Simple Clauses
fre	French	1	Indirect-object construction	48.000	2.000	Romance	Indo-European	Simple Clauses
gar	Garo	1	Indirect-object construction	25.667	90.500	Bodo-Garo	Sino-Tibetan	Simple Clauses
geo	Georgian	1	Indirect-object construction	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
ger	German	1	Indirect-object construction	52.000	10.000	Germanic	Indo-European	Simple Clauses
grk	Greek (Modern)	1	Indirect-object construction	39.000	22.000	Greek	Indo-European	Simple Clauses
gua	Guaraní	1	Indirect-object construction	-26.000	-56.000	Tupi-Guaraní	Tupian	Simple Clauses
hat	Hatam	1	Indirect-object construction	-1.000	134.000	Hatam	West Papuan	Simple Clauses
heb	Hebrew (Modern)	1	Indirect-object construction	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Indirect-object construction	25.000	77.000	Indic	Indo-European	Simple Clauses
hix	Hixkaryana	1	Indirect-object construction	-1.000	-59.000	Cariban	Cariban	Simple Clauses
hmo	Hmong Njua	1	Indirect-object construction	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hun	Hungarian	1	Indirect-object construction	47.000	20.000	Ugric	Uralic	Simple Clauses
hzb	Hunzib	1	Indirect-object construction	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
imo	Imonda	1	Indirect-object construction	-3.333	141.167	Border	Border	Simple Clauses
irq	Iraqw	1	Indirect-object construction	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Simple Clauses
jak	Jakaltek	1	Indirect-object construction	15.667	-91.667	Mayan	Mayan	Simple Clauses
jpn	Japanese	1	Indirect-object construction	37.000	140.000	Japanese	Japanese	Simple Clauses
knd	Kannada	1	Indirect-object construction	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
kas	Kashmiri	1	Indirect-object construction	34.000	76.000	Indic	Indo-European	Simple Clauses
ker	Kera	1	Indirect-object construction	9.833	15.083	East Chadic	Afro-Asiatic	Simple Clauses
khs	Khasi	1	Indirect-object construction	25.500	92.000	Khasian	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	Indirect-object construction	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
kor	Korean	1	Indirect-object construction	37.500	128.000	Korean	Korean	Simple Clauses
kro	Krongo	1	Indirect-object construction	10.500	30.000	Kadugli	Kadugli	Simple Clauses
knm	Kunama	1	Indirect-object construction	14.500	37.000	Kunama	Nilo-Saharan	Simple Clauses
lad	Ladakhi	1	Indirect-object construction	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lak	Lak	1	Indirect-object construction	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Simple Clauses
lat	Latvian	1	Indirect-object construction	57.000	24.000	Baltic	Indo-European	Simple Clauses
lav	Lavukaleve	1	Indirect-object construction	-9.083	159.200	Lavukaleve	Solomons East Papuan	Simple Clauses
lez	Lezgian	1	Indirect-object construction	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
mac	Macushi	1	Indirect-object construction	4.000	-60.000	Cariban	Cariban	Simple Clauses
mym	Malayalam	1	Indirect-object construction	10.000	76.500	Southern Dravidian	Dravidian	Simple Clauses
mam	Mam	1	Indirect-object construction	15.000	-91.833	Mayan	Mayan	Simple Clauses
mao	Maori	1	Indirect-object construction	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
mhi	Marathi	1	Indirect-object construction	19.000	76.000	Indic	Indo-European	Simple Clauses
mbb	Mbabaram	1	Indirect-object construction	-17.167	145.000	Pama-Nyungan	Australian	Simple Clauses
mbi	Mbili	1	Indirect-object construction	6.117	10.200	Bantoid	Niger-Congo	Simple Clauses
mei	Meithei	1	Indirect-object construction	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Indirect-object construction	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
mgu	Musgu	1	Indirect-object construction	10.833	14.917	Biu-Mandara	Afro-Asiatic	Simple Clauses
nwd	Newar (Dolakha)	1	Indirect-object construction	27.333	86.000	Bodic	Sino-Tibetan	Simple Clauses
orh	Oromo (Harar)	1	Indirect-object construction	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Simple Clauses
