Maslova, Elena & Nedjalkov, Vladimir P.. 2011. Reciprocal Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 106A.
Available online at http://wals.info/feature/106A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ame	Amele	1	No reciprocals	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
arp	Arapesh (Mountain)	1	No reciprocals	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
brm	Burmese	1	No reciprocals	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
chc	Chechen	1	No reciprocals	43.250	45.833	Nakh	Nakh-Daghestanian	Simple Clauses
gdi	Godié	1	No reciprocals	5.417	-5.833	Kru	Niger-Congo	Simple Clauses
kew	Kewa	1	No reciprocals	-6.500	143.833	Engan	Trans-New Guinea	Simple Clauses
dni	Dani (Lower Grand Valley)	1	No reciprocals	-4.333	138.833	Dani	Trans-New Guinea	Simple Clauses
mam	Mam	1	No reciprocals	15.000	-91.833	Mayan	Mayan	Simple Clauses
may	Maybrat	1	No reciprocals	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
otm	Otomí (Mezquital)	1	No reciprocals	20.167	-99.167	Otomian	Oto-Manguean	Simple Clauses
prh	Pirahã	1	No reciprocals	-7.000	-62.000	Mura	Mura	Simple Clauses
ram	Rama	1	No reciprocals	11.750	-83.750	Rama	Chibchan	Simple Clauses
san	Sango	1	No reciprocals	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
tpc	Tepecano	1	No reciprocals	21.750	-104.750	Tepiman	Uto-Aztecan	Simple Clauses
wic	Wichita	1	No reciprocals	33.333	-97.333	Caddoan	Caddoan	Simple Clauses
yid	Yidiny	1	No reciprocals	-17.000	145.750	Pama-Nyungan	Australian	Simple Clauses
abk	Abkhaz	2	Distinct from reflexive	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
acg	Achagua	2	Distinct from reflexive	4.417	-72.250	Arawakan	Arawakan	Simple Clauses
ain	Ainu	2	Distinct from reflexive	43.000	143.000	Ainu	Ainu	Simple Clauses
amu	Amuesha	2	Distinct from reflexive	-10.500	-75.417	Arawakan	Arawakan	Simple Clauses
anc	Angas	2	Distinct from reflexive	9.500	9.500	West Chadic	Afro-Asiatic	Simple Clauses
