Polinsky, Maria. 2011. Antipassive Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 108A.
Available online at http://wals.info/feature/108A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	Implicit patient	34.917	-107.583	Keresan	Keresan	Simple Clauses
cah	Cahuilla	1	Implicit patient	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
cmn	Comanche	1	Implicit patient	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
zqc	Zoque (Copainalá)	1	Implicit patient	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Simple Clauses
cre	Cree (Plains)	1	Implicit patient	54.000	-110.000	Algonquian	Algic	Simple Clauses
diy	Diyari	1	Implicit patient	-28.000	139.000	Pama-Nyungan	Australian	Simple Clauses
god	Godoberi	1	Implicit patient	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
hzb	Hunzib	1	Implicit patient	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
jak	Jakaltek	1	Implicit patient	15.667	-91.667	Mayan	Mayan	Simple Clauses
kpm	Kapampangan	1	Implicit patient	15.333	120.500	Northern Philippines	Austronesian	Simple Clauses
cak	Cakchiquel	1	Implicit patient	14.500	-91.000	Mayan	Mayan	Simple Clauses
kio	Kiowa	1	Implicit patient	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Simple Clauses
kse	Koyraboro Senni	1	Implicit patient	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
kro	Krongo	1	Implicit patient	10.500	30.000	Kadugli	Kadugli	Simple Clauses
lan	Lango	1	Implicit patient	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
lav	Lavukaleve	1	Implicit patient	-9.083	159.200	Lavukaleve	Solomons East Papuan	Simple Clauses
myi	Mangarrayi	1	Implicit patient	-14.667	133.500	Mangarrayi	Australian	Simple Clauses
tho	Thompson	1	Implicit patient	49.750	-121.750	Interior Salish	Salishan	Simple Clauses
