Polinsky, Maria. 2011. Productivity of the Antipassive Construction.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 108B.
Available online at http://wals.info/feature/108B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
arc	Archi	1	productive	42.000	46.833	Lezgic	Nakh-Daghestanian	Simple Clauses
cah	Cahuilla	1	productive	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
chc	Chechen	1	productive	43.250	45.833	Nakh	Nakh-Daghestanian	Simple Clauses
chk	Chukchi	1	productive	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
cmn	Comanche	1	productive	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
cre	Cree (Plains)	1	productive	54.000	-110.000	Algonquian	Algic	Simple Clauses
dyi	Dyirbal	1	productive	-17.833	145.583	Pama-Nyungan	Australian	Simple Clauses
eml	Embaloh	1	productive	1.167	112.333	Sulawesi	Austronesian	Simple Clauses
hlu	Halkomelem (Upriver)	1	productive	49.250	-121.917	Central Salish	Salishan	Simple Clauses
jak	Jakaltek	1	productive	15.667	-91.667	Mayan	Mayan	Simple Clauses
kab	Kabardian	1	productive	43.500	43.500	Northwest Caucasian	Northwest Caucasian	Simple Clauses
kpm	Kapampangan	1	productive	15.333	120.500	Northern Philippines	Austronesian	Simple Clauses
kse	Koyraboro Senni	1	productive	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
kro	Krongo	1	productive	10.500	30.000	Kadugli	Kadugli	Simple Clauses
lak	Lak	1	productive	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Simple Clauses
mam	Mam	1	productive	15.000	-91.833	Mayan	Mayan	Simple Clauses
nez	Nez Perce	1	productive	46.000	-116.000	Sahaptian	Penutian	Simple Clauses
oji	Ojibwa (Eastern)	1	productive	46.000	-80.000	Algonquian	Algic	Simple Clauses
pai	Paiwan	1	productive	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
tzu	Tzutujil	1	productive	14.667	-91.333	Mayan	Mayan	Simple Clauses
wrd	Wardaman	1	productive	-15.500	131.000	Yangmanic	Australian	Simple Clauses
grw	Greenlandic (West)	1	productive	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
yid	Yidiny	1	productive	-17.000	145.750	Pama-Nyungan	Australian	Simple Clauses
ypk	Yup'ik (Central)	1	productive	59.500	-160.000	Eskimo	Eskimo-Aleut	Simple Clauses
cct	Choctaw	3	not productive	32.250	-88.500	Muskogean	Muskogean	Simple Clauses
lav	Lavukaleve	3	not productive	-9.083	159.200	Lavukaleve	Solomons East Papuan	Simple Clauses
bsq	Basque	2	partially productive	43.000	-3.000	Basque	Basque	Simple Clauses
bez	Bezhta	2	partially productive	42.083	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
cha	Chamorro	2	partially productive	13.450	144.750	Chamorro	Austronesian	Simple Clauses
zqc	Zoque (Copainalá)	2	partially productive	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Simple Clauses
diy	Diyari	2	partially productive	-28.000	139.000	Pama-Nyungan	Australian	Simple Clauses
djr	Djaru	2	partially productive	-18.750	128.000	Pama-Nyungan	Australian	Simple Clauses
god	Godoberi	2	partially productive	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
goo	Gooniyandi	2	partially productive	-18.333	126.333	Bunuban	Australian	Simple Clauses
hzb	Hunzib	2	partially productive	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
kio	Kiowa	2	partially productive	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Simple Clauses
lan	Lango	2	partially productive	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
tho	Thompson	2	partially productive	49.750	-121.750	Interior Salish	Salishan	Simple Clauses
tsz	Tsez	2	partially productive	42.250	45.750	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
wgu	Warrungu	2	partially productive	-18.000	145.000	Pama-Nyungan	Australian	Simple Clauses
juh	Ju|'hoan	4	no antipassive	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
abk	Abkhaz	4	no antipassive	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	4	no antipassive	43.000	143.000	Ainu	Ainu	Simple Clauses
