Polinsky, Maria. 2011. Applicative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 109A.
Available online at http://wals.info/feature/109A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ala	Alamblak	1	Benefactive object; both bases	-4.667	143.333	Sepik Hill	Sepik	Simple Clauses
ame	Amele	1	Benefactive object; both bases	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
cha	Chamorro	1	Benefactive object; both bases	13.450	144.750	Chamorro	Austronesian	Simple Clauses
zqc	Zoque (Copainalá)	1	Benefactive object; both bases	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Simple Clauses
cre	Cree (Plains)	1	Benefactive object; both bases	54.000	-110.000	Algonquian	Algic	Simple Clauses
knd	Kannada	1	Benefactive object; both bases	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
kew	Kewa	1	Benefactive object; both bases	-6.500	143.833	Engan	Trans-New Guinea	Simple Clauses
ngn	Ngandi	1	Benefactive object; both bases	-13.833	135.000	Ngandi	Australian	Simple Clauses
nuu	Nuuchahnulth	1	Benefactive object; both bases	49.667	-126.667	Southern Wakashan	Wakashan	Simple Clauses
oji	Ojibwa (Eastern)	1	Benefactive object; both bases	46.000	-80.000	Algonquian	Algic	Simple Clauses
par	Päri	1	Benefactive object; both bases	5.000	32.500	Nilotic	Nilo-Saharan	Simple Clauses
psm	Passamaquoddy-Maliseet	1	Benefactive object; both bases	45.000	-67.000	Algonquian	Algic	Simple Clauses
pau	Paumarí	1	Benefactive object; both bases	-6.000	-64.000	Arauan	Arauan	Simple Clauses
qaf	Qafar	1	Benefactive object; both bases	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Simple Clauses
usa	Usan	1	Benefactive object; both bases	-4.833	145.167	Madang	Trans-New Guinea	Simple Clauses
yaq	Yaqui	1	Benefactive object; both bases	27.500	-110.250	Cahita	Uto-Aztecan	Simple Clauses
asm	Asmat	2	Benefactive object; only transitive	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
chh	Chaha	2	Benefactive object; only transitive	8.113	37.933	Semitic	Afro-Asiatic	Simple Clauses
ind	Indonesian	2	Benefactive object; only transitive	0.000	106.000	Malayic	Austronesian	Simple Clauses
una	Una	2	Benefactive object; only transitive	-4.667	140.000	Mek	Trans-New Guinea	Simple Clauses
abz	Abaza	3	Benefactive and other; both bases	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
aco	Acoma	3	Benefactive and other; both bases	34.917	-107.583	Keresan	Keresan	Simple Clauses
ain	Ainu	3	Benefactive and other; both bases	43.000	143.000	Ainu	Ainu	Simple Clauses
arp	Arapesh (Mountain)	3	Benefactive and other; both bases	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
bur	Burushaski	3	Benefactive and other; both bases	36.500	74.500	Burushaski	Burushaski	Simple Clauses
cah	Cahuilla	3	Benefactive and other; both bases	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
cic	Chichewa	3	Benefactive and other; both bases	-14.000	34.000	Bantoid	Niger-Congo	Simple Clauses
cmn	Comanche	3	Benefactive and other; both bases	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
diy	Diyari	3	Benefactive and other; both bases	-28.000	139.000	Pama-Nyungan	Australian	Simple Clauses
geo	Georgian	3	Benefactive and other; both bases	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
grb	Grebo	3	Benefactive and other; both bases	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
lai	Lai	3	Benefactive and other; both bases	22.667	93.667	Kuki-Chin	Sino-Tibetan	Simple Clauses
hli	Halkomelem (Island)	3	Benefactive and other; both bases	49.200	-123.000	Central Salish	Salishan	Simple Clauses
hau	Hausa	3	Benefactive and other; both bases	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
igb	Igbo	3	Benefactive and other; both bases	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
ika	Ika	3	Benefactive and other; both bases	10.667	-73.750	Aruak	Chibchan	Simple Clauses
imo	Imonda	3	Benefactive and other; both bases	-3.333	141.167	Border	Border	Simple Clauses
kam	Kambera	3	Benefactive and other; both bases	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Simple Clauses
knr	Kanuri	3	Benefactive and other; both bases	12.000	13.000	Western Saharan	Nilo-Saharan	Simple Clauses
krk	Karok	3	Benefactive and other; both bases	41.667	-123.000	Karok	Karok	Simple Clauses
kro	Krongo	3	Benefactive and other; both bases	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kut	Kutenai	3	Benefactive and other; both bases	49.500	-116.000	Kutenai	Kutenai	Simple Clauses
lkt	Lakhota	3	Benefactive and other; both bases	43.833	-101.833	Siouan	Siouan	Simple Clauses
lan	Lango	3	Benefactive and other; both bases	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
lin	Lingala	3	Benefactive and other; both bases	2.000	18.500	Bantoid	Niger-Congo	Simple Clauses
dni	Dani (Lower Grand Valley)	3	Benefactive and other; both bases	-4.333	138.833	Dani	Trans-New Guinea	Simple Clauses
luv	Luvale	3	Benefactive and other; both bases	-12.000	22.000	Bantoid	Niger-Congo	Simple Clauses
mal	Malagasy	3	Benefactive and other; both bases	-20.000	47.000	Barito	Austronesian	Simple Clauses
mar	Maricopa	3	Benefactive and other; both bases	33.167	-113.167	Yuman	Hokan	Simple Clauses
