Polinsky, Maria. 2011. Other Roles of Applied Objects.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 109B.
Available online at http://wals.info/feature/109B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Instrument	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
cmn	Comanche	1	Instrument	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
dyi	Dyirbal	1	Instrument	-17.833	145.583	Pama-Nyungan	Australian	Simple Clauses
grb	Grebo	1	Instrument	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
lai	Lai	1	Instrument	22.667	93.667	Kuki-Chin	Sino-Tibetan	Simple Clauses
jak	Jakaltek	1	Instrument	15.667	-91.667	Mayan	Mayan	Simple Clauses
krk	Karok	1	Instrument	41.667	-123.000	Karok	Karok	Simple Clauses
kse	Koyraboro Senni	1	Instrument	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
kut	Kutenai	1	Instrument	49.500	-116.000	Kutenai	Kutenai	Simple Clauses
may	Maybrat	1	Instrument	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
nko	Nkore-Kiga	1	Instrument	-0.917	29.833	Bantoid	Niger-Congo	Simple Clauses
tep	Tepehua (Tlachichilco)	1	Instrument	20.583	-98.250	Totonacan	Totonacan	Simple Clauses
tiw	Tiwi	1	Instrument	-11.500	131.000	Tiwian	Australian	Simple Clauses
urk	Urubú-Kaapor	1	Instrument	-2.333	-46.500	Tupi-Guaraní	Tupian	Simple Clauses
grw	Greenlandic (West)	1	Instrument	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
wic	Wichita	1	Instrument	33.333	-97.333	Caddoan	Caddoan	Simple Clauses
zul	Zulu	1	Instrument	-30.000	30.000	Bantoid	Niger-Congo	Simple Clauses
abz	Abaza	3	Instrument and locative	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	3	Instrument and locative	43.000	143.000	Ainu	Ainu	Simple Clauses
cic	Chichewa	3	Instrument and locative	-14.000	34.000	Bantoid	Niger-Congo	Simple Clauses
luv	Luvale	3	Instrument and locative	-12.000	22.000	Bantoid	Niger-Congo	Simple Clauses
mal	Malagasy	3	Instrument and locative	-20.000	47.000	Barito	Austronesian	Simple Clauses
ond	Oneida	3	Instrument and locative	43.000	-75.667	Northern Iroquoian	Iroquoian	Simple Clauses
pai	Paiwan	3	Instrument and locative	22.500	120.833	Paiwanic	Austronesian	Simple Clauses
snc	Seneca	3	Instrument and locative	42.500	-77.500	Northern Iroquoian	Iroquoian	Simple Clauses
tag	Tagalog	3	Instrument and locative	15.000	121.000	Meso-Philippine	Austronesian	Simple Clauses
tuk	Tukang Besi	3	Instrument and locative	-5.500	123.500	Sulawesi	Austronesian	Simple Clauses
wlf	Wolof	3	Instrument and locative	15.250	-16.000	Northern Atlantic	Niger-Congo	Simple Clauses
yag	Yagua	3	Instrument and locative	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Simple Clauses
juh	Ju|'hoan	2	Locative	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
arp	Arapesh (Mountain)	2	Locative	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
cah	Cahuilla	2	Locative	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
diy	Diyari	2	Locative	-28.000	139.000	Pama-Nyungan	Australian	Simple Clauses
fij	Fijian	2	Locative	-17.833	178.000	Oceanic	Austronesian	Simple Clauses
geo	Georgian	2	Locative	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
hau	Hausa	2	Locative	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
kam	Kambera	2	Locative	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Simple Clauses
knr	Kanuri	2	Locative	12.000	13.000	Western Saharan	Nilo-Saharan	Simple Clauses
kro	Krongo	2	Locative	10.500	30.000	Kadugli	Kadugli	Simple Clauses
lan	Lango	2	Locative	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
lin	Lingala	2	Locative	2.000	18.500	Bantoid	Niger-Congo	Simple Clauses
dni	Dani (Lower Grand Valley)	2	Locative	-4.333	138.833	Dani	Trans-New Guinea	Simple Clauses
mar	Maricopa	2	Locative	33.167	-113.167	Yuman	Hokan	Simple Clauses
nez	Nez Perce	2	Locative	46.000	-116.000	Sahaptian	Penutian	Simple Clauses
swa	Swahili	2	Locative	-6.500	39.000	Bantoid	Niger-Congo	Simple Clauses
tho	Thompson	2	Locative	49.750	-121.750	Interior Salish	Salishan	Simple Clauses
wam	Wambaya	2	Locative	-18.667	135.750	West Barkly	Australian	Simple Clauses
apu	Apurinã	5	No applicative construction	-9.000	-67.000	Arawakan	Arawakan	Simple Clauses
arc	Archi	5	No applicative construction	42.000	46.833	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	5	No applicative construction	40.000	45.000	Armenian	Indo-European	Simple Clauses
awp	Awa Pit	5	No applicative construction	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
bag	Bagirmi	5	No applicative construction	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
brs	Barasano	5	No applicative construction	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
bsq	Basque	5	No applicative construction	43.000	-3.000	Basque	Basque	Simple Clauses
brh	Brahui	5	No applicative construction	28.500	67.000	Northern Dravidian	Dravidian	Simple Clauses
brm	Burmese	5	No applicative construction	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
ckr	Canela-Krahô	5	No applicative construction	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
pmc	Pomo (Central)	5	No applicative construction	39.000	-123.333	Pomoan	Hokan	Simple Clauses
mxc	Mixtec (Chalcatongo)	5	No applicative construction	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
chk	Chukchi	5	No applicative construction	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
dag	Daga	5	No applicative construction	-10.000	149.333	Dagan	Dagan	Simple Clauses
dji	Djingili	5	No applicative construction	-17.750	134.000	West Barkly	Australian	Simple Clauses
aeg	Arabic (Egyptian)	5	No applicative construction	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
eng	English	5	No applicative construction	52.000	0.000	Germanic	Indo-European	Simple Clauses
eve	Evenki	5	No applicative construction	56.000	125.000	Tungusic	Altaic	Simple Clauses
ewe	Ewe	5	No applicative construction	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
fin	Finnish	5	No applicative construction	62.000	25.000	Finnic	Uralic	Simple Clauses
fre	French	5	No applicative construction	48.000	2.000	Romance	Indo-European	Simple Clauses
ger	German	5	No applicative construction	52.000	10.000	Germanic	Indo-European	Simple Clauses
god	Godoberi	5	No applicative construction	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
goo	Gooniyandi	5	No applicative construction	-18.333	126.333	Bunuban	Australian	Simple Clauses
grk	Greek (Modern)	5	No applicative construction	39.000	22.000	Greek	Indo-European	Simple Clauses
gua	Guaraní	5	No applicative construction	-26.000	-56.000	Tupi-Guaraní	Tupian	Simple Clauses
orh	Oromo (Harar)	5	No applicative construction	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	5	No applicative construction	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	5	No applicative construction	25.000	77.000	Indic	Indo-European	Simple Clauses
hix	Hixkaryana	5	No applicative construction	-1.000	-59.000	Cariban	Cariban	Simple Clauses
hmo	Hmong Njua	5	No applicative construction	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hun	Hungarian	5	No applicative construction	47.000	20.000	Ugric	Uralic	Simple Clauses
hzb	Hunzib	5	No applicative construction	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
ice	Icelandic	5	No applicative construction	65.000	-17.000	Germanic	Indo-European	Simple Clauses
