Hajek, John. 2011. Vowel Nasalization.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 10A.
Available online at http://wals.info/feature/10A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
amc	Amahuaca	1	Contrast present	-10.500	-72.500	Panoan	Panoan	Phonology
apu	Apurinã	1	Contrast present	-9.000	-67.000	Arawakan	Arawakan	Phonology
bag	Bagirmi	1	Contrast present	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Phonology
brs	Barasano	1	Contrast present	-0.167	-70.667	Tucanoan	Tucanoan	Phonology
bur	Burushaski	1	Contrast present	36.500	74.500	Burushaski	Burushaski	Phonology
cyv	Cayuvava	1	Contrast present	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
mxc	Mixtec (Chalcatongo)	1	Contrast present	17.050	-97.583	Mixtecan	Oto-Manguean	Phonology
epe	Epena Pedee	1	Contrast present	3.000	-77.000	Choco	Choco	Phonology
fre	French	1	Contrast present	48.000	2.000	Romance	Indo-European	Phonology
grb	Grebo	1	Contrast present	5.000	-8.000	Kru	Niger-Congo	Phonology
gua	Guaraní	1	Contrast present	-26.000	-56.000	Tupi-Guaraní	Tupian	Phonology
hay	Hayu	1	Contrast present	27.250	86.000	Bodic	Sino-Tibetan	Phonology
hin	Hindi	1	Contrast present	25.000	77.000	Indic	Indo-European	Phonology
hzb	Hunzib	1	Contrast present	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
kng	Kaingang	1	Contrast present	-26.000	-52.000	Ge-Kaingang	Macro-Ge	Phonology
kan	Kana	1	Contrast present	4.750	7.417	Cross River	Niger-Congo	Phonology
krk	Karok	1	Contrast present	41.667	-123.000	Karok	Karok	Phonology
koa	Koasati	1	Contrast present	34.833	-85.167	Muskogean	Muskogean	Phonology
kfe	Koromfe	1	Contrast present	14.250	-0.917	Gur	Niger-Congo	Phonology
kch	Koyra Chiini	1	Contrast present	17.000	-3.000	Songhay	Nilo-Saharan	Phonology
lkt	Lakhota	1	Contrast present	43.833	-101.833	Siouan	Siouan	Phonology
lan	Lango	1	Contrast present	2.167	33.000	Nilotic	Nilo-Saharan	Phonology
mab	Maba	1	Contrast present	13.750	20.833	Maban	Nilo-Saharan	Phonology
ykp	Yukpa	1	Contrast present	10.167	-72.750	Cariban	Cariban	Phonology
mun	Mundari	1	Contrast present	23.000	84.667	Munda	Austro-Asiatic	Phonology
nav	Navajo	1	Contrast present	36.167	-108.000	Athapaskan	Na-Dene	Phonology
otm	Otomí (Mezquital)	1	Contrast present	20.167	-99.167	Otomian	Oto-Manguean	Phonology
paw	Pawaian	1	Contrast present	-7.000	145.083	Pawaian	Teberan-Pawaian	Phonology
chq	Chinantec (Quiotepec)	1	Contrast present	17.583	-96.667	Chinantecan	Oto-Manguean	Phonology
san	Sango	1	Contrast present	5.000	18.000	Ubangi	Niger-Congo	Phonology
snm	Sanuma	1	Contrast present	4.500	-64.667	Yanomam	Yanomam	Phonology
sml	Semelai	1	Contrast present	3.000	103.000	Aslian	Austro-Asiatic	Phonology
snc	Seneca	1	Contrast present	42.500	-77.500	Northern Iroquoian	Iroquoian	Phonology
sla	Slave	1	Contrast present	67.000	-125.000	Athapaskan	Na-Dene	Phonology
sup	Supyire	1	Contrast present	11.500	-5.583	Gur	Niger-Congo	Phonology
trb	Teribe	1	Contrast present	9.333	-82.667	Talamanca	Chibchan	Phonology
tmk	Tumak	1	Contrast present	9.500	17.333	East Chadic	Afro-Asiatic	Phonology
urk	Urubú-Kaapor	1	Contrast present	-2.333	-46.500	Tupi-Guaraní	Tupian	Phonology
wra	Warao	1	Contrast present	9.333	-61.667	Warao	Warao	Phonology
war	Wari'	1	Contrast present	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Phonology
oca	Ocaina	1	Contrast present	-2.750	-71.750	Huitoto	Huitotoan	Phonology
yag	Yagua	1	Contrast present	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Phonology
yor	Yoruba	1	Contrast present	8.000	4.333	Defoid	Niger-Congo	Phonology
yuc	Yuchi	1	Contrast present	35.750	-86.750	Yuchi	Yuchi	Phonology
avt	Avatime	1	Contrast present	6.833	0.417	Kwa	Niger-Congo	Phonology
ble	Baule	1	Contrast present	7.000	-5.000	Kwa	Niger-Congo	Phonology
buy	Buli (in Ghana)	1	Contrast present	10.500	-1.250	Gur	Niger-Congo	Phonology
dga	Dagaare	1	Contrast present	10.500	-2.667	Gur	Niger-Congo	Phonology
day	Day	1	Contrast present	8.750	17.833	Adamawa	Niger-Congo	Phonology
dts	Toro So	1	Contrast present	14.417	-3.250	Dogon	Niger-Congo	Phonology
doy	Doyayo	1	Contrast present	8.667	13.083	Adamawa	Niger-Congo	Phonology
gbk	Gbaya Kara	1	Contrast present	6.000	15.000	Ubangi	Niger-Congo	Phonology
gut	Gurma (Togo)	1	Contrast present	10.750	0.667	Gur	Niger-Congo	Phonology
ksp	Kosop	1	Contrast present	9.917	15.917	Adamawa	Niger-Congo	Phonology
gir	Gula Iro	1	Contrast present	10.250	19.417	Adamawa	Niger-Congo	Phonology
lok	Loko	1	Contrast present	9.333	-12.083	Western Mande	Niger-Congo	Phonology
mdz	Mada (in Nigeria)	1	Contrast present	8.750	8.250	Platoid	Niger-Congo	Phonology
mby	Mbay	1	Contrast present	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Phonology
mdo	Mbodomo	1	Contrast present	4.500	15.500	Ubangi	Niger-Congo	Phonology
moo	Mooré	1	Contrast present	12.833	-1.250	Gur	Niger-Congo	Phonology
ora	Emai	1	Contrast present	7.083	5.917	Edoid	Niger-Congo	Phonology
tne	Temne	1	Contrast present	8.667	-13.083	Southern Atlantic	Niger-Congo	Phonology
snd	Senadi	1	Contrast present	9.500	-6.250	Gur	Niger-Congo	Phonology
wmn	Wéménugbé	1	Contrast present	6.667	2.500	Kwa	Niger-Congo	Phonology
xoo	!Xóõ	2	Contrast absent	-24.000	21.500	Southern Khoisan	Khoisan	Phonology
abi	Abipón	2	Contrast absent	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
abk	Abkhaz	2	Contrast absent	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
aco	Acoma	2	Contrast absent	34.917	-107.583	Keresan	Keresan	Phonology
ain	Ainu	2	Contrast absent	43.000	143.000	Ainu	Ainu	Phonology
ala	Alamblak	2	Contrast absent	-4.667	143.333	Sepik Hill	Sepik	Phonology
ame	Amele	2	Contrast absent	-5.250	145.583	Madang	Trans-New Guinea	Phonology
ao	Ao	2	Contrast absent	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
ana	Araona	2	Contrast absent	-12.333	-67.750	Tacanan	Tacanan	Phonology
arm	Armenian (Eastern)	2	Contrast absent	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	2	Contrast absent	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
awp	Awa Pit	2	Contrast absent	1.500	-78.250	Barbacoan	Barbacoan	Phonology
bsq	Basque	2	Contrast absent	43.000	-3.000	Basque	Basque	Phonology
bma	Berber (Middle Atlas)	2	Contrast absent	33.000	-5.000	Berber	Afro-Asiatic	Phonology
brh	Brahui	2	Contrast absent	28.500	67.000	Northern Dravidian	Dravidian	Phonology
arp	Arapesh (Mountain)	2	Contrast absent	-3.467	143.167	Kombio-Arapesh	Torricelli	Phonology
brm	Burmese	2	Contrast absent	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Phonology
cah	Cahuilla	2	Contrast absent	33.500	-116.250	Takic	Uto-Aztecan	Phonology
khm	Khmer	2	Contrast absent	12.500	105.000	Khmer	Austro-Asiatic	Phonology
car	Carib	2	Contrast absent	5.500	-56.000	Cariban	Cariban	Phonology
cha	Chamorro	2	Contrast absent	13.450	144.750	Chamorro	Austronesian	Phonology
ctm	Chitimacha	2	Contrast absent	29.667	-91.000	Chitimacha	Chitimacha	Phonology
chk	Chukchi	2	Contrast absent	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
tsi	Tsimshian (Coast)	2	Contrast absent	52.500	-129.000	Tsimshianic	Penutian	Phonology
cmn	Comanche	2	Contrast absent	33.500	-101.500	Numic	Uto-Aztecan	Phonology
cre	Cree (Plains)	2	Contrast absent	54.000	-110.000	Algonquian	Algic	Phonology
dag	Daga	2	Contrast absent	-10.000	149.333	Dagan	Dagan	Phonology
dre	Drehu	2	Contrast absent	-21.000	167.250	Oceanic	Austronesian	Phonology
wlf	Wolof	2	Contrast absent	15.250	-16.000	Northern Atlantic	Niger-Congo	Phonology
aeg	Arabic (Egyptian)	2	Contrast absent	30.000	31.000	Semitic	Afro-Asiatic	Phonology
eip	Eipo	2	Contrast absent	-4.333	140.083	Mek	Trans-New Guinea	Phonology
eka	Ekari	2	Contrast absent	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
eng	English	2	Contrast absent	52.000	0.000	Germanic	Indo-European	Phonology
eve	Evenki	2	Contrast absent	56.000	125.000	Tungusic	Altaic	Phonology
fij	Fijian	2	Contrast absent	-17.833	178.000	Oceanic	Austronesian	Phonology
fin	Finnish	2	Contrast absent	62.000	25.000	Finnic	Uralic	Phonology
fur	Fur	2	Contrast absent	13.500	25.000	Fur	Nilo-Saharan	Phonology
gar	Garo	2	Contrast absent	25.667	90.500	Bodo-Garo	Sino-Tibetan	Phonology
geo	Georgian	2	Contrast absent	42.000	44.000	Kartvelian	Kartvelian	Phonology
ger	German	2	Contrast absent	52.000	10.000	Germanic	Indo-European	Phonology
goo	Gooniyandi	2	Contrast absent	-18.333	126.333	Bunuban	Australian	Phonology
grk	Greek (Modern)	2	Contrast absent	39.000	22.000	Greek	Indo-European	Phonology
hai	Haida	2	Contrast absent	53.000	-132.000	Haida	Haida	Phonology
coo	Coos (Hanis)	2	Contrast absent	43.500	-124.167	Coosan	Oregon Coast	Phonology
orh	Oromo (Harar)	2	Contrast absent	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Phonology
hrs	Harsusi	2	Contrast absent	20.000	56.500	Semitic	Afro-Asiatic	Phonology
hau	Hausa	2	Contrast absent	12.000	7.000	West Chadic	Afro-Asiatic	Phonology
heb	Hebrew (Modern)	2	Contrast absent	31.500	34.833	Semitic	Afro-Asiatic	Phonology
hix	Hixkaryana	2	Contrast absent	-1.000	-59.000	Cariban	Cariban	Phonology
hun	Hungarian	2	Contrast absent	47.000	20.000	Ugric	Uralic	Phonology
igb	Igbo	2	Contrast absent	6.000	7.333	Igboid	Niger-Congo	Phonology
ila	Ila	2	Contrast absent	-15.583	26.500	Bantoid	Niger-Congo	Phonology
imo	Imonda	2	Contrast absent	-3.333	141.167	Border	Border	Phonology
ind	Indonesian	2	Contrast absent	0.000	106.000	Malayic	Austronesian	Phonology
ing	Ingush	2	Contrast absent	43.167	45.083	Nakh	Nakh-Daghestanian	Phonology
irq	Iraqw	2	Contrast absent	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Phonology
iri	Irish	2	Contrast absent	53.000	-8.000	Celtic	Indo-European	Phonology
jak	Jakaltek	2	Contrast absent	15.667	-91.667	Mayan	Mayan	Phonology
jpn	Japanese	2	Contrast absent	37.000	140.000	Japanese	Japanese	Phonology
jaq	Jaqaru	2	Contrast absent	-13.000	-76.000	Aymaran	Aymaran	Phonology
knd	Kannada	2	Contrast absent	14.000	76.000	Southern Dravidian	Dravidian	Phonology
knr	Kanuri	2	Contrast absent	12.000	13.000	Western Saharan	Nilo-Saharan	Phonology
bkr	Batak (Karo)	2	Contrast absent	3.250	98.250	Sumatra	Austronesian	Phonology
kgl	Kaugel	2	Contrast absent	-6.000	144.000	Chimbu	Trans-New Guinea	Phonology
qaw	Qawasqar	2	Contrast absent	-49.000	-75.000	Alacalufan	Alacalufan	Phonology
kyl	Kayah Li (Eastern)	2	Contrast absent	19.000	97.500	Karen	Sino-Tibetan	Phonology
kay	Kayardild	2	Contrast absent	-17.050	139.500	Tangkic	Australian	Phonology
kem	Kemant	2	Contrast absent	12.667	37.417	Central Cushitic	Afro-Asiatic	Phonology
ket	Ket	2	Contrast absent	64.000	87.000	Yeniseian	Yeniseian	Phonology
kha	Khalkha	2	Contrast absent	47.000	105.000	Mongolic	Altaic	Phonology
khs	Khasi	2	Contrast absent	25.500	92.000	Khasian	Austro-Asiatic	Phonology
kmu	Khmu'	2	Contrast absent	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Phonology
klv	Kilivila	2	Contrast absent	-8.500	151.083	Oceanic	Austronesian	Phonology
krb	Kiribati	2	Contrast absent	1.333	173.000	Oceanic	Austronesian	Phonology
kob	Kobon	2	Contrast absent	-5.167	144.333	Madang	Trans-New Guinea	Phonology
kon	Kongo	2	Contrast absent	-5.000	15.000	Bantoid	Niger-Congo	Phonology
kor	Korean	2	Contrast absent	37.500	128.000	Korean	Korean	Phonology
krw	Korowai	2	Contrast absent	-5.250	140.000	Awju-Dumut	Trans-New Guinea	Phonology
kro	Krongo	2	Contrast absent	10.500	30.000	Kadugli	Kadugli	Phonology
knm	Kunama	2	Contrast absent	14.500	37.000	Kunama	Nilo-Saharan	Phonology
kut	Kutenai	2	Contrast absent	49.500	-116.000	Kutenai	Kutenai	Phonology
kwk	Kwakw'ala	2	Contrast absent	51.000	-127.000	Northern Wakashan	Wakashan	Phonology
kwb	Kwerba	2	Contrast absent	-2.250	138.500	Kwerba	Kwerba	Phonology
lad	Ladakhi	2	Contrast absent	34.000	78.000	Bodic	Sino-Tibetan	Phonology
lak	Lak	2	Contrast absent	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Phonology
