Hajek, John. 2011. Nasal Vowels in West Africa.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 10B.
Available online at http://wals.info/feature/10B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aka	Aka	1	no nasal vs. oral vowel contrast	2.667	16.250	Bantoid	Niger-Congo	Phonology
bfi	Bafia	1	no nasal vs. oral vowel contrast	5.000	11.167	Bantoid	Niger-Congo	Phonology
blz	Balanta	1	no nasal vs. oral vowel contrast	12.250	-15.333	Northern Atlantic	Niger-Congo	Phonology
ban	Bana	1	no nasal vs. oral vowel contrast	10.417	13.583	Biu-Mandara	Afro-Asiatic	Phonology
bsr	Basari	1	no nasal vs. oral vowel contrast	12.667	-13.000	Northern Atlantic	Niger-Congo	Phonology
bfd	Biafada	1	no nasal vs. oral vowel contrast	11.417	-15.167	Northern Atlantic	Niger-Congo	Phonology
dgb	Dagbani	1	no nasal vs. oral vowel contrast	9.583	-0.500	Gur	Niger-Congo	Phonology
ebi	Ebira	1	no nasal vs. oral vowel contrast	8.167	7.000	Nupoid	Niger-Congo	Phonology
ega	Ega	1	no nasal vs. oral vowel contrast	5.500	-5.500	Kwa	Niger-Congo	Phonology
gad	Gade	1	no nasal vs. oral vowel contrast	8.667	7.417	Nupoid	Niger-Congo	Phonology
kis	Kisi	1	no nasal vs. oral vowel contrast	8.833	-10.167	Southern Atlantic	Niger-Congo	Phonology
laa	Laal	1	no nasal vs. oral vowel contrast	10.000	17.667	Laal	Laal	Phonology
ktk	Kotoko	1	no nasal vs. oral vowel contrast	11.333	15.333	Biu-Mandara	Afro-Asiatic	Phonology
mdk	Mandinka	1	no nasal vs. oral vowel contrast	13.000	-15.667	Western Mande	Niger-Congo	Phonology
oku	Oku	1	no nasal vs. oral vowel contrast	6.250	10.500	Bantoid	Niger-Congo	Phonology
lam	Lamé	1	no nasal vs. oral vowel contrast	9.000	14.500	Masa	Afro-Asiatic	Phonology
pod	Podoko	1	no nasal vs. oral vowel contrast	11.000	14.083	Biu-Mandara	Afro-Asiatic	Phonology
fma	Fula (Mauritanian)	1	no nasal vs. oral vowel contrast	16.500	-13.750	Northern Atlantic	Niger-Congo	Phonology
tik	Tikar	1	no nasal vs. oral vowel contrast	5.833	11.667	Bantoid	Niger-Congo	Phonology
yem	Yemba	1	no nasal vs. oral vowel contrast	5.417	10.083	Bantoid	Niger-Congo	Phonology
dga	Dagaare	3	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading	10.500	-2.667	Gur	Niger-Congo	Phonology
lok	Loko	3	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading	9.333	-12.083	Western Mande	Niger-Congo	Phonology
mdo	Mbodomo	3	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading	4.500	15.500	Ubangi	Niger-Congo	Phonology
krn	Korana	3	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) with nasal spreading	-29.500	20.500	Central Khoisan	Khoisan	Phonology
avt	Avatime	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	6.833	0.417	Kwa	Niger-Congo	Phonology
ble	Baule	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	7.000	-5.000	Kwa	Niger-Congo	Phonology
day	Day	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	8.750	17.833	Adamawa	Niger-Congo	Phonology
ksp	Kosop	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	9.917	15.917	Adamawa	Niger-Congo	Phonology
mdz	Mada (in Nigeria)	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	8.750	8.250	Platoid	Niger-Congo	Phonology
tne	Temne	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	8.667	-13.083	Southern Atlantic	Niger-Congo	Phonology
wmn	Wéménugbé	2	two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading	6.667	2.500	Kwa	Niger-Congo	Phonology
doy	Doyayo	5	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading	8.667	13.083	Adamawa	Niger-Congo	Phonology
gbk	Gbaya Kara	5	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading	6.000	15.000	Ubangi	Niger-Congo	Phonology
gir	Gula Iro	5	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading	10.250	19.417	Adamawa	Niger-Congo	Phonology
snd	Senadi	5	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ v /Vː/) with nasal spreading	9.500	-6.250	Gur	Niger-Congo	Phonology
buy	Buli (in Ghana)	4	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading	10.500	-1.250	Gur	Niger-Congo	Phonology
dts	Toro So	4	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading	14.417	-3.250	Dogon	Niger-Congo	Phonology
grm	Gurma	4	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading	12.250	1.000	Gur	Niger-Congo	Phonology
mby	Mbay	4	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Phonology
moo	Mooré	4	four-way nasal vs. oral vowel contrast (/ṽ/ vs. /ṽː/ vs. /V/ vs. /Vː/) without nasal spreading	12.833	-1.250	Gur	Niger-Congo	Phonology
