Song, Jae Jung. 2011. Periphrastic Causative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 110A.
Available online at http://wals.info/feature/110A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ame	Amele	1	Sequential but no purposive	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
atc	Atchin	1	Sequential but no purposive	-16.000	167.333	Oceanic	Austronesian	Simple Clauses
bab	Babungo	1	Sequential but no purposive	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bag	Bagirmi	1	Sequential but no purposive	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
die	Diegueño (Mesa Grande)	1	Sequential but no purposive	32.667	-116.167	Yuman	Hokan	Simple Clauses
diy	Diyari	1	Sequential but no purposive	-28.000	139.000	Pama-Nyungan	Australian	Simple Clauses
eng	English	1	Sequential but no purposive	52.000	0.000	Germanic	Indo-European	Simple Clauses
epe	Epena Pedee	1	Sequential but no purposive	3.000	-77.000	Choco	Choco	Simple Clauses
ewe	Ewe	1	Sequential but no purposive	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
ger	German	1	Sequential but no purposive	52.000	10.000	Germanic	Indo-European	Simple Clauses
hau	Hausa	1	Sequential but no purposive	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
hmo	Hmong Njua	1	Sequential but no purposive	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
igb	Igbo	1	Sequential but no purposive	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
ind	Indonesian	1	Sequential but no purposive	0.000	106.000	Malayic	Austronesian	Simple Clauses
knr	Kanuri	1	Sequential but no purposive	12.000	13.000	Western Saharan	Nilo-Saharan	Simple Clauses
kmu	Khmu'	1	Sequential but no purposive	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klv	Kilivila	1	Sequential but no purposive	-8.500	151.083	Oceanic	Austronesian	Simple Clauses
kob	Kobon	1	Sequential but no purposive	-5.167	144.333	Madang	Trans-New Guinea	Simple Clauses
kfe	Koromfe	1	Sequential but no purposive	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
lav	Lavukaleve	1	Sequential but no purposive	-9.083	159.200	Lavukaleve	Solomons East Papuan	Simple Clauses
let	Leti	1	Sequential but no purposive	-8.200	127.667	Central Malayo-Polynesian	Austronesian	Simple Clauses
mnm	Manam	1	Sequential but no purposive	-4.000	145.000	Oceanic	Austronesian	Simple Clauses
wch	Wichí	1	Sequential but no purposive	-22.500	-62.583	Matacoan	Matacoan	Simple Clauses
may	Maybrat	1	Sequential but no purposive	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Sequential but no purposive	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
mul	Mulao	1	Sequential but no purposive	25.000	108.000	Kam-Tai	Tai-Kadai	Simple Clauses
nav	Navajo	1	Sequential but no purposive	36.167	-108.000	Athapaskan	Na-Dene	Simple Clauses
ndy	Ndyuka	1	Sequential but no purposive	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
pms	Paamese	1	Sequential but no purposive	-16.500	168.250	Oceanic	Austronesian	Simple Clauses
psm	Passamaquoddy-Maliseet	1	Sequential but no purposive	45.000	-67.000	Algonquian	Algic	Simple Clauses
rej	Rejang	1	Sequential but no purposive	-3.417	102.500	Rejang	Austronesian	Simple Clauses
tab	Taba	1	Sequential but no purposive	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Simple Clauses
tna	Turkana	1	Sequential but no purposive	3.000	35.500	Nilotic	Nilo-Saharan	Simple Clauses
yap	Yapese	1	Sequential but no purposive	9.583	138.167	Yapese	Austronesian	Simple Clauses
yay	Yay	1	Sequential but no purposive	22.417	104.750	Kam-Tai	Tai-Kadai	Simple Clauses
