Song, Jae Jung. 2011. Nonperiphrastic Causative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 111A.
Available online at http://wals.info/feature/111A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bag	Bagirmi	1	Neither	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
djr	Djaru	1	Neither	-18.750	128.000	Pama-Nyungan	Australian	Simple Clauses
ewe	Ewe	1	Neither	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
goo	Gooniyandi	1	Neither	-18.333	126.333	Bunuban	Australian	Simple Clauses
grk	Greek (Modern)	1	Neither	39.000	22.000	Greek	Indo-European	Simple Clauses
hmo	Hmong Njua	1	Neither	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
iri	Irish	1	Neither	53.000	-8.000	Celtic	Indo-European	Simple Clauses
klv	Kilivila	1	Neither	-8.500	151.083	Oceanic	Austronesian	Simple Clauses
kro	Krongo	1	Neither	10.500	30.000	Kadugli	Kadugli	Simple Clauses
may	Maybrat	1	Neither	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
mul	Mulao	1	Neither	25.000	108.000	Kam-Tai	Tai-Kadai	Simple Clauses
nav	Navajo	1	Neither	36.167	-108.000	Athapaskan	Na-Dene	Simple Clauses
ndy	Ndyuka	1	Neither	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
otm	Otomí (Mezquital)	1	Neither	20.167	-99.167	Otomian	Oto-Manguean	Simple Clauses
pms	Paamese	1	Neither	-16.500	168.250	Oceanic	Austronesian	Simple Clauses
rej	Rejang	1	Neither	-3.417	102.500	Rejang	Austronesian	Simple Clauses
src	Sarcee	1	Neither	52.500	-116.000	Athapaskan	Na-Dene	Simple Clauses
tha	Thai	1	Neither	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
tib	Tibetan (Standard Spoken)	1	Neither	30.000	91.000	Bodic	Sino-Tibetan	Simple Clauses
ung	Ungarinjin	1	Neither	-16.333	126.000	Wororan	Australian	Simple Clauses
vai	Vai	1	Neither	6.917	-11.250	Western Mande	Niger-Congo	Simple Clauses
yay	Yay	1	Neither	22.417	104.750	Kam-Tai	Tai-Kadai	Simple Clauses
yor	Yoruba	1	Neither	8.000	4.333	Defoid	Niger-Congo	Simple Clauses
abi	Abipón	2	Morphological but no compound	-29.000	-61.000	Guaicuruan	Guaicuruan	Simple Clauses
abk	Abkhaz	2	Morphological but no compound	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ace	Acehnese	2	Morphological but no compound	5.500	95.500	Malayic	Austronesian	Simple Clauses
ain	Ainu	2	Morphological but no compound	43.000	143.000	Ainu	Ainu	Simple Clauses
aly	Alyawarra	2	Morphological but no compound	-22.500	135.000	Pama-Nyungan	Australian	Simple Clauses
ame	Amele	2	Morphological but no compound	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
amh	Amharic	2	Morphological but no compound	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
apu	Apurinã	2	Morphological but no compound	-9.000	-67.000	Arawakan	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	2	Morphological but no compound	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	2	Morphological but no compound	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
arm	Armenian (Eastern)	2	Morphological but no compound	40.000	45.000	Armenian	Indo-European	Simple Clauses
aro	Arosi	2	Morphological but no compound	-10.250	161.333	Oceanic	Austronesian	Simple Clauses
asm	Asmat	2	Morphological but no compound	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
atc	Atchin	2	Morphological but no compound	-16.000	167.333	Oceanic	Austronesian	Simple Clauses
awp	Awa Pit	2	Morphological but no compound	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
awn	Awngi	2	Morphological but no compound	10.833	36.667	Central Cushitic	Afro-Asiatic	Simple Clauses
aym	Aymara	2	Morphological but no compound	-17.000	-69.000	Aymaran	Aymaran	Simple Clauses
pkn	Paakantyi	2	Morphological but no compound	-32.500	142.500	Pama-Nyungan	Australian	Simple Clauses
bab	Babungo	2	Morphological but no compound	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bal	Balinese	2	Morphological but no compound	-8.333	115.250	Bali-Sasak	Austronesian	Simple Clauses
bam	Bambara	2	Morphological but no compound	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
brs	Barasano	2	Morphological but no compound	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
bsq	Basque	2	Morphological but no compound	43.000	-3.000	Basque	Basque	Simple Clauses
bkr	Batak (Karo)	2	Morphological but no compound	3.250	98.250	Sumatra	Austronesian	Simple Clauses
bej	Beja	2	Morphological but no compound	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
bla	Blackfoot	2	Morphological but no compound	50.000	-112.667	Algonquian	Algic	Simple Clauses
brr	Bororo	2	Morphological but no compound	-16.000	-57.000	Bororo	Macro-Ge	Simple Clauses
brh	Brahui	2	Morphological but no compound	28.500	67.000	Northern Dravidian	Dravidian	Simple Clauses
but	Buriat	2	Morphological but no compound	52.000	108.000	Mongolic	Altaic	Simple Clauses
bur	Burushaski	2	Morphological but no compound	36.500	74.500	Burushaski	Burushaski	Simple Clauses
cah	Cahuilla	2	Morphological but no compound	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
khm	Khmer	2	Morphological but no compound	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
cax	Campa (Axininca)	2	Morphological but no compound	-12.000	-74.000	Arawakan	Arawakan	Simple Clauses
car	Carib	2	Morphological but no compound	5.500	-56.000	Cariban	Cariban	Simple Clauses
ceb	Cebuano	2	Morphological but no compound	10.000	124.000	Meso-Philippine	Austronesian	Simple Clauses
cld	Chaldean (Modern)	2	Morphological but no compound	36.000	43.000	Semitic	Afro-Asiatic	Simple Clauses
cha	Chamorro	2	Morphological but no compound	13.450	144.750	Chamorro	Austronesian	Simple Clauses
cle	Chinantec (Lealao)	2	Morphological but no compound	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
cct	Choctaw	2	Morphological but no compound	32.250	-88.500	Muskogean	Muskogean	Simple Clauses
chk	Chukchi	2	Morphological but no compound	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
chv	Chuvash	2	Morphological but no compound	55.500	47.500	Turkic	Altaic	Simple Clauses
coa	Coahuilteco	2	Morphological but no compound	28.000	-100.000	Coahuiltecan	Coahuiltecan	Simple Clauses
cmn	Comanche	2	Morphological but no compound	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
coo	Coos (Hanis)	2	Morphological but no compound	43.500	-124.167	Coosan	Oregon Coast	Simple Clauses
cor	Cora	2	Morphological but no compound	22.167	-104.833	Corachol	Uto-Aztecan	Simple Clauses
cre	Cree (Plains)	2	Morphological but no compound	54.000	-110.000	Algonquian	Algic	Simple Clauses
cui	Cuiba	2	Morphological but no compound	6.500	-70.000	Guahiban	Guahiban	Simple Clauses
dgr	Dagur	2	Morphological but no compound	48.000	124.000	Mongolic	Altaic	Simple Clauses
die	Diegueño (Mesa Grande)	2	Morphological but no compound	32.667	-116.167	Yuman	Hokan	Simple Clauses
