Dryer, Matthew S.. 2011. Negative Morphemes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 112A.
Available online at http://wals.info/feature/112A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ras	Rashad	1	Negative affix	11.833	31.050	Rashad	Niger-Congo	Simple Clauses
ori	Orig	1	Negative affix	12.167	30.833	Rashad	Niger-Congo	Simple Clauses
fni	Fula (Nigerian)	1	Negative affix	8.167	10.500	Northern Atlantic	Niger-Congo	Simple Clauses
fua	Fula (Cameroonian)	1	Negative affix	9.167	13.500	Northern Atlantic	Niger-Congo	Simple Clauses
dio	Diola-Fogny	1	Negative affix	13.000	-16.250	Northern Atlantic	Niger-Congo	Simple Clauses
tne	Temne	1	Negative affix	8.667	-13.083	Southern Atlantic	Niger-Congo	Simple Clauses
dds	Donno So	1	Negative affix	14.333	-3.583	Dogon	Niger-Congo	Simple Clauses
kby	Kabiyé	1	Negative affix	9.667	1.167	Gur	Niger-Congo	Simple Clauses
bbu	Barambu	1	Negative affix	3.500	27.000	Ubangi	Niger-Congo	Simple Clauses
akn	Akan	1	Negative affix	6.500	-1.250	Kwa	Niger-Congo	Simple Clauses
nkn	Nkonya	1	Negative affix	7.167	0.250	Kwa	Niger-Congo	Simple Clauses
llm	Lelemi	1	Negative affix	7.333	0.500	Kwa	Niger-Congo	Simple Clauses
ga	Gã	1	Negative affix	5.667	-0.167	Kwa	Niger-Congo	Simple Clauses
adi	Adioukrou	1	Negative affix	5.417	-4.583	Kwa	Niger-Congo	Simple Clauses
obo	Obolo	1	Negative affix	4.583	7.833	Cross River	Niger-Congo	Simple Clauses
efi	Efik	1	Negative affix	4.917	8.500	Cross River	Niger-Congo	Simple Clauses
ldo	Londo	1	Negative affix	5.000	9.167	Bantoid	Niger-Congo	Simple Clauses
bku	Bakueri	1	Negative affix	4.250	9.250	Bantoid	Niger-Congo	Simple Clauses
tki	Tuki	1	Negative affix	4.583	11.500	Bantoid	Niger-Congo	Simple Clauses
sgu	Sangu	1	Negative affix	-1.500	11.833	Bantoid	Niger-Congo	Simple Clauses
bbl	Babole	1	Negative affix	1.083	17.250	Bantoid	Niger-Congo	Simple Clauses
nto	Ntomba	1	Negative affix	-2.000	18.333	Bantoid	Niger-Congo	Simple Clauses
bol	Bolia	1	Negative affix	-1.250	18.333	Bantoid	Niger-Congo	Simple Clauses
leb	Lebeo	1	Negative affix	1.750	25.000	Bantoid	Niger-Congo	Simple Clauses
tet	Tetela	1	Negative affix	-4.000	24.000	Bantoid	Niger-Congo	Simple Clauses
bsh	Bushoong	1	Negative affix	-4.500	21.500	Bantoid	Niger-Congo	Simple Clauses
eny	Enya	1	Negative affix	-0.500	25.250	Bantoid	Niger-Congo	Simple Clauses
hol	Holoholo	1	Negative affix	-5.167	29.917	Bantoid	Niger-Congo	Simple Clauses
kik	Kikuyu	1	Negative affix	-0.750	36.750	Bantoid	Niger-Congo	Simple Clauses
kba	Kamba	1	Negative affix	-1.500	38.000	Bantoid	Niger-Congo	Simple Clauses
cga	Chaga	1	Negative affix	-3.000	37.000	Bantoid	Niger-Congo	Simple Clauses
