Miestamo, Matti. 2011. Symmetric and Asymmetric Standard Negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 113A.
Available online at http://wals.info/feature/113A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ain	Ainu	1	Symmetric	43.000	143.000	Ainu	Ainu	Simple Clauses
alb	Albanian	1	Symmetric	41.000	20.000	Albanian	Indo-European	Simple Clauses
adk	Andoke	1	Symmetric	-0.667	-72.000	Andoke	Andoke	Simple Clauses
apu	Apurinã	1	Symmetric	-9.000	-67.000	Arawakan	Arawakan	Simple Clauses
aeg	Arabic (Egyptian)	1	Symmetric	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
brs	Barasano	1	Symmetric	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
bkr	Batak (Karo)	1	Symmetric	3.250	98.250	Sumatra	Austronesian	Simple Clauses
bir	Birom	1	Symmetric	9.667	8.833	Platoid	Niger-Congo	Simple Clauses
bur	Burushaski	1	Symmetric	36.500	74.500	Burushaski	Burushaski	Simple Clauses
khm	Khmer	1	Symmetric	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
cnm	Canamarí	1	Symmetric	-6.500	-68.500	Katukinan	Katukinan	Simple Clauses
ckr	Canela-Krahô	1	Symmetric	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
cyv	Cayuvava	1	Symmetric	-13.500	-65.500	Cayuvava	Cayuvava	Simple Clauses
cha	Chamorro	1	Symmetric	13.450	144.750	Chamorro	Austronesian	Simple Clauses
cle	Chinantec (Lealao)	1	Symmetric	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
crt	Chorote	1	Symmetric	-22.500	-62.500	Matacoan	Matacoan	Simple Clauses
cba	Chumash (Barbareño)	1	Symmetric	34.500	-120.250	Chumash	Chumash	Simple Clauses
coo	Coos (Hanis)	1	Symmetric	43.500	-124.167	Coosan	Oregon Coast	Simple Clauses
cre	Cree (Plains)	1	Symmetric	54.000	-110.000	Algonquian	Algic	Simple Clauses
dag	Daga	1	Symmetric	-10.000	149.333	Dagan	Dagan	Simple Clauses
zaz	Zazaki	1	Symmetric	39.000	41.000	Iranian	Indo-European	Simple Clauses
dre	Drehu	1	Symmetric	-21.000	167.250	Oceanic	Austronesian	Simple Clauses
fre	French	1	Symmetric	48.000	2.000	Romance	Indo-European	Simple Clauses
fur	Fur	1	Symmetric	13.500	25.000	Fur	Nilo-Saharan	Simple Clauses
grr	Garrwa	1	Symmetric	-17.083	137.167	Garrwan	Australian	Simple Clauses
geo	Georgian	1	Symmetric	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
ger	German	1	Symmetric	52.000	10.000	Germanic	Indo-European	Simple Clauses
goo	Gooniyandi	1	Symmetric	-18.333	126.333	Bunuban	Australian	Simple Clauses
grk	Greek (Modern)	1	Symmetric	39.000	22.000	Greek	Indo-European	Simple Clauses
gnn	Gunin	1	Symmetric	-14.250	126.667	Wororan	Australian	Simple Clauses
gku	Gününa Küne	1	Symmetric	-41.000	-67.000	Puelche	Chon	Simple Clauses
hai	Haida	1	Symmetric	53.000	-132.000	Haida	Haida	Simple Clauses
hmo	Hmong Njua	1	Symmetric	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hui	Huichol	1	Symmetric	22.000	-104.000	Corachol	Uto-Aztecan	Simple Clauses
hun	Hungarian	1	Symmetric	47.000	20.000	Ugric	Uralic	Simple Clauses
ice	Icelandic	1	Symmetric	65.000	-17.000	Germanic	Indo-European	Simple Clauses
ind	Indonesian	1	Symmetric	0.000	106.000	Malayic	Austronesian	Simple Clauses
ing	Ingush	1	Symmetric	43.167	45.083	Nakh	Nakh-Daghestanian	Simple Clauses
ita	Italian	1	Symmetric	43.000	12.000	Romance	Indo-European	Simple Clauses
jeb	Jebero	1	Symmetric	-5.417	-76.500	Cahuapanan	Cahuapanan	Simple Clauses
juh	Ju|'hoan	1	Symmetric	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
ckl	Chinook (Lower)	1	Symmetric	46.250	-123.500	Chinookan	Penutian	Simple Clauses
ket	Ket	1	Symmetric	64.000	87.000	Yeniseian	Yeniseian	Simple Clauses
kew	Kewa	1	Symmetric	-6.500	143.833	Engan	Trans-New Guinea	Simple Clauses
kmu	Khmu'	1	Symmetric	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klv	Kilivila	1	Symmetric	-8.500	151.083	Oceanic	Austronesian	Simple Clauses
klm	Klamath	1	Symmetric	42.500	-121.500	Klamath-Modoc	Penutian	Simple Clauses
kob	Kobon	1	Symmetric	-5.167	144.333	Madang	Trans-New Guinea	Simple Clauses
kon	Kongo	1	Symmetric	-5.000	15.000	Bantoid	Niger-Congo	Simple Clauses
kfe	Koromfe	1	Symmetric	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
kun	Kuna	1	Symmetric	8.000	-77.333	Kuna	Chibchan	Simple Clauses
kut	Kutenai	1	Symmetric	49.500	-116.000	Kutenai	Kutenai	Simple Clauses
kwz	Kwazá	1	Symmetric	-12.583	-60.667	Kwaza	Kwaza	Simple Clauses
lkt	Lakhota	1	Symmetric	43.833	-101.833	Siouan	Siouan	Simple Clauses
lan	Lango	1	Symmetric	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
mne	Maidu (Northeast)	1	Symmetric	40.000	-120.667	Maiduan	Penutian	Simple Clauses
mal	Malagasy	1	Symmetric	-20.000	47.000	Barito	Austronesian	Simple Clauses
mns	Mansi	1	Symmetric	62.000	62.000	Ugric	Uralic	Simple Clauses
map	Mapudungun	1	Symmetric	-38.000	-72.000	Araucanian	Araucanian	Simple Clauses
mku	Maranungku	1	Symmetric	-13.667	130.000	Western Daly	Australian	Simple Clauses
mar	Maricopa	1	Symmetric	33.167	-113.167	Yuman	Hokan	Simple Clauses
mrt	Martuthunira	1	Symmetric	-20.833	116.500	Pama-Nyungan	Australian	Simple Clauses
mas	Masa	1	Symmetric	10.500	15.500	Masa	Afro-Asiatic	Simple Clauses
may	Maybrat	1	Symmetric	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
mss	Miwok (Southern Sierra)	1	Symmetric	37.500	-120.000	Miwok	Penutian	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Symmetric	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
mos	Mosetén	1	Symmetric	-14.750	-67.833	Mosetenan	Mosetenan	Simple Clauses
mun	Mundari	1	Symmetric	23.000	84.667	Munda	Austro-Asiatic	Simple Clauses
mrl	Murle	1	Symmetric	6.500	33.500	Surmic	Nilo-Saharan	Simple Clauses
nht	Nahuatl (Tetelcingo)	1	Symmetric	19.667	-99.000	Aztecan	Uto-Aztecan	Simple Clauses
ndy	Ndyuka	1	Symmetric	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
nez	Nez Perce	1	Symmetric	46.000	-116.000	Sahaptian	Penutian	Simple Clauses
nti	Ngiti	1	Symmetric	1.333	30.250	Lendu	Nilo-Saharan	Simple Clauses
ngi	Ngiyambaa	1	Symmetric	-31.750	145.500	Pama-Nyungan	Australian	Simple Clauses
nca	Nicobarese (Car)	1	Symmetric	9.000	93.000	Nicobarese	Austro-Asiatic	Simple Clauses
ono	Ono	1	Symmetric	-6.167	147.583	Finisterre-Huon	Trans-New Guinea	Simple Clauses
pau	Paumarí	1	Symmetric	-6.000	-64.000	Arauan	Arauan	Simple Clauses
prs	Persian	1	Symmetric	32.000	54.000	Iranian	Indo-European	Simple Clauses
pba	Pima Bajo	1	Symmetric	29.000	-111.000	Tepiman	Uto-Aztecan	Simple Clauses
prh	Pirahã	1	Symmetric	-7.000	-62.000	Mura	Mura	Simple Clauses
psj	Popoloca (San Juan Atzingo)	1	Symmetric	18.167	-96.417	Popolocan	Oto-Manguean	Simple Clauses
qaw	Qawasqar	1	Symmetric	-49.000	-75.000	Alacalufan	Alacalufan	Simple Clauses
rus	Russian	1	Symmetric	56.000	38.000	Slavic	Indo-European	Simple Clauses
san	Sango	1	Symmetric	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
sap	Sapuan	1	Symmetric	15.167	106.833	Bahnaric	Austro-Asiatic	Simple Clauses
saw	Sawu	1	Symmetric	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Simple Clauses
shk	Shipibo-Konibo	1	Symmetric	-7.500	-75.000	Panoan	Panoan	Simple Clauses
siu	Siuslaw	1	Symmetric	44.000	-124.000	Siuslawan	Oregon Coast	Simple Clauses
sla	Slave	1	Symmetric	67.000	-125.000	Athapaskan	Na-Dene	Simple Clauses
