Miestamo, Matti. 2011. Subtypes of Asymmetric Standard Negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 114A.
Available online at http://wals.info/feature/114A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
acm	Achumawi	1	A/Fin	41.500	-121.000	Palaihnihan	Hokan	Simple Clauses
apl	Apalaí	1	A/Fin	0.000	-54.000	Cariban	Cariban	Simple Clauses
ana	Araona	1	A/Fin	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
arm	Armenian (Eastern)	1	A/Fin	40.000	45.000	Armenian	Indo-European	Simple Clauses
bae	Baré	1	A/Fin	1.000	-67.000	Arawakan	Arawakan	Simple Clauses
car	Carib	1	A/Fin	5.500	-56.000	Cariban	Cariban	Simple Clauses
mnd	Mandarin	1	A/Fin	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
dni	Dani (Lower Grand Valley)	1	A/Fin	-4.333	138.833	Dani	Trans-New Guinea	Simple Clauses
eve	Evenki	1	A/Fin	56.000	125.000	Tungusic	Altaic	Simple Clauses
fij	Fijian	1	A/Fin	-17.833	178.000	Oceanic	Austronesian	Simple Clauses
fin	Finnish	1	A/Fin	62.000	25.000	Finnic	Uralic	Simple Clauses
gbb	Gbeya Bossangoa	1	A/Fin	6.667	17.500	Ubangi	Niger-Congo	Simple Clauses
heb	Hebrew (Modern)	1	A/Fin	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hix	Hixkaryana	1	A/Fin	-1.000	-59.000	Cariban	Cariban	Simple Clauses
hve	Huave (San Mateo del Mar)	1	A/Fin	16.217	-95.000	Huavean	Huavean	Simple Clauses
ika	Ika	1	A/Fin	10.667	-73.750	Aruak	Chibchan	Simple Clauses
ina	Inanwatan	1	A/Fin	-2.083	132.083	South Bird's Head	Marind	Simple Clauses
irq	Iraqw	1	A/Fin	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Simple Clauses
ham	Hamtai	1	A/Fin	-7.500	146.250	Angan	Trans-New Guinea	Simple Clauses
kha	Khalkha	1	A/Fin	47.000	105.000	Mongolic	Altaic	Simple Clauses
khr	Kharia	1	A/Fin	22.500	84.333	Munda	Austro-Asiatic	Simple Clauses
kro	Krongo	1	A/Fin	10.500	30.000	Kadugli	Kadugli	Simple Clauses
lew	Lewo	1	A/Fin	-16.750	168.333	Oceanic	Austronesian	Simple Clauses
maa	Maasai	1	A/Fin	-3.000	36.000	Nilotic	Nilo-Saharan	Simple Clauses
mak	Makah	1	A/Fin	48.333	-124.667	Southern Wakashan	Wakashan	Simple Clauses
mao	Maori	1	A/Fin	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
nad	Nadëb	1	A/Fin	-1.000	-66.500	Nadahup	Nadahup	Simple Clauses
nah	Nahali	1	A/Fin	19.750	77.833	Nahali	Nahali	Simple Clauses
nen	Nenets	1	A/Fin	69.000	72.000	Samoyedic	Uralic	Simple Clauses
nbd	Nubian (Dongolese)	1	A/Fin	18.250	30.750	Nubian	Nilo-Saharan	Simple Clauses
pit	Pitjantjatjara	1	A/Fin	-26.000	130.000	Pama-Nyungan	Australian	Simple Clauses
qui	Quileute	1	A/Fin	47.917	-124.250	Chimakuan	Chimakuan	Simple Clauses
sel	Selknam	1	A/Fin	-53.000	-70.000	Chon Proper	Chon	Simple Clauses
snt	Sentani	1	A/Fin	-2.583	140.583	Sentani	Sentani	Simple Clauses
sue	Suena	1	A/Fin	-7.750	147.550	Binanderean	Trans-New Guinea	Simple Clauses
wao	Waorani	1	A/Fin	-1.000	-76.500	Waorani	Waorani	Simple Clauses
wra	Warao	1	A/Fin	9.333	-61.667	Warao	Warao	Simple Clauses
war	Wari'	1	A/Fin	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Simple Clauses
win	Wintu	1	A/Fin	41.000	-122.500	Wintuan	Penutian	Simple Clauses
yar	Yareba	1	A/Fin	-9.500	148.500	Yareban	Yareban	Simple Clauses
ala	Alamblak	2	A/NonReal	-4.667	143.333	Sepik Hill	Sepik	Simple Clauses
asm	Asmat	2	A/NonReal	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
aym	Aymara	2	A/NonReal	-17.000	-69.000	Aymaran	Aymaran	Simple Clauses
arp	Arapesh (Mountain)	2	A/NonReal	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
bua	Burarra	2	A/NonReal	-12.250	134.583	Burarran	Australian	Simple Clauses
har	Haruai	2	A/NonReal	-5.083	144.167	Upper Yuat	Upper Yuat	Simple Clauses
ige	Igede	2	A/NonReal	7.000	8.167	Idomoid	Niger-Congo	Simple Clauses
jak	Jakaltek	2	A/NonReal	15.667	-91.667	Mayan	Mayan	Simple Clauses
jaq	Jaqaru	2	A/NonReal	-13.000	-76.000	Aymaran	Aymaran	Simple Clauses
wch	Wichí	2	A/NonReal	-22.500	-62.583	Matacoan	Matacoan	Simple Clauses
mau	Maung	2	A/NonReal	-11.917	133.500	Iwaidjan	Australian	Simple Clauses
nyu	Nyulnyul	2	A/NonReal	-17.000	122.833	Nyulnyulan	Australian	Simple Clauses
qim	Quechua (Imbabura)	2	A/NonReal	0.333	-78.000	Quechuan	Quechuan	Simple Clauses
see	Seediq	2	A/NonReal	24.167	121.417	Atayalic	Austronesian	Simple Clauses
tkl	Takelma	2	A/NonReal	42.500	-123.000	Takelma	Takelma	Simple Clauses
