Haspelmath, Martin. 2011. Negative Indefinite Pronouns and Predicate Negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 115A.
Available online at http://wals.info/feature/115A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kkp	Karakalpak	1	Predicate negation also present	43.000	60.000	Turkic	Altaic	Simple Clauses
kaz	Kazakh	1	Predicate negation also present	50.000	70.000	Turkic	Altaic	Simple Clauses
eve	Evenki	1	Predicate negation also present	56.000	125.000	Tungusic	Altaic	Simple Clauses
udh	Udihe	1	Predicate negation also present	47.667	136.250	Tungusic	Altaic	Simple Clauses
niv	Nivkh	1	Predicate negation also present	53.333	142.000	Nivkh	Nivkh	Simple Clauses
yko	Yukaghir (Kolyma)	1	Predicate negation also present	65.750	150.833	Yukaghir	Yukaghir	Simple Clauses
ket	Ket	1	Predicate negation also present	64.000	87.000	Yeniseian	Yeniseian	Simple Clauses
sno	Saami (Northern)	1	Predicate negation also present	69.000	24.000	Saami	Uralic	Simple Clauses
moe	Mordvin (Erzya)	1	Predicate negation also present	53.000	45.500	Mordvin	Uralic	Simple Clauses
kzy	Komi-Zyrian	1	Predicate negation also present	65.000	55.000	Permic	Uralic	Simple Clauses
kty	Khanty	1	Predicate negation also present	65.000	65.000	Ugric	Uralic	Simple Clauses
skp	Selkup	1	Predicate negation also present	65.000	82.000	Samoyedic	Uralic	Simple Clauses
rus	Russian	1	Predicate negation also present	56.000	38.000	Slavic	Indo-European	Simple Clauses
kob	Kobon	1	Predicate negation also present	-5.167	144.333	Madang	Trans-New Guinea	Simple Clauses
map	Mapudungun	1	Predicate negation also present	-38.000	-72.000	Araucanian	Araucanian	Simple Clauses
pae	Páez	1	Predicate negation also present	2.667	-76.000	Páezan	Páezan	Simple Clauses
abk	Abkhaz	1	Predicate negation also present	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	1	Predicate negation also present	43.000	143.000	Ainu	Ainu	Simple Clauses
aeg	Arabic (Egyptian)	1	Predicate negation also present	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
ana	Araona	1	Predicate negation also present	-12.333	-67.750	Tacanan	Tacanan	Simple Clauses
awp	Awa Pit	1	Predicate negation also present	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
bab	Babungo	1	Predicate negation also present	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
bag	Bagirmi	1	Predicate negation also present	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
bsq	Basque	1	Predicate negation also present	43.000	-3.000	Basque	Basque	Simple Clauses
baw	Bawm	1	Predicate negation also present	22.500	92.250	Kuki-Chin	Sino-Tibetan	Simple Clauses
brh	Brahui	1	Predicate negation also present	28.500	67.000	Northern Dravidian	Dravidian	Simple Clauses
brm	Burmese	1	Predicate negation also present	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
ckr	Canela-Krahô	1	Predicate negation also present	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
cnt	Cantonese	1	Predicate negation also present	23.000	113.000	Chinese	Sino-Tibetan	Simple Clauses
chk	Chukchi	1	Predicate negation also present	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
grw	Greenlandic (West)	1	Predicate negation also present	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
fin	Finnish	1	Predicate negation also present	62.000	25.000	Finnic	Uralic	Simple Clauses
goo	Gooniyandi	1	Predicate negation also present	-18.333	126.333	Bunuban	Australian	Simple Clauses
grk	Greek (Modern)	1	Predicate negation also present	39.000	22.000	Greek	Indo-European	Simple Clauses
gua	Guaraní	1	Predicate negation also present	-26.000	-56.000	Tupi-Guaraní	Tupian	Simple Clauses
hau	Hausa	1	Predicate negation also present	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
heb	Hebrew (Modern)	1	Predicate negation also present	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Predicate negation also present	25.000	77.000	Indic	Indo-European	Simple Clauses
hmo	Hmong Njua	1	Predicate negation also present	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
hun	Hungarian	1	Predicate negation also present	47.000	20.000	Ugric	Uralic	Simple Clauses
hzb	Hunzib	1	Predicate negation also present	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
ind	Indonesian	1	Predicate negation also present	0.000	106.000	Malayic	Austronesian	Simple Clauses
jpn	Japanese	1	Predicate negation also present	37.000	140.000	Japanese	Japanese	Simple Clauses
knd	Kannada	1	Predicate negation also present	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
kas	Kashmiri	1	Predicate negation also present	34.000	76.000	Indic	Indo-European	Simple Clauses
ker	Kera	1	Predicate negation also present	9.833	15.083	East Chadic	Afro-Asiatic	Simple Clauses
khs	Khasi	1	Predicate negation also present	25.500	92.000	Khasian	Austro-Asiatic	Simple Clauses
kmu	Khmu'	1	Predicate negation also present	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
klv	Kilivila	1	Predicate negation also present	-8.500	151.083	Oceanic	Austronesian	Simple Clauses
kio	Kiowa	1	Predicate negation also present	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Simple Clauses
kor	Korean	1	Predicate negation also present	37.500	128.000	Korean	Korean	Simple Clauses
kfe	Koromfe	1	Predicate negation also present	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
lak	Lak	1	Predicate negation also present	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Simple Clauses
lkt	Lakhota	1	Predicate negation also present	43.833	-101.833	Siouan	Siouan	Simple Clauses
