Dryer, Matthew S.. 2011. Polar Questions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 116A.
Available online at http://wals.info/feature/116A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Question particle	-19.000	21.000	Northern Khoisan	Khoisan	Simple Clauses
krn	Korana	1	Question particle	-29.500	20.500	Central Khoisan	Khoisan	Simple Clauses
kho	Khoekhoe	1	Question particle	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
ani	//Ani	1	Question particle	-18.917	21.917	Central Khoisan	Khoisan	Simple Clauses
kxo	Kxoe	1	Question particle	-17.500	22.500	Central Khoisan	Khoisan	Simple Clauses
xoo	!Xóõ	1	Question particle	-24.000	21.500	Southern Khoisan	Khoisan	Simple Clauses
bus	Busa	1	Question particle	9.667	4.000	Eastern Mande	Niger-Congo	Simple Clauses
dan	Dan	1	Question particle	7.500	-8.000	Eastern Mande	Niger-Congo	Simple Clauses
maw	Maninka (Western)	1	Question particle	13.000	-11.000	Western Mande	Niger-Congo	Simple Clauses
bam	Bambara	1	Question particle	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
mka	Mauka	1	Question particle	8.333	-7.500	Western Mande	Niger-Congo	Simple Clauses
snn	Soninke	1	Question particle	15.000	-10.500	Western Mande	Niger-Congo	Simple Clauses
fua	Fula (Cameroonian)	1	Question particle	9.167	13.500	Northern Atlantic	Niger-Congo	Simple Clauses
wlf	Wolof	1	Question particle	15.250	-16.000	Northern Atlantic	Niger-Congo	Simple Clauses
tne	Temne	1	Question particle	8.667	-13.083	Southern Atlantic	Niger-Congo	Simple Clauses
grb	Grebo	1	Question particle	5.000	-8.000	Kru	Niger-Congo	Simple Clauses
dds	Donno So	1	Question particle	14.333	-3.583	Dogon	Niger-Congo	Simple Clauses
tny	Tenyer	1	Question particle	10.667	-4.500	Gur	Niger-Congo	Simple Clauses
sup	Supyire	1	Question particle	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
kfe	Koromfe	1	Question particle	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
moo	Mooré	1	Question particle	12.833	-1.250	Gur	Niger-Congo	Simple Clauses
kby	Kabiyé	1	Question particle	9.667	1.167	Gur	Niger-Congo	Simple Clauses
doy	Doyayo	1	Question particle	8.667	13.083	Adamawa	Niger-Congo	Simple Clauses
mum	Mumuye	1	Question particle	9.000	11.667	Adamawa	Niger-Congo	Simple Clauses
mbm	Mbum	1	Question particle	7.750	13.167	Adamawa	Niger-Congo	Simple Clauses
gbb	Gbeya Bossangoa	1	Question particle	6.667	17.500	Ubangi	Niger-Congo	Simple Clauses
ngb	Ngbaka	1	Question particle	3.500	20.000	Ubangi	Niger-Congo	Simple Clauses
san	Sango	1	Question particle	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
lnd	Linda	1	Question particle	6.500	20.750	Ubangi	Niger-Congo	Simple Clauses
akn	Akan	1	Question particle	6.500	-1.250	Kwa	Niger-Congo	Simple Clauses
nkn	Nkonya	1	Question particle	7.167	0.250	Kwa	Niger-Congo	Simple Clauses
ega	Ega	1	Question particle	5.500	-5.500	Kwa	Niger-Congo	Simple Clauses
ewe	Ewe	1	Question particle	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
adi	Adioukrou	1	Question particle	5.417	-4.583	Kwa	Niger-Congo	Simple Clauses
ebi	Ebira	1	Question particle	8.167	7.000	Nupoid	Niger-Congo	Simple Clauses
nup	Nupe	1	Question particle	9.167	5.417	Nupoid	Niger-Congo	Simple Clauses
gwa	Gwari	1	Question particle	9.500	7.000	Nupoid	Niger-Congo	Simple Clauses
ige	Igede	1	Question particle	7.000	8.167	Idomoid	Niger-Congo	Simple Clauses
egn	Engenni	1	Question particle	5.167	6.383	Edoid	Niger-Congo	Simple Clauses
izi	Izi	1	Question particle	6.333	8.000	Igboid	Niger-Congo	Simple Clauses
juk	Jukun	1	Question particle	6.917	10.417	Platoid	Niger-Congo	Simple Clauses
bir	Birom	1	Question particle	9.667	8.833	Platoid	Niger-Congo	Simple Clauses
fye	Fyem	1	Question particle	9.583	9.333	Platoid	Niger-Congo	Simple Clauses
obo	Obolo	1	Question particle	4.583	7.833	Cross River	Niger-Congo	Simple Clauses
efi	Efik	1	Question particle	4.917	8.500	Cross River	Niger-Congo	Simple Clauses
gok	Gokana	1	Question particle	4.583	7.333	Cross River	Niger-Congo	Simple Clauses
duk	Duka	1	Question particle	11.167	5.083	Kainji	Niger-Congo	Simple Clauses
amo	Amo	1	Question particle	10.333	8.667	Kainji	Niger-Congo	Simple Clauses
jar	Jarawa (in Nigeria)	1	Question particle	9.500	10.500	Bantoid	Niger-Congo	Simple Clauses
mgk	Mungaka	1	Question particle	5.917	10.000	Bantoid	Niger-Congo	Simple Clauses
mbi	Mbili	1	Question particle	6.117	10.200	Bantoid	Niger-Congo	Simple Clauses
bab	Babungo	1	Question particle	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
non	Noni	1	Question particle	6.417	10.583	Bantoid	Niger-Congo	Simple Clauses
ldo	Londo	1	Question particle	5.000	9.167	Bantoid	Niger-Congo	Simple Clauses
bkn	Bakundu	1	Question particle	4.833	9.333	Bantoid	Niger-Congo	Simple Clauses
tnn	Tunen	1	Question particle	4.750	10.667	Bantoid	Niger-Congo	Simple Clauses
ewo	Ewondo	1	Question particle	4.000	12.000	Bantoid	Niger-Congo	Simple Clauses
ifm	Ifumu	1	Question particle	-3.667	15.333	Bantoid	Niger-Congo	Simple Clauses
dng	Ding	1	Question particle	-4.333	19.500	Bantoid	Niger-Congo	Simple Clauses
cga	Chaga	1	Question particle	-3.000	37.000	Bantoid	Niger-Congo	Simple Clauses
swa	Swahili	1	Question particle	-6.500	39.000	Bantoid	Niger-Congo	Simple Clauses
nko	Nkore-Kiga	1	Question particle	-0.917	29.833	Bantoid	Niger-Congo	Simple Clauses
hnd	Hunde	1	Question particle	-1.167	28.833	Bantoid	Niger-Congo	Simple Clauses
luv	Luvale	1	Question particle	-12.000	22.000	Bantoid	Niger-Congo	Simple Clauses
kwn	Kwangali	1	Question particle	-18.000	19.500	Bantoid	Niger-Congo	Simple Clauses
kil	Kiluba	1	Question particle	-8.000	26.000	Bantoid	Niger-Congo	Simple Clauses
bem	Bemba	1	Question particle	-10.000	28.250	Bantoid	Niger-Congo	Simple Clauses
lmb	Lamba	1	Question particle	-13.000	28.000	Bantoid	Niger-Congo	Simple Clauses
toz	Tonga (in Zambia)	1	Question particle	-17.000	27.000	Bantoid	Niger-Congo	Simple Clauses
cic	Chichewa	1	Question particle	-14.000	34.000	Bantoid	Niger-Congo	Simple Clauses
loz	Lozi	1	Question particle	-17.833	26.000	Bantoid	Niger-Congo	Simple Clauses
xho	Xhosa	1	Question particle	-32.000	27.000	Bantoid	Niger-Congo	Simple Clauses
zul	Zulu	1	Question particle	-30.000	30.000	Bantoid	Niger-Congo	Simple Clauses
swt	Swati	1	Question particle	-26.500	31.000	Bantoid	Niger-Congo	Simple Clauses
tsn	Tsonga	1	Question particle	-24.000	32.000	Bantoid	Niger-Congo	Simple Clauses
laa	Laal	1	Question particle	10.000	17.667	Laal	Laal	Simple Clauses
kse	Koyraboro Senni	1	Question particle	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
tbu	Tubu	1	Question particle	16.000	15.000	Western Saharan	Nilo-Saharan	Simple Clauses
maj	Majang	1	Question particle	6.750	35.000	Surmic	Nilo-Saharan	Simple Clauses
mee	Me'en	1	Question particle	5.000	37.000	Surmic	Nilo-Saharan	Simple Clauses
nar	Nara (in Ethiopia)	1	Question particle	15.083	37.583	Nara	Nilo-Saharan	Simple Clauses
bar	Bari	1	Question particle	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
maa	Maasai	1	Question particle	-3.000	36.000	Nilotic	Nilo-Saharan	Simple Clauses
kmj	Karimojong	1	Question particle	3.000	34.167	Nilotic	Nilo-Saharan	Simple Clauses
tna	Turkana	1	Question particle	3.000	35.500	Nilotic	Nilo-Saharan	Simple Clauses
nan	Nandi	1	Question particle	0.250	35.000	Nilotic	Nilo-Saharan	Simple Clauses
ik	Ik	1	Question particle	3.750	34.167	Kuliak	Nilo-Saharan	Simple Clauses
so	So	1	Question particle	2.583	34.750	Kuliak	Nilo-Saharan	Simple Clauses
kre	Kresh	1	Question particle	8.500	24.500	Kresh	Nilo-Saharan	Simple Clauses
bgo	Bongo	1	Question particle	7.500	28.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
ngm	Ngambay	1	Question particle	8.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
mby	Mbay	1	Question particle	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
bag	Bagirmi	1	Question particle	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
gul	Gula (in Central African Republic)	1	Question particle	9.500	22.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
ken	Kenga	1	Question particle	12.000	18.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
kar	Kara (in Central African Republic)	1	Question particle	10.000	23.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
yul	Yulu	1	Question particle	8.500	25.250	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
mou	Moru	1	Question particle	4.750	29.750	Moru-Ma'di	Nilo-Saharan	Simple Clauses
lug	Lugbara	1	Question particle	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Simple Clauses
mad	Ma'di	1	Question particle	3.250	31.500	Moru-Ma'di	Nilo-Saharan	Simple Clauses
