Stassen, Leon. 2011. Predicative Possession.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 117A.
Available online at http://wals.info/feature/117A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
agl	Aghul	1	Locational	41.750	47.667	Lezgic	Nakh-Daghestanian	Simple Clauses
abm	Alabama	1	Locational	32.333	-87.417	Muskogean	Muskogean	Simple Clauses
amh	Amharic	1	Locational	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
aeg	Arabic (Egyptian)	1	Locational	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
amp	Arrernte (Mparntwe)	1	Locational	-24.000	136.000	Pama-Nyungan	Australian	Simple Clauses
bam	Bambara	1	Locational	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
bln	Bilin	1	Locational	15.750	38.500	Central Cushitic	Afro-Asiatic	Simple Clauses
bre	Breton	1	Locational	48.000	-3.000	Celtic	Indo-European	Simple Clauses
brm	Burmese	1	Locational	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
ckr	Canela-Krahô	1	Locational	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
shk	Shipibo-Konibo	1	Locational	-7.500	-75.000	Panoan	Panoan	Simple Clauses
cop	Coptic	1	Locational	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
dmk	Dumaki	1	Locational	36.167	74.000	Indic	Indo-European	Simple Clauses
ewe	Ewe	1	Locational	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
fij	Fijian	1	Locational	-17.833	178.000	Oceanic	Austronesian	Simple Clauses
fin	Finnish	1	Locational	62.000	25.000	Finnic	Uralic	Simple Clauses
gae	Gaelic (Scots)	1	Locational	57.000	-4.000	Celtic	Indo-European	Simple Clauses
heb	Hebrew (Modern)	1	Locational	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Locational	25.000	77.000	Indic	Indo-European	Simple Clauses
hun	Hungarian	1	Locational	47.000	20.000	Ugric	Uralic	Simple Clauses
iri	Irish	1	Locational	53.000	-8.000	Celtic	Indo-European	Simple Clauses
jpn	Japanese	1	Locational	37.000	140.000	Japanese	Japanese	Simple Clauses
kbl	Kabyle	1	Locational	36.500	5.000	Berber	Afro-Asiatic	Simple Clauses
knd	Kannada	1	Locational	14.000	76.000	Southern Dravidian	Dravidian	Simple Clauses
ket	Ket	1	Locational	64.000	87.000	Yeniseian	Yeniseian	Simple Clauses
kha	Khalkha	1	Locational	47.000	105.000	Mongolic	Altaic	Simple Clauses
kor	Korean	1	Locational	37.500	128.000	Korean	Korean	Simple Clauses
kpe	Kpelle	1	Locational	7.000	-10.000	Western Mande	Niger-Congo	Simple Clauses
kku	Korku	1	Locational	22.500	78.500	Munda	Austro-Asiatic	Simple Clauses
lad	Ladakhi	1	Locational	34.000	78.000	Bodic	Sino-Tibetan	Simple Clauses
lat	Latvian	1	Locational	57.000	24.000	Baltic	Indo-European	Simple Clauses
miz	Mizo	1	Locational	23.167	92.833	Kuki-Chin	Sino-Tibetan	Simple Clauses
mlt	Maltese	1	Locational	35.917	14.417	Semitic	Afro-Asiatic	Simple Clauses
mnc	Manchu	1	Locational	49.500	127.500	Tungusic	Altaic	Simple Clauses
mun	Mundari	1	Locational	23.000	84.667	Munda	Austro-Asiatic	Simple Clauses
nbh	Nubian (Hill)	1	Locational	12.000	31.000	Nubian	Nilo-Saharan	Simple Clauses
prd	Parji (Dravidian)	1	Locational	19.500	82.500	Central Dravidian	Dravidian	Simple Clauses
rus	Russian	1	Locational	56.000	38.000	Slavic	Indo-European	Simple Clauses
sam	Samoan	1	Locational	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
snc	Seneca	1	Locational	42.500	-77.500	Northern Iroquoian	Iroquoian	Simple Clauses
snh	Sinhala	1	Locational	7.000	80.500	Indic	Indo-European	Simple Clauses
tas	Tashlhiyt	1	Locational	31.000	-5.000	Berber	Afro-Asiatic	Simple Clauses
tug	Tuareg (Ahaggar)	1	Locational	23.000	6.000	Berber	Afro-Asiatic	Simple Clauses
tml	Tamil	1	Locational	11.000	78.500	Southern Dravidian	Dravidian	Simple Clauses
uzb	Uzbek	1	Locational	39.000	66.000	Turkic	Altaic	Simple Clauses
wel	Welsh	1	Locational	52.000	-3.000	Celtic	Indo-European	Simple Clauses
wic	Wichita	1	Locational	33.333	-97.333	Caddoan	Caddoan	Simple Clauses
ykt	Yakut	1	Locational	62.000	130.000	Turkic	Altaic	Simple Clauses
arc	Archi	2	Genitive	42.000	46.833	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	2	Genitive	40.000	45.000	Armenian	Indo-European	Simple Clauses
ava	Avar	2	Genitive	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
bej	Beja	2	Genitive	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
ben	Bengali	2	Genitive	24.000	90.000	Indic	Indo-European	Simple Clauses
bur	Burushaski	2	Genitive	36.500	74.500	Burushaski	Burushaski	Simple Clauses
chc	Chechen	2	Genitive	43.250	45.833	Nakh	Nakh-Daghestanian	Simple Clauses
evn	Even	2	Genitive	68.000	130.000	Tungusic	Altaic	Simple Clauses
gum	Gumbaynggir	2	Genitive	-30.167	152.500	Pama-Nyungan	Australian	Simple Clauses
lep	Lepcha	2	Genitive	27.167	88.500	Lepcha	Sino-Tibetan	Simple Clauses
lez	Lezgian	2	Genitive	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
lim	Limbu	2	Genitive	27.167	87.750	Bodic	Sino-Tibetan	Simple Clauses
mei	Meithei	2	Genitive	24.750	94.000	Kuki-Chin	Sino-Tibetan	Simple Clauses
mao	Maori	2	Genitive	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
moe	Mordvin (Erzya)	2	Genitive	53.000	45.500	Mordvin	Uralic	Simple Clauses
