Stassen, Leon. 2011. Predicative Adjectives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 118A.
Available online at http://wals.info/feature/118A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abz	Abaza	1	Verbal encoding	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abk	Abkhaz	1	Verbal encoding	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ace	Acehnese	1	Verbal encoding	5.500	95.500	Malayic	Austronesian	Simple Clauses
aco	Acoma	1	Verbal encoding	34.917	-107.583	Keresan	Keresan	Simple Clauses
ady	Adyghe (Abzakh)	1	Verbal encoding	45.233	40.583	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	1	Verbal encoding	43.000	143.000	Ainu	Ainu	Simple Clauses
abm	Alabama	1	Verbal encoding	32.333	-87.417	Muskogean	Muskogean	Simple Clauses
lnw	Lonwolwol	1	Verbal encoding	-16.217	168.000	Oceanic	Austronesian	Simple Clauses
agm	Angami	1	Verbal encoding	25.667	94.500	Kuki-Chin	Sino-Tibetan	Simple Clauses
aro	Arosi	1	Verbal encoding	-10.250	161.333	Oceanic	Austronesian	Simple Clauses
bag	Bagirmi	1	Verbal encoding	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
nbb	Nambas (Big)	1	Verbal encoding	-16.083	167.200	Oceanic	Austronesian	Simple Clauses
blx	Biloxi	1	Verbal encoding	30.500	-88.667	Siouan	Siouan	Simple Clauses
bla	Blackfoot	1	Verbal encoding	50.000	-112.667	Algonquian	Algic	Simple Clauses
bgo	Bongo	1	Verbal encoding	7.500	28.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
brr	Bororo	1	Verbal encoding	-16.000	-57.000	Bororo	Macro-Ge	Simple Clauses
brm	Burmese	1	Verbal encoding	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
