Stassen, Leon. 2011. Nominal and Locational Predication.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 119A.
Available online at http://wals.info/feature/119A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abz	Abaza	1	Different	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abk	Abkhaz	1	Different	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ace	Acehnese	1	Different	5.500	95.500	Malayic	Austronesian	Simple Clauses
acl	Acholi	1	Different	3.000	32.667	Nilotic	Nilo-Saharan	Simple Clauses
acm	Achumawi	1	Different	41.500	-121.000	Palaihnihan	Hokan	Simple Clauses
aco	Acoma	1	Different	34.917	-107.583	Keresan	Keresan	Simple Clauses
ady	Adyghe (Abzakh)	1	Different	45.233	40.583	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	1	Different	43.000	143.000	Ainu	Ainu	Simple Clauses
akn	Akan	1	Different	6.500	-1.250	Kwa	Niger-Congo	Simple Clauses
abm	Alabama	1	Different	32.333	-87.417	Muskogean	Muskogean	Simple Clauses
ala	Alamblak	1	Different	-4.667	143.333	Sepik Hill	Sepik	Simple Clauses
lnw	Lonwolwol	1	Different	-16.217	168.000	Oceanic	Austronesian	Simple Clauses
ame	Amele	1	Different	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
agm	Angami	1	Different	25.667	94.500	Kuki-Chin	Sino-Tibetan	Simple Clauses
arp	Arapesh (Mountain)	1	Different	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
aro	Arosi	1	Different	-10.250	161.333	Oceanic	Austronesian	Simple Clauses
awt	Awtuw	1	Different	-3.583	142.000	Ram	Sepik	Simple Clauses
bag	Bagirmi	1	Different	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
sng	Sinaugoro	1	Different	-9.833	147.833	Oceanic	Austronesian	Simple Clauses
bam	Bambara	1	Different	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
lnd	Linda	1	Different	6.500	20.750	Ubangi	Niger-Congo	Simple Clauses
baa	Barai	1	Different	-9.333	148.083	Koiarian	Trans-New Guinea	Simple Clauses
nar	Nara (in Ethiopia)	1	Different	15.083	37.583	Nara	Nilo-Saharan	Simple Clauses
bar	Bari	1	Different	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bsq	Basque	1	Different	43.000	-3.000	Basque	Basque	Simple Clauses
nbb	Nambas (Big)	1	Different	-16.083	167.200	Oceanic	Austronesian	Simple Clauses
blx	Biloxi	1	Different	30.500	-88.667	Siouan	Siouan	Simple Clauses
bla	Blackfoot	1	Different	50.000	-112.667	Algonquian	Algic	Simple Clauses
bgo	Bongo	1	Different	7.500	28.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
brr	Bororo	1	Different	-16.000	-57.000	Bororo	Macro-Ge	Simple Clauses
bri	Bribri	1	Different	9.417	-83.000	Talamanca	Chibchan	Simple Clauses
bui	Buli (in Indonesia)	1	Different	1.000	128.500	South Halmahera - West New Guinea	Austronesian	Simple Clauses
brj	Burji	1	Different	5.500	37.833	Eastern Cushitic	Afro-Asiatic	Simple Clauses
brm	Burmese	1	Different	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
cah	Cahuilla	1	Different	33.500	-116.250	Takic	Uto-Aztecan	Simple Clauses
khm	Khmer	1	Different	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
ckr	Canela-Krahô	1	Different	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Simple Clauses
nca	Nicobarese (Car)	1	Different	9.000	93.000	Nicobarese	Austro-Asiatic	Simple Clauses
ceb	Cebuano	1	Different	10.000	124.000	Meso-Philippine	Austronesian	Simple Clauses
cha	Chamorro	1	Different	13.450	144.750	Chamorro	Austronesian	Simple Clauses
cso	Chatino (Sierra Occidental)	1	Different	16.250	-97.333	Zapotecan	Oto-Manguean	Simple Clauses
cmh	Chemehuevi	1	Different	34.333	-115.167	Numic	Uto-Aztecan	Simple Clauses
che	Cherokee	1	Different	35.500	-83.500	Southern Iroquoian	Iroquoian	Simple Clauses
ccm	Chinantec (Comaltepec)	1	Different	17.583	-96.417	Chinantecan	Oto-Manguean	Simple Clauses
cct	Choctaw	1	Different	32.250	-88.500	Muskogean	Muskogean	Simple Clauses
chr	Chrau	1	Different	10.750	107.500	Bahnaric	Austro-Asiatic	Simple Clauses
chk	Chukchi	1	Different	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
coo	Coos (Hanis)	1	Different	43.500	-124.167	Coosan	Oregon Coast	Simple Clauses
cop	Coptic	1	Different	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cre	Cree (Plains)	1	Different	54.000	-110.000	Algonquian	Algic	Simple Clauses
cro	Crow	1	Different	47.000	-108.000	Siouan	Siouan	Simple Clauses
dab	Daba	1	Different	10.167	13.750	Biu-Mandara	Afro-Asiatic	Simple Clauses
dgb	Dagbani	1	Different	9.583	-0.500	Gur	Niger-Congo	Simple Clauses
din	Dinka	1	Different	8.500	28.000	Nilotic	Nilo-Saharan	Simple Clauses
diz	Dizi	1	Different	6.167	36.500	North Omotic	Afro-Asiatic	Simple Clauses
dmi	Dumi	1	Different	27.250	86.667	Bodic	Sino-Tibetan	Simple Clauses
dyi	Dyirbal	1	Different	-17.833	145.583	Pama-Nyungan	Australian	Simple Clauses
