Maddieson, Ian. 2011. Front Rounded Vowels.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 11A.
Available online at http://wals.info/feature/11A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	None	-24.000	21.500	Southern Khoisan	Khoisan	Phonology
ood	O'odham	1	None	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
ani	//Ani	1	None	-18.917	21.917	Central Khoisan	Khoisan	Phonology
abi	Abipón	1	None	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
abk	Abkhaz	1	None	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
ach	Aché	1	None	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	None	41.500	-121.000	Palaihnihan	Hokan	Phonology
aco	Acoma	1	None	34.917	-107.583	Keresan	Keresan	Phonology
adz	Adzera	1	None	-6.250	146.250	Oceanic	Austronesian	Phonology
agh	Aghem	1	None	6.667	10.000	Bantoid	Niger-Congo	Phonology
aht	Ahtna	1	None	62.000	-145.000	Athapaskan	Na-Dene	Phonology
ain	Ainu	1	None	43.000	143.000	Ainu	Ainu	Phonology
aiz	Aizi	1	None	5.250	-4.500	Kru	Niger-Congo	Phonology
akn	Akan	1	None	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	None	6.000	-59.500	Cariban	Cariban	Phonology
abm	Alabama	1	None	32.333	-87.417	Muskogean	Muskogean	Phonology
ala	Alamblak	1	None	-4.667	143.333	Sepik Hill	Sepik	Phonology
alw	Alawa	1	None	-15.167	134.250	Maran	Australian	Phonology
aea	Aleut (Eastern)	1	None	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	1	None	5.167	-4.333	Kwa	Niger-Congo	Phonology
amc	Amahuaca	1	None	-10.500	-72.500	Panoan	Panoan	Phonology
ame	Amele	1	None	-5.250	145.583	Madang	Trans-New Guinea	Phonology
amh	Amharic	1	None	10.000	38.000	Semitic	Afro-Asiatic	Phonology
amo	Amo	1	None	10.333	8.667	Kainji	Niger-Congo	Phonology
amu	Amuesha	1	None	-10.500	-75.417	Arawakan	Arawakan	Phonology
amz	Amuzgo	1	None	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
gan	Great Andamanese	1	None	12.000	92.667	Great Andamanese	Great Andamanese	Phonology
adk	Andoke	1	None	-0.667	-72.000	Andoke	Andoke	Phonology
ant	Angaatiha	1	None	-7.217	146.250	Angan	Trans-New Guinea	Phonology
anc	Angas	1	None	9.500	9.500	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	None	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
api	Apinayé	1	None	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	None	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	None	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	1	None	30.000	31.000	Semitic	Afro-Asiatic	Phonology
ana	Araona	1	None	-12.333	-67.750	Tacanan	Tacanan	Phonology
arc	Archi	1	None	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	1	None	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	1	None	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
ata	Atayal	1	None	24.500	121.333	Atayalic	Austronesian	Phonology
ava	Avar	1	None	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awp	Awa Pit	1	None	1.500	-78.250	Barbacoan	Barbacoan	Phonology
awn	Awngi	1	None	10.833	36.667	Central Cushitic	Afro-Asiatic	Phonology
aym	Aymara	1	None	-17.000	-69.000	Aymaran	Aymaran	Phonology
zan	Zande	1	None	4.000	26.000	Ubangi	Niger-Congo	Phonology
bag	Bagirmi	1	None	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Phonology
bai	Bai	1	None	26.000	100.000	Bai	Sino-Tibetan	Phonology
bng	Baining	1	None	-4.583	152.000	Baining	Baining-Taulil	Phonology
bki	Bakairí	1	None	-14.000	-55.000	Cariban	Cariban	Phonology
bam	Bambara	1	None	12.500	-7.500	Western Mande	Niger-Congo	Phonology
byu	Bandjalang (Yugumbir)	1	None	-27.917	153.000	Pama-Nyungan	Australian	Phonology
bno	Barasano (Northern)	1	None	0.333	-70.250	Tucanoan	Tucanoan	Phonology
brd	Bardi	1	None	-16.583	122.917	Nyulnyulan	Australian	Phonology
brb	Bariba	1	None	10.000	2.500	Gur	Niger-Congo	Phonology
bsq	Basque	1	None	43.000	-3.000	Basque	Basque	Phonology
bkr	Batak (Karo)	1	None	3.250	98.250	Sumatra	Austronesian	Phonology
bto	Batak (Toba)	1	None	2.500	99.000	Sumatra	Austronesian	Phonology
ttu	Tsova-Tush	1	None	42.500	45.500	Nakh	Nakh-Daghestanian	Phonology
baw	Bawm	1	None	22.500	92.250	Kuki-Chin	Sino-Tibetan	Phonology
bee	Beembe	1	None	-3.917	14.083	Bantoid	Niger-Congo	Phonology
bej	Beja	1	None	18.000	36.000	Beja	Afro-Asiatic	Phonology
bco	Bella Coola	1	None	52.500	-126.667	Bella Coola	Salishan	Phonology
ben	Bengali	1	None	24.000	90.000	Indic	Indo-European	Phonology
ber	Berta	1	None	10.333	34.667	Berta	Nilo-Saharan	Phonology
bet	Bété	1	None	6.250	-6.250	Kru	Niger-Congo	Phonology
bir	Birom	1	None	9.667	8.833	Platoid	Niger-Congo	Phonology
bis	Bisa	1	None	11.500	-0.500	Eastern Mande	Niger-Congo	Phonology
bbf	Bobo Fing	1	None	11.833	-4.417	Western Mande	Niger-Congo	Phonology
bod	Bodo	1	None	26.833	92.000	Bodo-Garo	Sino-Tibetan	Phonology
brr	Bororo	1	None	-16.000	-57.000	Bororo	Macro-Ge	Phonology
brh	Brahui	1	None	28.500	67.000	Northern Dravidian	Dravidian	Phonology
bra	Brao	1	None	14.167	107.500	Bahnaric	Austro-Asiatic	Phonology
bri	Bribri	1	None	9.417	-83.000	Talamanca	Chibchan	Phonology
brw	Bru (Western)	1	None	16.750	104.750	Katuic	Austro-Asiatic	Phonology
arp	Arapesh (Mountain)	1	None	-3.467	143.167	Kombio-Arapesh	Torricelli	Phonology
bul	Bulgarian	1	None	42.500	25.000	Slavic	Indo-European	Phonology
bua	Burarra	1	None	-12.250	134.583	Burarran	Australian	Phonology
brm	Burmese	1	None	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Phonology
bur	Burushaski	1	None	36.500	74.500	Burushaski	Burushaski	Phonology
cac	Cacua	1	None	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
cad	Caddo	1	None	33.333	-93.500	Caddoan	Caddoan	Phonology
