Stassen, Leon. 2011. Zero Copula for Predicate Nominals.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 120A.
Available online at http://wals.info/feature/120A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abz	Abaza	1	Impossible	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
abk	Abkhaz	1	Impossible	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
acm	Achumawi	1	Impossible	41.500	-121.000	Palaihnihan	Hokan	Simple Clauses
aco	Acoma	1	Impossible	34.917	-107.583	Keresan	Keresan	Simple Clauses
ady	Adyghe (Abzakh)	1	Impossible	45.233	40.583	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ain	Ainu	1	Impossible	43.000	143.000	Ainu	Ainu	Simple Clauses
akn	Akan	1	Impossible	6.500	-1.250	Kwa	Niger-Congo	Simple Clauses
ala	Alamblak	1	Impossible	-4.667	143.333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	1	Impossible	41.000	20.000	Albanian	Indo-European	Simple Clauses
lnw	Lonwolwol	1	Impossible	-16.217	168.000	Oceanic	Austronesian	Simple Clauses
amh	Amharic	1	Impossible	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
apl	Apalaí	1	Impossible	0.000	-54.000	Cariban	Cariban	Simple Clauses
arc	Archi	1	Impossible	42.000	46.833	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	1	Impossible	40.000	45.000	Armenian	Indo-European	Simple Clauses
ava	Avar	1	Impossible	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
awp	Awa Pit	1	Impossible	1.500	-78.250	Barbacoan	Barbacoan	Simple Clauses
nht	Nahuatl (Tetelcingo)	1	Impossible	19.667	-99.000	Aztecan	Uto-Aztecan	Simple Clauses
bab	Babungo	1	Impossible	6.117	10.417	Bantoid	Niger-Congo	Simple Clauses
blc	Baluchi	1	Impossible	28.000	62.000	Iranian	Indo-European	Simple Clauses
bam	Bambara	1	Impossible	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
lnd	Linda	1	Impossible	6.500	20.750	Ubangi	Niger-Congo	Simple Clauses
brs	Barasano	1	Impossible	-0.167	-70.667	Tucanoan	Tucanoan	Simple Clauses
bar	Bari	1	Impossible	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
bsq	Basque	1	Impossible	43.000	-3.000	Basque	Basque	Simple Clauses
bej	Beja	1	Impossible	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
