Stassen, Leon. 2011. Comparative Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 121A.
Available online at http://wals.info/feature/121A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ale	Aleut	1	Locational	54.000	-166.000	Aleut	Eskimo-Aleut	Simple Clauses
amh	Amharic	1	Locational	10.000	38.000	Semitic	Afro-Asiatic	Simple Clauses
adk	Andoke	1	Locational	-0.667	-72.000	Andoke	Andoke	Simple Clauses
arg	Arabic (Gulf)	1	Locational	26.000	49.000	Semitic	Afro-Asiatic	Simple Clauses
ams	Arabic (Modern Standard)	1	Locational	25.000	42.000	Semitic	Afro-Asiatic	Simple Clauses
amp	Arrernte (Mparntwe)	1	Locational	-24.000	136.000	Pama-Nyungan	Australian	Simple Clauses
aym	Aymara	1	Locational	-17.000	-69.000	Aymaran	Aymaran	Simple Clauses
bgi	Bagri	1	Locational	29.583	74.333	Indic	Indo-European	Simple Clauses
bae	Baré	1	Locational	1.000	-67.000	Arawakan	Arawakan	Simple Clauses
bej	Beja	1	Locational	18.000	36.000	Beja	Afro-Asiatic	Simple Clauses
bln	Bilin	1	Locational	15.750	38.500	Central Cushitic	Afro-Asiatic	Simple Clauses
bre	Breton	1	Locational	48.000	-3.000	Celtic	Indo-European	Simple Clauses
brm	Burmese	1	Locational	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
bur	Burushaski	1	Locational	36.500	74.500	Burushaski	Burushaski	Simple Clauses
car	Carib	1	Locational	5.500	-56.000	Cariban	Cariban	Simple Clauses
ceb	Cebuano	1	Locational	10.000	124.000	Meso-Philippine	Austronesian	Simple Clauses
chk	Chukchi	1	Locational	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
coe	Coeur d'Alene	1	Locational	47.250	-116.500	Interior Salish	Salishan	Simple Clauses
eve	Evenki	1	Locational	56.000	125.000	Tungusic	Altaic	Simple Clauses
geo	Georgian	1	Locational	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
gua	Guaraní	1	Locational	-26.000	-56.000	Tupi-Guaraní	Tupian	Simple Clauses
heb	Hebrew (Modern)	1	Locational	31.500	34.833	Semitic	Afro-Asiatic	Simple Clauses
hin	Hindi	1	Locational	25.000	77.000	Indic	Indo-European	Simple Clauses
hzb	Hunzib	1	Locational	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
jak	Jakaltek	1	Locational	15.667	-91.667	Mayan	Mayan	Simple Clauses
jpn	Japanese	1	Locational	37.000	140.000	Japanese	Japanese	Simple Clauses
kms	Kamass	1	Locational	52.000	92.000	Samoyedic	Uralic	Simple Clauses
knr	Kanuri	1	Locational	12.000	13.000	Western Saharan	Nilo-Saharan	Simple Clauses
kas	Kashmiri	1	Locational	34.000	76.000	Indic	Indo-European	Simple Clauses
kha	Khalkha	1	Locational	47.000	105.000	Mongolic	Altaic	Simple Clauses
kor	Korean	1	Locational	37.500	128.000	Korean	Korean	Simple Clauses
kro	Krongo	1	Locational	10.500	30.000	Kadugli	Kadugli	Simple Clauses
laz	Laz	1	Locational	41.500	41.500	Kartvelian	Kartvelian	Simple Clauses
lez	Lezgian	1	Locational	41.667	47.833	Lezgic	Nakh-Daghestanian	Simple Clauses
lim	Limbu	1	Locational	27.167	87.750	Bodic	Sino-Tibetan	Simple Clauses
maa	Maasai	1	Locational	-3.000	36.000	Nilotic	Nilo-Saharan	Simple Clauses
mlt	Maltese	1	Locational	35.917	14.417	Semitic	Afro-Asiatic	Simple Clauses
mnc	Manchu	1	Locational	49.500	127.500	Tungusic	Altaic	Simple Clauses
maw	Maninka (Western)	1	Locational	13.000	-11.000	Western Mande	Niger-Congo	Simple Clauses
map	Mapudungun	1	Locational	-38.000	-72.000	Araucanian	Araucanian	Simple Clauses
mhi	Marathi	1	Locational	19.000	76.000	Indic	Indo-European	Simple Clauses
mss	Miwok (Southern Sierra)	1	Locational	37.500	-120.000	Miwok	Penutian	Simple Clauses
mun	Mundari	1	Locational	23.000	84.667	Munda	Austro-Asiatic	Simple Clauses
ngt	Naga (Tangkhul)	1	Locational	25.000	94.500	Kuki-Chin	Sino-Tibetan	Simple Clauses
kho	Khoekhoe	1	Locational	-25.500	18.000	Central Khoisan	Khoisan	Simple Clauses
nav	Navajo	1	Locational	36.167	-108.000	Athapaskan	Na-Dene	Simple Clauses
nen	Nenets	1	Locational	69.000	72.000	Samoyedic	Uralic	Simple Clauses
nue	Nuer	1	Locational	8.333	32.000	Nilotic	Nilo-Saharan	Simple Clauses
pal	Palauan	1	Locational	7.500	134.583	Palauan	Austronesian	Simple Clauses
pir	Piro	1	Locational	-11.000	-73.500	Arawakan	Arawakan	Simple Clauses
qcu	Quechua (Cuzco)	1	Locational	-14.500	-71.000	Quechuan	Quechuan	Simple Clauses
qim	Quechua (Imbabura)	1	Locational	0.333	-78.000	Quechuan	Quechuan	Simple Clauses
rap	Rapanui	1	Locational	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
rem	Remo	1	Locational	18.000	82.000	Munda	Austro-Asiatic	Simple Clauses
sal	Salinan	1	Locational	36.000	-121.000	Salinan	Salinan	Simple Clauses
stl	Santali	1	Locational	24.500	87.000	Munda	Austro-Asiatic	Simple Clauses
siu	Siuslaw	1	Locational	44.000	-124.000	Siuslawan	Oregon Coast	Simple Clauses
taj	Tajik	1	Locational	38.667	70.000	Iranian	Indo-European	Simple Clauses
taz	Talysh (Azerbaijan)	1	Locational	38.750	48.667	Iranian	Indo-European	Simple Clauses
bma	Berber (Middle Atlas)	1	Locational	33.000	-5.000	Berber	Afro-Asiatic	Simple Clauses
tml	Tamil	1	Locational	11.000	78.500	Southern Dravidian	Dravidian	Simple Clauses
pur	Purépecha	1	Locational	19.500	-101.667	Tarascan	Tarascan	Simple Clauses
tel	Telugu	1	Locational	16.000	79.000	South-Central Dravidian	Dravidian	Simple Clauses
tbu	Tubu	1	Locational	16.000	15.000	Western Saharan	Nilo-Saharan	Simple Clauses
tup	Tupi	1	Locational	-6.000	-36.000	Tupi-Guaraní	Tupian	Simple Clauses
tur	Turkish	1	Locational	39.000	35.000	Turkic	Altaic	Simple Clauses
tvl	Tuvaluan	1	Locational	-8.500	179.167	Oceanic	Austronesian	Simple Clauses
tuv	Tuvan	1	Locational	52.000	95.000	Turkic	Altaic	Simple Clauses
uby	Ubykh	1	Locational	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Simple Clauses
udm	Udmurt	1	Locational	57.500	52.500	Permic	Uralic	Simple Clauses
grw	Greenlandic (West)	1	Locational	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
khk	Khakas	1	Locational	53.000	90.000	Turkic	Altaic	Simple Clauses
yap	Yapese	1	Locational	9.583	138.167	Yapese	Austronesian	Simple Clauses
kbl	Kabyle	1	Locational	36.500	5.000	Berber	Afro-Asiatic	Simple Clauses
tug	Tuareg (Ahaggar)	1	Locational	23.000	6.000	Berber	Afro-Asiatic	Simple Clauses
amr	Arabic (Moroccan)	1	Locational	34.000	-6.000	Semitic	Afro-Asiatic	Simple Clauses
uzb	Uzbek	1	Locational	39.000	66.000	Turkic	Altaic	Simple Clauses
evn	Even	1	Locational	68.000	130.000	Tungusic	Altaic	Simple Clauses
ame	Amele	2	Exceed	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
lnd	Linda	2	Exceed	6.500	20.750	Ubangi	Niger-Congo	Simple Clauses
bar	Bari	2	Exceed	5.000	31.667	Nilotic	Nilo-Saharan	Simple Clauses
khm	Khmer	2	Exceed	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
cic	Chichewa	2	Exceed	-14.000	34.000	Bantoid	Niger-Congo	Simple Clauses
dga	Dagaare	2	Exceed	10.500	-2.667	Gur	Niger-Congo	Simple Clauses
dgb	Dagbani	2	Exceed	9.583	-0.500	Gur	Niger-Congo	Simple Clauses
dua	Duala	2	Exceed	4.000	9.417	Bantoid	Niger-Congo	Simple Clauses
fus	Fula (Senegal)	2	Exceed	15.000	-14.000	Northern Atlantic	Niger-Congo	Simple Clauses
gbb	Gbeya Bossangoa	2	Exceed	6.667	17.500	Ubangi	Niger-Congo	Simple Clauses
hau	Hausa	2	Exceed	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
igb	Igbo	2	Exceed	6.000	7.333	Igboid	Niger-Congo	Simple Clauses
kan	Kana	2	Exceed	4.750	7.417	Cross River	Niger-Congo	Simple Clauses
rnd	Rundi	2	Exceed	-3.500	30.000	Bantoid	Niger-Congo	Simple Clauses
kfe	Koromfe	2	Exceed	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
kug	Kunming	2	Exceed	25.000	102.750	Chinese	Sino-Tibetan	Simple Clauses
lin	Lingala	2	Exceed	2.000	18.500	Bantoid	Niger-Congo	Simple Clauses
mnd	Mandarin	2	Exceed	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
mrg	Margi	2	Exceed	11.000	13.000	Biu-Mandara	Afro-Asiatic	Simple Clauses
mby	Mbay	2	Exceed	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Simple Clauses
nan	Nandi	2	Exceed	0.250	35.000	Nilotic	Nilo-Saharan	Simple Clauses
ngu	Nguna	2	Exceed	-16.917	168.500	Oceanic	Austronesian	Simple Clauses
obg	Ogbronuagum	2	Exceed	4.750	6.867	Cross River	Niger-Congo	Simple Clauses
sap	Sapuan	2	Exceed	15.167	106.833	Bahnaric	Austro-Asiatic	Simple Clauses
swa	Swahili	2	Exceed	-6.500	39.000	Bantoid	Niger-Congo	Simple Clauses
tha	Thai	2	Exceed	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
vie	Vietnamese	2	Exceed	10.500	106.500	Viet-Muong	Austro-Asiatic	Simple Clauses
wlf	Wolof	2	Exceed	15.250	-16.000	Northern Atlantic	Niger-Congo	Simple Clauses
yah	Yahgan	2	Exceed	-55.000	-68.000	Yámana	Yámana	Simple Clauses
yor	Yoruba	2	Exceed	8.000	4.333	Defoid	Niger-Congo	Simple Clauses
zul	Zulu	2	Exceed	-30.000	30.000	Bantoid	Niger-Congo	Simple Clauses
shn	Shona	2	Exceed	-18.000	31.000	Bantoid	Niger-Congo	Simple Clauses
stn	Sotho (Northern)	2	Exceed	-24.000	29.000	Bantoid	Niger-Congo	Simple Clauses
abi	Abipón	3	Conjoined	-29.000	-61.000	Guaicuruan	Guaicuruan	Simple Clauses
apl	Apalaí	3	Conjoined	0.000	-54.000	Cariban	Cariban	Simple Clauses
arp	Arapesh (Mountain)	3	Conjoined	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
biu	Bisu	3	Conjoined	19.750	100.000	Burmese-Lolo	Sino-Tibetan	Simple Clauses
kyp	Kayapó	3	Conjoined	-9.000	-52.000	Ge-Kaingang	Macro-Ge	Simple Clauses
eka	Ekari	3	Conjoined	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Simple Clauses
gum	Gumbaynggir	3	Conjoined	-30.167	152.500	Pama-Nyungan	Australian	Simple Clauses
hix	Hixkaryana	3	Conjoined	-1.000	-59.000	Cariban	Cariban	Simple Clauses
jab	Jabêm	3	Conjoined	-6.583	147.783	Oceanic	Austronesian	Simple Clauses
klw	Kiliwa	3	Conjoined	31.333	-115.667	Yuman	Hokan	Simple Clauses
kob	Kobon	3	Conjoined	-5.167	144.333	Madang	Trans-New Guinea	Simple Clauses
koi	Koiari	3	Conjoined	-9.500	147.333	Koiarian	Trans-New Guinea	Simple Clauses
lkt	Lakhota	3	Conjoined	43.833	-101.833	Siouan	Siouan	Simple Clauses
myi	Mangarrayi	3	Conjoined	-14.667	133.500	Mangarrayi	Australian	Simple Clauses
mao	Maori	3	Conjoined	-40.000	176.000	Oceanic	Austronesian	Simple Clauses
men	Menomini	3	Conjoined	45.500	-88.333	Algonquian	Algic	Simple Clauses
mis	Miskito	3	Conjoined	14.000	-83.667	Misumalpan	Misumalpan	Simple Clauses
mxa	Mixtec (Atatlahuca)	3	Conjoined	17.000	-97.750	Mixtecan	Oto-Manguean	Simple Clauses
mbo	Monumbo	3	Conjoined	-4.250	145.000	Monumbo	Monumbo	Simple Clauses
mtu	Motu	3	Conjoined	-9.333	147.000	Oceanic	Austronesian	Simple Clauses
mna	Muna	3	Conjoined	-5.000	122.500	Sulawesi	Austronesian	Simple Clauses
nug	Nunggubuyu	3	Conjoined	-13.750	135.667	Nunggubuyu	Australian	Simple Clauses
ptp	Patpatar	3	Conjoined	-3.767	152.500	Oceanic	Austronesian	Simple Clauses
pau	Paumarí	3	Conjoined	-6.000	-64.000	Arauan	Arauan	Simple Clauses
prh	Pirahã	3	Conjoined	-7.000	-62.000	Mura	Mura	Simple Clauses
sam	Samoan	3	Conjoined	-13.917	-171.833	Oceanic	Austronesian	Simple Clauses
shk	Shipibo-Konibo	3	Conjoined	-7.500	-75.000	Panoan	Panoan	Simple Clauses
sik	Sika	3	Conjoined	-8.700	122.250	Central Malayo-Polynesian	Austronesian	Simple Clauses
urk	Urubú-Kaapor	3	Conjoined	-2.333	-46.500	Tupi-Guaraní	Tupian	Simple Clauses
wrk	Warekena	3	Conjoined	1.500	-67.500	Arawakan	Arawakan	Simple Clauses
war	Wari'	3	Conjoined	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Simple Clauses
yag	Yagua	3	Conjoined	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Simple Clauses
yav	Yavapai	3	Conjoined	34.000	-113.333	Yuman	Hokan	Simple Clauses
yin	Yindjibarndi	3	Conjoined	-21.750	117.917	Pama-Nyungan	Australian	Simple Clauses
alb	Albanian	4	Particle	41.000	20.000	Albanian	Indo-European	Simple Clauses
bsq	Basque	4	Particle	43.000	-3.000	Basque	Basque	Simple Clauses
cmn	Comanche	4	Particle	33.500	-101.500	Numic	Uto-Aztecan	Simple Clauses
dut	Dutch	4	Particle	52.500	6.000	Germanic	Indo-European	Simple Clauses
eng	English	4	Particle	52.000	0.000	Germanic	Indo-European	Simple Clauses
fin	Finnish	4	Particle	62.000	25.000	Finnic	Uralic	Simple Clauses
fre	French	4	Particle	48.000	2.000	Romance	Indo-European	Simple Clauses
gae	Gaelic (Scots)	4	Particle	57.000	-4.000	Celtic	Indo-European	Simple Clauses
goa	Goajiro	4	Particle	12.000	-72.000	Arawakan	Arawakan	Simple Clauses
grk	Greek (Modern)	4	Particle	39.000	22.000	Greek	Indo-European	Simple Clauses
hun	Hungarian	4	Particle	47.000	20.000	Ugric	Uralic	Simple Clauses
ilo	Ilocano	4	Particle	16.000	121.000	Northern Philippines	Austronesian	Simple Clauses
iri	Irish	4	Particle	53.000	-8.000	Celtic	Indo-European	Simple Clauses
jav	Javanese	4	Particle	-7.000	111.000	Javanese	Austronesian	Simple Clauses
lat	Latvian	4	Particle	57.000	24.000	Baltic	Indo-European	Simple Clauses
mal	Malagasy	4	Particle	-20.000	47.000	Barito	Austronesian	Simple Clauses
