Comrie, Bernard & Kuteva, Tania. 2011. Relativization on Subjects.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 122A.
Available online at http://wals.info/feature/122A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	Relative pronoun	34.917	-107.583	Keresan	Keresan	Complex Sentences
bul	Bulgarian	1	Relative pronoun	42.500	25.000	Slavic	Indo-European	Complex Sentences
eng	English	1	Relative pronoun	52.000	0.000	Germanic	Indo-European	Complex Sentences
fin	Finnish	1	Relative pronoun	62.000	25.000	Finnic	Uralic	Complex Sentences
fre	French	1	Relative pronoun	48.000	2.000	Romance	Indo-European	Complex Sentences
geo	Georgian	1	Relative pronoun	42.000	44.000	Kartvelian	Kartvelian	Complex Sentences
ger	German	1	Relative pronoun	52.000	10.000	Germanic	Indo-European	Complex Sentences
grk	Greek (Modern)	1	Relative pronoun	39.000	22.000	Greek	Indo-European	Complex Sentences
hun	Hungarian	1	Relative pronoun	47.000	20.000	Ugric	Uralic	Complex Sentences
ita	Italian	1	Relative pronoun	43.000	12.000	Romance	Indo-European	Complex Sentences
lat	Latvian	1	Relative pronoun	57.000	24.000	Baltic	Indo-European	Complex Sentences
rus	Russian	1	Relative pronoun	56.000	38.000	Slavic	Indo-European	Complex Sentences
ame	Amele	2	Non-reduction	-5.250	145.583	Madang	Trans-New Guinea	Complex Sentences
bam	Bambara	2	Non-reduction	12.500	-7.500	Western Mande	Niger-Congo	Complex Sentences
cah	Cahuilla	2	Non-reduction	33.500	-116.250	Takic	Uto-Aztecan	Complex Sentences
ckr	Canela-Krahô	2	Non-reduction	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Complex Sentences
die	Diegueño (Mesa Grande)	2	Non-reduction	32.667	-116.167	Yuman	Hokan	Complex Sentences
epe	Epena Pedee	2	Non-reduction	3.000	-77.000	Choco	Choco	Complex Sentences
goo	Gooniyandi	2	Non-reduction	-18.333	126.333	Bunuban	Australian	Complex Sentences
hin	Hindi	2	Non-reduction	25.000	77.000	Indic	Indo-European	Complex Sentences
ika	Ika	2	Non-reduction	10.667	-73.750	Aruak	Chibchan	Complex Sentences
kio	Kiowa	2	Non-reduction	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Complex Sentences
koa	Koasati	2	Non-reduction	34.833	-85.167	Muskogean	Muskogean	Complex Sentences
kko	Koranko	2	Non-reduction	9.333	-11.250	Western Mande	Niger-Congo	Complex Sentences
lkt	Lakhota	2	Non-reduction	43.833	-101.833	Siouan	Siouan	Complex Sentences
lav	Lavukaleve	2	Non-reduction	-9.083	159.200	Lavukaleve	Solomons East Papuan	Complex Sentences
mku	Maranungku	2	Non-reduction	-13.667	130.000	Western Daly	Australian	Complex Sentences
mar	Maricopa	2	Non-reduction	33.167	-113.167	Yuman	Hokan	Complex Sentences
prh	Pirahã	2	Non-reduction	-7.000	-62.000	Mura	Mura	Complex Sentences
ram	Rama	2	Non-reduction	11.750	-83.750	Rama	Chibchan	Complex Sentences
snm	Sanuma	2	Non-reduction	4.500	-64.667	Yanomam	Yanomam	Complex Sentences
sla	Slave	2	Non-reduction	67.000	-125.000	Athapaskan	Na-Dene	Complex Sentences
sup	Supyire	2	Non-reduction	11.500	-5.583	Gur	Niger-Congo	Complex Sentences
usa	Usan	2	Non-reduction	-4.833	145.167	Madang	Trans-New Guinea	Complex Sentences
wra	Warao	2	Non-reduction	9.333	-61.667	Warao	Warao	Complex Sentences
yid	Yidiny	2	Non-reduction	-17.000	145.750	Pama-Nyungan	Australian	Complex Sentences
bab	Babungo	3	Pronoun-retention	6.117	10.417	Bantoid	Niger-Congo	Complex Sentences
bak	Baka (in Cameroon)	3	Pronoun-retention	2.583	13.583	Ubangi	Niger-Congo	Complex Sentences
kyl	Kayah Li (Eastern)	3	Pronoun-retention	19.000	97.500	Karen	Sino-Tibetan	Complex Sentences
nge	Ngemba	3	Pronoun-retention	6.200	10.000	Bantoid	Niger-Congo	Complex Sentences
yor	Yoruba	3	Pronoun-retention	8.000	4.333	Defoid	Niger-Congo	Complex Sentences
abk	Abkhaz	4	Gap	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Complex Sentences
ace	Acehnese	4	Gap	5.500	95.500	Malayic	Austronesian	Complex Sentences
ala	Alamblak	4	Gap	-4.667	143.333	Sepik Hill	Sepik	Complex Sentences
any	Anywa	4	Gap	8.000	33.500	Nilotic	Nilo-Saharan	Complex Sentences
aeg	Arabic (Egyptian)	4	Gap	30.000	31.000	Semitic	Afro-Asiatic	Complex Sentences
tes	Teso	4	Gap	1.833	33.833	Nilotic	Nilo-Saharan	Complex Sentences
