Comrie, Bernard & Kuteva, Tania. 2011. Relativization on Obliques.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 123A.
Available online at http://wals.info/feature/123A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	Relative pronoun	34.917	-107.583	Keresan	Keresan	Complex Sentences
bul	Bulgarian	1	Relative pronoun	42.500	25.000	Slavic	Indo-European	Complex Sentences
eng	English	1	Relative pronoun	52.000	0.000	Germanic	Indo-European	Complex Sentences
fin	Finnish	1	Relative pronoun	62.000	25.000	Finnic	Uralic	Complex Sentences
fre	French	1	Relative pronoun	48.000	2.000	Romance	Indo-European	Complex Sentences
geo	Georgian	1	Relative pronoun	42.000	44.000	Kartvelian	Kartvelian	Complex Sentences
ger	German	1	Relative pronoun	52.000	10.000	Germanic	Indo-European	Complex Sentences
grk	Greek (Modern)	1	Relative pronoun	39.000	22.000	Greek	Indo-European	Complex Sentences
hun	Hungarian	1	Relative pronoun	47.000	20.000	Ugric	Uralic	Complex Sentences
ita	Italian	1	Relative pronoun	43.000	12.000	Romance	Indo-European	Complex Sentences
lat	Latvian	1	Relative pronoun	57.000	24.000	Baltic	Indo-European	Complex Sentences
rus	Russian	1	Relative pronoun	56.000	38.000	Slavic	Indo-European	Complex Sentences
spa	Spanish	1	Relative pronoun	40.000	-4.000	Romance	Indo-European	Complex Sentences
ame	Amele	2	Non-reduction	-5.250	145.583	Madang	Trans-New Guinea	Complex Sentences
bam	Bambara	2	Non-reduction	12.500	-7.500	Western Mande	Niger-Congo	Complex Sentences
ckr	Canela-Krahô	2	Non-reduction	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Complex Sentences
die	Diegueño (Mesa Grande)	2	Non-reduction	32.667	-116.167	Yuman	Hokan	Complex Sentences
epe	Epena Pedee	2	Non-reduction	3.000	-77.000	Choco	Choco	Complex Sentences
goo	Gooniyandi	2	Non-reduction	-18.333	126.333	Bunuban	Australian	Complex Sentences
hin	Hindi	2	Non-reduction	25.000	77.000	Indic	Indo-European	Complex Sentences
hix	Hixkaryana	2	Non-reduction	-1.000	-59.000	Cariban	Cariban	Complex Sentences
ika	Ika	2	Non-reduction	10.667	-73.750	Aruak	Chibchan	Complex Sentences
lkt	Lakhota	2	Non-reduction	43.833	-101.833	Siouan	Siouan	Complex Sentences
lav	Lavukaleve	2	Non-reduction	-9.083	159.200	Lavukaleve	Solomons East Papuan	Complex Sentences
sla	Slave	2	Non-reduction	67.000	-125.000	Athapaskan	Na-Dene	Complex Sentences
sup	Supyire	2	Non-reduction	11.500	-5.583	Gur	Niger-Congo	Complex Sentences
usa	Usan	2	Non-reduction	-4.833	145.167	Madang	Trans-New Guinea	Complex Sentences
any	Anywa	3	Pronoun-retention	8.000	33.500	Nilotic	Nilo-Saharan	Complex Sentences
aeg	Arabic (Egyptian)	3	Pronoun-retention	30.000	31.000	Semitic	Afro-Asiatic	Complex Sentences
bab	Babungo	3	Pronoun-retention	6.117	10.417	Bantoid	Niger-Congo	Complex Sentences
bag	Bagirmi	3	Pronoun-retention	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Complex Sentences
bak	Baka (in Cameroon)	3	Pronoun-retention	2.583	13.583	Ubangi	Niger-Congo	Complex Sentences
blq	Bole	3	Pronoun-retention	11.333	11.250	West Chadic	Afro-Asiatic	Complex Sentences
ewa	Ewe (Anglo)	3	Pronoun-retention	6.000	1.000	Kwa	Niger-Congo	Complex Sentences
gae	Gaelic (Scots)	3	Pronoun-retention	57.000	-4.000	Celtic	Indo-European	Complex Sentences
gua	Guaraní	3	Pronoun-retention	-26.000	-56.000	Tupi-Guaraní	Tupian	Complex Sentences
hau	Hausa	3	Pronoun-retention	12.000	7.000	West Chadic	Afro-Asiatic	Complex Sentences
heb	Hebrew (Modern)	3	Pronoun-retention	31.500	34.833	Semitic	Afro-Asiatic	Complex Sentences
iri	Irish	3	Pronoun-retention	53.000	-8.000	Celtic	Indo-European	Complex Sentences
kyl	Kayah Li (Eastern)	3	Pronoun-retention	19.000	97.500	Karen	Sino-Tibetan	Complex Sentences
kro	Krongo	3	Pronoun-retention	10.500	30.000	Kadugli	Kadugli	Complex Sentences
lan	Lango	3	Pronoun-retention	2.167	33.000	Nilotic	Nilo-Saharan	Complex Sentences
lin	Lingala	3	Pronoun-retention	2.000	18.500	Bantoid	Niger-Congo	Complex Sentences
luo	Luo	3	Pronoun-retention	-0.500	34.750	Nilotic	Nilo-Saharan	Complex Sentences
miy	Miya	3	Pronoun-retention	10.917	9.667	West Chadic	Afro-Asiatic	Complex Sentences
pms	Paamese	3	Pronoun-retention	-16.500	168.250	Oceanic	Austronesian	Complex Sentences
