Haspelmath, Martin. 2011. 'Want' Complement Subjects.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 124A.
Available online at http://wals.info/feature/124A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
yko	Yukaghir (Kolyma)	1	Subject is left implicit	65.750	150.833	Yukaghir	Yukaghir	Complex Sentences
ket	Ket	1	Subject is left implicit	64.000	87.000	Yeniseian	Yeniseian	Complex Sentences
sno	Saami (Northern)	1	Subject is left implicit	69.000	24.000	Saami	Uralic	Complex Sentences
kty	Khanty	1	Subject is left implicit	65.000	65.000	Ugric	Uralic	Complex Sentences
rus	Russian	1	Subject is left implicit	56.000	38.000	Slavic	Indo-European	Complex Sentences
pae	Páez	1	Subject is left implicit	2.667	-76.000	Páezan	Páezan	Complex Sentences
pal	Palauan	1	Subject is left implicit	7.500	134.583	Palauan	Austronesian	Complex Sentences
ain	Ainu	1	Subject is left implicit	43.000	143.000	Ainu	Ainu	Complex Sentences
aly	Alyawarra	1	Subject is left implicit	-22.500	135.000	Pama-Nyungan	Australian	Complex Sentences
amp	Arrernte (Mparntwe)	1	Subject is left implicit	-24.000	136.000	Pama-Nyungan	Australian	Complex Sentences
bab	Babungo	1	Subject is left implicit	6.117	10.417	Bantoid	Niger-Congo	Complex Sentences
bak	Baka (in Cameroon)	1	Subject is left implicit	2.583	13.583	Ubangi	Niger-Congo	Complex Sentences
baw	Bawm	1	Subject is left implicit	22.500	92.250	Kuki-Chin	Sino-Tibetan	Complex Sentences
brm	Burmese	1	Subject is left implicit	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Complex Sentences
ckr	Canela-Krahô	1	Subject is left implicit	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Complex Sentences
cnt	Cantonese	1	Subject is left implicit	23.000	113.000	Chinese	Sino-Tibetan	Complex Sentences
cha	Chamorro	1	Subject is left implicit	13.450	144.750	Chamorro	Austronesian	Complex Sentences
dhi	Dhivehi	1	Subject is left implicit	4.167	73.500	Indic	Indo-European	Complex Sentences
dre	Drehu	1	Subject is left implicit	-21.000	167.250	Oceanic	Austronesian	Complex Sentences
eng	English	1	Subject is left implicit	52.000	0.000	Germanic	Indo-European	Complex Sentences
