Cristofaro, Sonia. 2011. Reason Clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 127A.
Available online at http://wals.info/feature/127A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abu	Abun	1	Balanced	-0.500	132.500	North-Central Bird's Head	West Papuan	Complex Sentences
ace	Acehnese	1	Balanced	5.500	95.500	Malayic	Austronesian	Complex Sentences
ain	Ainu	1	Balanced	43.000	143.000	Ainu	Ainu	Complex Sentences
ame	Amele	1	Balanced	-5.250	145.583	Madang	Trans-New Guinea	Complex Sentences
any	Anywa	1	Balanced	8.000	33.500	Nilotic	Nilo-Saharan	Complex Sentences
apu	Apurinã	1	Balanced	-9.000	-67.000	Arawakan	Arawakan	Complex Sentences
lnd	Linda	1	Balanced	6.500	20.750	Ubangi	Niger-Congo	Complex Sentences
fij	Fijian	1	Balanced	-17.833	178.000	Oceanic	Austronesian	Complex Sentences
brh	Brahui	1	Balanced	28.500	67.000	Northern Dravidian	Dravidian	Complex Sentences
bur	Burushaski	1	Balanced	36.500	74.500	Burushaski	Burushaski	Complex Sentences
ckr	Canela-Krahô	1	Balanced	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Complex Sentences
mxc	Mixtec (Chalcatongo)	1	Balanced	17.050	-97.583	Mixtecan	Oto-Manguean	Complex Sentences
cha	Chamorro	1	Balanced	13.450	144.750	Chamorro	Austronesian	Complex Sentences
dre	Drehu	1	Balanced	-21.000	167.250	Oceanic	Austronesian	Complex Sentences
epe	Epena Pedee	1	Balanced	3.000	-77.000	Choco	Choco	Complex Sentences
ewe	Ewe	1	Balanced	6.333	0.417	Kwa	Niger-Congo	Complex Sentences
fni	Fula (Nigerian)	1	Balanced	8.167	10.500	Northern Atlantic	Niger-Congo	Complex Sentences
geo	Georgian	1	Balanced	42.000	44.000	Kartvelian	Kartvelian	Complex Sentences
ger	German	1	Balanced	52.000	10.000	Germanic	Indo-European	Complex Sentences
grk	Greek (Modern)	1	Balanced	39.000	22.000	Greek	Indo-European	Complex Sentences
gua	Guaraní	1	Balanced	-26.000	-56.000	Tupi-Guaraní	Tupian	Complex Sentences
orh	Oromo (Harar)	1	Balanced	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Complex Sentences
hau	Hausa	1	Balanced	12.000	7.000	West Chadic	Afro-Asiatic	Complex Sentences
heb	Hebrew (Modern)	1	Balanced	31.500	34.833	Semitic	Afro-Asiatic	Complex Sentences
hmo	Hmong Njua	1	Balanced	28.000	105.000	Hmong-Mien	Hmong-Mien	Complex Sentences
hun	Hungarian	1	Balanced	47.000	20.000	Ugric	Uralic	Complex Sentences
ika	Ika	1	Balanced	10.667	-73.750	Aruak	Chibchan	Complex Sentences
imo	Imonda	1	Balanced	-3.333	141.167	Border	Border	Complex Sentences
ind	Indonesian	1	Balanced	0.000	106.000	Malayic	Austronesian	Complex Sentences
jpn	Japanese	1	Balanced	37.000	140.000	Japanese	Japanese	Complex Sentences
kan	Kana	1	Balanced	4.750	7.417	Cross River	Niger-Congo	Complex Sentences
knr	Kanuri	1	Balanced	12.000	13.000	Western Saharan	Nilo-Saharan	Complex Sentences
