Cristofaro, Sonia. 2011. Utterance Complement Clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 128A.
Available online at http://wals.info/feature/128A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abu	Abun	1	Balanced	-0.500	132.500	North-Central Bird's Head	West Papuan	Complex Sentences
ace	Acehnese	1	Balanced	5.500	95.500	Malayic	Austronesian	Complex Sentences
aco	Acoma	1	Balanced	34.917	-107.583	Keresan	Keresan	Complex Sentences
ain	Ainu	1	Balanced	43.000	143.000	Ainu	Ainu	Complex Sentences
ame	Amele	1	Balanced	-5.250	145.583	Madang	Trans-New Guinea	Complex Sentences
any	Anywa	1	Balanced	8.000	33.500	Nilotic	Nilo-Saharan	Complex Sentences
apu	Apurinã	1	Balanced	-9.000	-67.000	Arawakan	Arawakan	Complex Sentences
arp	Arapesh (Mountain)	1	Balanced	-3.467	143.167	Kombio-Arapesh	Torricelli	Complex Sentences
lnd	Linda	1	Balanced	6.500	20.750	Ubangi	Niger-Congo	Complex Sentences
brs	Barasano	1	Balanced	-0.167	-70.667	Tucanoan	Tucanoan	Complex Sentences
bsq	Basque	1	Balanced	43.000	-3.000	Basque	Basque	Complex Sentences
bdc	Berbice Dutch Creole	1	Balanced	5.333	-58.000	Creoles and Pidgins	other	Complex Sentences
fij	Fijian	1	Balanced	-17.833	178.000	Oceanic	Austronesian	Complex Sentences
orb	Oromo (Boraana)	1	Balanced	4.500	38.500	Eastern Cushitic	Afro-Asiatic	Complex Sentences
brh	Brahui	1	Balanced	28.500	67.000	Northern Dravidian	Dravidian	Complex Sentences
bur	Burushaski	1	Balanced	36.500	74.500	Burushaski	Burushaski	Complex Sentences
ckr	Canela-Krahô	1	Balanced	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Complex Sentences
mxc	Mixtec (Chalcatongo)	1	Balanced	17.050	-97.583	Mixtecan	Oto-Manguean	Complex Sentences
dre	Drehu	1	Balanced	-21.000	167.250	Oceanic	Austronesian	Complex Sentences
djp	Djapu	1	Balanced	-12.667	136.000	Pama-Nyungan	Australian	Complex Sentences
nbd	Nubian (Dongolese)	1	Balanced	18.250	30.750	Nubian	Nilo-Saharan	Complex Sentences
eng	English	1	Balanced	52.000	0.000	Germanic	Indo-European	Complex Sentences
epe	Epena Pedee	1	Balanced	3.000	-77.000	Choco	Choco	Complex Sentences
err	Erromangan	1	Balanced	-18.833	169.167	Oceanic	Austronesian	Complex Sentences
akn	Akan	1	Balanced	6.500	-1.250	Kwa	Niger-Congo	Complex Sentences
geo	Georgian	1	Balanced	42.000	44.000	Kartvelian	Kartvelian	Complex Sentences
gim	Gimira	1	Balanced	7.000	35.750	North Omotic	Afro-Asiatic	Complex Sentences
goo	Gooniyandi	1	Balanced	-18.333	126.333	Bunuban	Australian	Complex Sentences
grk	Greek (Modern)	1	Balanced	39.000	22.000	Greek	Indo-European	Complex Sentences
gum	Gumbaynggir	1	Balanced	-30.167	152.500	Pama-Nyungan	Australian	Complex Sentences
heb	Hebrew (Modern)	1	Balanced	31.500	34.833	Semitic	Afro-Asiatic	Complex Sentences
