Maddieson, Ian. 2011. Syllable Structure.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 12A.
Available online at http://wals.info/feature/12A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ach	Aché	1	Simple	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
adk	Andoke	1	Simple	-0.667	-72.000	Andoke	Andoke	Phonology
apu	Apurinã	1	Simple	-9.000	-67.000	Arawakan	Arawakan	Phonology
ana	Araona	1	Simple	-12.333	-67.750	Tacanan	Tacanan	Phonology
bki	Bakairí	1	Simple	-14.000	-55.000	Cariban	Cariban	Phonology
bam	Bambara	1	Simple	12.500	-7.500	Western Mande	Niger-Congo	Phonology
bno	Barasano (Northern)	1	Simple	0.333	-70.250	Tucanoan	Tucanoan	Phonology
bbf	Bobo Fing	1	Simple	11.833	-4.417	Western Mande	Niger-Congo	Phonology
brr	Bororo	1	Simple	-16.000	-57.000	Bororo	Macro-Ge	Phonology
cyv	Cayuvava	1	Simple	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
chq	Chinantec (Quiotepec)	1	Simple	17.583	-96.667	Chinantecan	Oto-Manguean	Phonology
cub	Cubeo	1	Simple	1.333	-70.500	Tucanoan	Tucanoan	Phonology
dts	Toro So	1	Simple	14.417	-3.250	Dogon	Niger-Congo	Phonology
eka	Ekari	1	Simple	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
fas	Fasu	1	Simple	-6.583	143.333	Fasu	Trans-New Guinea	Phonology
fij	Fijian	1	Simple	-17.833	178.000	Oceanic	Austronesian	Phonology
grb	Grebo	1	Simple	5.000	-8.000	Kru	Niger-Congo	Phonology
gua	Guaraní	1	Simple	-26.000	-56.000	Tupi-Guaraní	Tupian	Phonology
had	Hadza	1	Simple	-3.750	35.167	Hadza	Hadza	Phonology
haw	Hawaiian	1	Simple	19.583	-155.500	Oceanic	Austronesian	Phonology
igb	Igbo	1	Simple	6.000	7.333	Igboid	Niger-Congo	Phonology
ijo	Ijo (Kolokuma)	1	Simple	4.917	5.667	Ijoid	Niger-Congo	Phonology
juh	Ju|'hoan	1	Simple	-19.000	21.000	Northern Khoisan	Khoisan	Phonology
kew	Kewa	1	Simple	-6.500	143.833	Engan	Trans-New Guinea	Phonology
swa	Swahili	1	Simple	-6.500	39.000	Bantoid	Niger-Congo	Phonology
kiw	Kiwai	1	Simple	-8.000	143.500	Kiwaian	Kiwaian	Phonology
kla	Klao	1	Simple	4.750	-8.750	Kru	Niger-Congo	Phonology
koi	Koiari	1	Simple	-9.500	147.333	Koiarian	Trans-New Guinea	Phonology
kwa	Kwaio	1	Simple	-8.950	161.000	Oceanic	Austronesian	Phonology
llm	Lelemi	1	Simple	7.333	0.500	Kwa	Niger-Congo	Phonology
luv	Luvale	1	Simple	-12.000	22.000	Bantoid	Niger-Congo	Phonology
mao	Maori	1	Simple	-40.000	176.000	Oceanic	Austronesian	Phonology
may	Maybrat	1	Simple	-1.333	132.500	North-Central Bird's Head	West Papuan	Phonology
mba	Mba	1	Simple	1.000	25.000	Ubangi	Niger-Congo	Phonology
mxc	Mixtec (Chalcatongo)	1	Simple	17.050	-97.583	Mixtecan	Oto-Manguean	Phonology
mor	Mor	1	Simple	-2.950	135.750	South Halmahera - West New Guinea	Austronesian	Phonology
mov	Movima	1	Simple	-13.833	-65.667	Movima	Movima	Phonology
mui	Muinane	1	Simple	-1.000	-72.500	Boran	Huitotoan	Phonology
nax	Naxi	1	Simple	27.500	100.000	Naxi	Sino-Tibetan	Phonology
nti	Ngiti	1	Simple	1.333	30.250	Lendu	Nilo-Saharan	Phonology
pau	Paumarí	1	Simple	-6.000	-64.000	Arauan	Arauan	Phonology
prh	Pirahã	1	Simple	-7.000	-62.000	Mura	Mura	Phonology
rap	Rapanui	1	Simple	-27.117	-109.367	Oceanic	Austronesian	Phonology
ror	Roro	1	Simple	-8.750	146.583	Oceanic	Austronesian	Phonology
rtk	Rotokas	1	Simple	-6.000	155.167	West Bougainville	West Bougainville	Phonology
sba	Sáliba (in Colombia)	1	Simple	6.000	-70.000	Sáliba	Sáliban	Phonology
san	Sango	1	Simple	5.000	18.000	Ubangi	Niger-Congo	Phonology
svs	Savosavo	1	Simple	-9.133	159.800	Savosavo	Solomons East Papuan	Phonology
snd	Senadi	1	Simple	9.500	-6.250	Gur	Niger-Congo	Phonology
srn	Sirionó	1	Simple	-15.583	-64.000	Tupi-Guaraní	Tupian	Phonology
sue	Suena	1	Simple	-7.750	147.550	Binanderean	Trans-New Guinea	Phonology
tac	Tacana	1	Simple	-13.500	-68.000	Tacanan	Tacanan	Phonology
