Brown, Cecil H.. 2011. Cultural Categories of Languages with Identity of 'Finger' and 'Hand'.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 130B.
Available online at http://wals.info/feature/130B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aly	Alyawarra	1	Hunter-gatherers	-22.500	135.000	Pama-Nyungan	Australian	Lexicon
atk	Atakapa	1	Hunter-gatherers	30.000	-93.500	Atakapa	Atakapa	Lexicon
ati	Atikamekw	1	Hunter-gatherers	48.000	-74.000	Algonquian	Algic	Lexicon
pkn	Paakantyi	1	Hunter-gatherers	-32.500	142.500	Pama-Nyungan	Australian	Lexicon
bnj	Bandjalang	1	Hunter-gatherers	-28.750	153.000	Pama-Nyungan	Australian	Lexicon
beo	Beothuk	1	Hunter-gatherers	48.000	-57.000	Beothuk	Beothuk	Lexicon
bnb	Bunuba	1	Hunter-gatherers	-17.750	125.750	Bunuban	Australian	Lexicon
cah	Cahuilla	1	Hunter-gatherers	33.500	-116.250	Takic	Uto-Aztecan	Lexicon
cmc	Comecrudo	1	Hunter-gatherers	25.833	-99.000	Comecrudan	Comecrudan	Lexicon
die	Diegueño (Mesa Grande)	1	Hunter-gatherers	32.667	-116.167	Yuman	Hokan	Lexicon
dja	Djabugay	1	Hunter-gatherers	-16.750	145.583	Pama-Nyungan	Australian	Lexicon
ndj	Ndjébbana	1	Hunter-gatherers	-12.167	134.117	Ndjébbana	Australian	Lexicon
dji	Djingili	1	Hunter-gatherers	-17.750	134.000	West Barkly	Australian	Lexicon
amp	Arrernte (Mparntwe)	1	Hunter-gatherers	-24.000	136.000	Pama-Nyungan	Australian	Lexicon
hup	Hupa	1	Hunter-gatherers	41.083	-123.667	Athapaskan	Na-Dene	Lexicon
inu	Iñupiaq	1	Hunter-gatherers	67.000	-161.000	Eskimo	Eskimo-Aleut	Lexicon
kls	Kalispel	1	Hunter-gatherers	48.000	-117.000	Interior Salish	Salishan	Lexicon
kkw	Karankawa	1	Hunter-gatherers	28.000	-97.000	Karankawa	Karankawa	Lexicon
krk	Karok	1	Hunter-gatherers	41.667	-123.000	Karok	Karok	Lexicon
kaq	Kaurna	1	Hunter-gatherers	-34.250	138.500	Pama-Nyungan	Australian	Lexicon
kxo	Kxoe	1	Hunter-gatherers	-17.500	22.500	Central Khoisan	Khoisan	Lexicon
mku	Maranungku	1	Hunter-gatherers	-13.667	130.000	Western Daly	Australian	Lexicon
mwn	Miwok (Northern Sierra)	1	Hunter-gatherers	38.333	-120.667	Miwok	Penutian	Lexicon
mwp	Miwok (Plains)	1	Hunter-gatherers	38.000	-121.000	Miwok	Penutian	Lexicon
mpa	Murrinh-Patha	1	Hunter-gatherers	-14.667	129.667	Murrinh-Patha	Australian	Lexicon
nez	Nez Perce	1	Hunter-gatherers	46.000	-116.000	Sahaptian	Penutian	Lexicon
ngj	Ngadjumaja	1	Hunter-gatherers	-32.333	123.833	Pama-Nyungan	Australian	Lexicon
ngi	Ngiyambaa	1	Hunter-gatherers	-31.750	145.500	Pama-Nyungan	Australian	Lexicon
nug	Nunggubuyu	1	Hunter-gatherers	-13.750	135.667	Nunggubuyu	Australian	Lexicon
ojm	Ojibwe (Minnesota)	1	Hunter-gatherers	47.667	-92.500	Algonquian	Algic	Lexicon
pin	Pintupi	1	Hunter-gatherers	-23.000	129.000	Pama-Nyungan	Australian	Lexicon
pit	Pitjantjatjara	1	Hunter-gatherers	-26.000	130.000	Pama-Nyungan	Australian	Lexicon
qui	Quileute	1	Hunter-gatherers	47.917	-124.250	Chimakuan	Chimakuan	Lexicon
shs	Shasta	1	Hunter-gatherers	41.833	-122.667	Shasta	Hokan	Lexicon
ser	Seri	1	Hunter-gatherers	29.000	-112.000	Seri	Hokan	Lexicon
tsm	Tasmanian	1	Hunter-gatherers	-42.167	146.500	Tasmanian	Tasmanian	Lexicon
