Comrie, Bernard. 2011. Numeral Bases.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 131A.
Available online at http://wals.info/feature/131A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	Decimal	34.917	-107.583	Keresan	Keresan	Lexicon
bag	Bagirmi	1	Decimal	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Lexicon
brm	Burmese	1	Decimal	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Lexicon
cha	Chamorro	1	Decimal	13.450	144.750	Chamorro	Austronesian	Lexicon
cea	Cree (Eastern)	1	Decimal	51.000	-74.000	Algonquian	Algic	Lexicon
aeg	Arabic (Egyptian)	1	Decimal	30.000	31.000	Semitic	Afro-Asiatic	Lexicon
eng	English	1	Decimal	52.000	0.000	Germanic	Indo-European	Lexicon
fij	Fijian	1	Decimal	-17.833	178.000	Oceanic	Austronesian	Lexicon
fin	Finnish	1	Decimal	62.000	25.000	Finnic	Uralic	Lexicon
fre	French	1	Decimal	48.000	2.000	Romance	Indo-European	Lexicon
ger	German	1	Decimal	52.000	10.000	Germanic	Indo-European	Lexicon
grk	Greek (Modern)	1	Decimal	39.000	22.000	Greek	Indo-European	Lexicon
gua	Guaraní	1	Decimal	-26.000	-56.000	Tupi-Guaraní	Tupian	Lexicon
orh	Oromo (Harar)	1	Decimal	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Lexicon
hau	Hausa	1	Decimal	12.000	7.000	West Chadic	Afro-Asiatic	Lexicon
heb	Hebrew (Modern)	1	Decimal	31.500	34.833	Semitic	Afro-Asiatic	Lexicon
hin	Hindi	1	Decimal	25.000	77.000	Indic	Indo-European	Lexicon
hmo	Hmong Njua	1	Decimal	28.000	105.000	Hmong-Mien	Hmong-Mien	Lexicon
qim	Quechua (Imbabura)	1	Decimal	0.333	-78.000	Quechuan	Quechuan	Lexicon
ind	Indonesian	1	Decimal	0.000	106.000	Malayic	Austronesian	Lexicon
jpn	Japanese	1	Decimal	37.000	140.000	Japanese	Japanese	Lexicon
knd	Kannada	1	Decimal	14.000	76.000	Southern Dravidian	Dravidian	Lexicon
krk	Karok	1	Decimal	41.667	-123.000	Karok	Karok	Lexicon
kha	Khalkha	1	Decimal	47.000	105.000	Mongolic	Altaic	Lexicon
koa	Koasati	1	Decimal	34.833	-85.167	Muskogean	Muskogean	Lexicon
kor	Korean	1	Decimal	37.500	128.000	Korean	Korean	Lexicon
kse	Koyraboro Senni	1	Decimal	16.000	0.000	Songhay	Nilo-Saharan	Lexicon
kut	Kutenai	1	Decimal	49.500	-116.000	Kutenai	Kutenai	Lexicon
lkt	Lakhota	1	Decimal	43.833	-101.833	Siouan	Siouan	Lexicon
lan	Lango	1	Decimal	2.167	33.000	Nilotic	Nilo-Saharan	Lexicon
lav	Lavukaleve	1	Decimal	-9.083	159.200	Lavukaleve	Solomons East Papuan	Lexicon
