Kay, Paul & Maffi, Luisa. 2011. Red and Yellow.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 135A.
Available online at http://wals.info/feature/135A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
aga	Agarabi	1	Red vs. yellow	-6.167	146.000	Eastern Highlands	Trans-New Guinea	Lexicon
agc	Agta (Central)	1	Red vs. yellow	17.967	121.833	Northern Philippines	Austronesian	Lexicon
agu	Aguacatec	1	Red vs. yellow	15.417	-91.333	Mayan	Mayan	Lexicon
amk	Amarakaeri	1	Red vs. yellow	-12.500	-70.500	Harakmbet	Harakmbet	Lexicon
ape	Ampeeli	1	Red vs. yellow	-6.750	146.083	Angan	Trans-New Guinea	Lexicon
amz	Amuzgo	1	Red vs. yellow	16.833	-98.000	Amuzgoan	Oto-Manguean	Lexicon
ant	Angaatiha	1	Red vs. yellow	-7.217	146.250	Angan	Trans-New Guinea	Lexicon
api	Apinayé	1	Red vs. yellow	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Lexicon
arb	Arabela	1	Red vs. yellow	-2.000	-75.167	Zaparoan	Zaparoan	Lexicon
bhn	Bahinemo	1	Red vs. yellow	-4.583	142.833	Sepik Hill	Sepik	Lexicon
bzi	Bauzi	1	Red vs. yellow	-2.500	137.500	East Geelvink Bay	East Geelvink Bay	Lexicon
brk	Berik	1	Red vs. yellow	-2.250	138.833	Tor	Tor-Orya	Lexicon
bhi	Bhili	1	Red vs. yellow	22.000	73.000	Indic	Indo-European	Lexicon
bgl	Buglere	1	Red vs. yellow	8.500	-81.250	Guaymi	Chibchan	Lexicon
cak	Cakchiquel	1	Red vs. yellow	14.500	-91.000	Mayan	Mayan	Lexicon
cam	Camsá	1	Red vs. yellow	1.167	-77.000	Camsá	Camsá	Lexicon
can	Candoshi	1	Red vs. yellow	-4.167	-77.000	Candoshi	Candoshi	Lexicon
cav	Cavineña	1	Red vs. yellow	-13.333	-66.500	Tacanan	Tacanan	Lexicon
cay	Cayapa	1	Red vs. yellow	0.667	-79.000	Barbacoan	Barbacoan	Lexicon
cvc	Chavacano	1	Red vs. yellow	7.000	122.083	Creoles and Pidgins	other	Lexicon
chy	Chayahuita	1	Red vs. yellow	-5.500	-77.000	Cahuapanan	Cahuapanan	Lexicon
