Nichols, Johanna & Peterson, David A.. 2011. M in First Person Singular.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 136B.
Available online at http://wals.info/feature/136B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	No m in first person singular	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Lexicon
ace	Acehnese	1	No m in first person singular	5.500	95.500	Malayic	Austronesian	Lexicon
aco	Acoma	1	No m in first person singular	34.917	-107.583	Keresan	Keresan	Lexicon
ain	Ainu	1	No m in first person singular	43.000	143.000	Ainu	Ainu	Lexicon
ayw	Ayiwo	1	No m in first person singular	-10.333	166.250	Oceanic	Austronesian	Lexicon
ala	Alamblak	1	No m in first person singular	-4.667	143.333	Sepik Hill	Sepik	Lexicon
ame	Amele	1	No m in first person singular	-5.250	145.583	Madang	Trans-New Guinea	Lexicon
amh	Amharic	1	No m in first person singular	10.000	38.000	Semitic	Afro-Asiatic	Lexicon
ane	Anêm	1	No m in first person singular	-5.583	149.083	Anêm	Anêm	Lexicon
apu	Apurinã	1	No m in first person singular	-9.000	-67.000	Arawakan	Arawakan	Lexicon
aeg	Arabic (Egyptian)	1	No m in first person singular	30.000	31.000	Semitic	Afro-Asiatic	Lexicon
asm	Asmat	1	No m in first person singular	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Lexicon
atk	Atakapa	1	No m in first person singular	30.000	-93.500	Atakapa	Atakapa	Lexicon
awp	Awa Pit	1	No m in first person singular	1.500	-78.250	Barbacoan	Barbacoan	Lexicon
awt	Awtuw	1	No m in first person singular	-3.583	142.000	Ram	Sepik	Lexicon
cax	Campa (Axininca)	1	No m in first person singular	-12.000	-74.000	Arawakan	Arawakan	Lexicon
brs	Barasano	1	No m in first person singular	-0.167	-70.667	Tucanoan	Tucanoan	Lexicon
bsq	Basque	1	No m in first person singular	43.000	-3.000	Basque	Basque	Lexicon
bej	Beja	1	No m in first person singular	18.000	36.000	Beja	Afro-Asiatic	Lexicon
bel	Belhare	1	No m in first person singular	26.967	87.300	Bodic	Sino-Tibetan	Lexicon
brk	Berik	1	No m in first person singular	-2.250	138.833	Tor	Tor-Orya	Lexicon
arp	Arapesh (Mountain)	1	No m in first person singular	-3.467	143.167	Kombio-Arapesh	Torricelli	Lexicon
brm	Burmese	1	No m in first person singular	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Lexicon
bur	Burushaski	1	No m in first person singular	36.500	74.500	Burushaski	Burushaski	Lexicon
nca	Nicobarese (Car)	1	No m in first person singular	9.000	93.000	Nicobarese	Austro-Asiatic	Lexicon
csh	Cashinahua	1	No m in first person singular	-10.500	-71.833	Panoan	Panoan	Lexicon
cyv	Cayuvava	1	No m in first person singular	-13.500	-65.500	Cayuvava	Cayuvava	Lexicon
mxc	Mixtec (Chalcatongo)	1	No m in first person singular	17.050	-97.583	Mixtecan	Oto-Manguean	Lexicon
cha	Chamorro	1	No m in first person singular	13.450	144.750	Chamorro	Austronesian	Lexicon
cjo	Chichimeca-Jonaz	1	No m in first person singular	21.667	-100.500	Chichimec	Oto-Manguean	Lexicon
chi	Chimariko	1	No m in first person singular	41.000	-123.000	Chimariko	Hokan	Lexicon
ctm	Chitimacha	1	No m in first person singular	29.667	-91.000	Chitimacha	Chitimacha	Lexicon
cho	Chontal (Highland)	1	No m in first person singular	16.250	-95.750	Tequistlatecan	Tequistlatecan	Lexicon
zqc	Zoque (Copainalá)	1	No m in first person singular	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Lexicon
cre	Cree (Plains)	1	No m in first person singular	54.000	-110.000	Algonquian	Algic	Lexicon
dag	Daga	1	No m in first person singular	-10.000	149.333	Dagan	Dagan	Lexicon
dni	Dani (Lower Grand Valley)	1	No m in first person singular	-4.333	138.833	Dani	Trans-New Guinea	Lexicon
tja	Tiipay (Jamul)	1	No m in first person singular	32.167	-116.500	Yuman	Hokan	Lexicon
diy	Diyari	1	No m in first person singular	-28.000	139.000	Pama-Nyungan	Australian	Lexicon
diz	Dizi	1	No m in first person singular	6.167	36.500	North Omotic	Afro-Asiatic	Lexicon
djp	Djapu	1	No m in first person singular	-12.667	136.000	Pama-Nyungan	Australian	Lexicon
dji	Djingili	1	No m in first person singular	-17.750	134.000	West Barkly	Australian	Lexicon
dyi	Dyirbal	1	No m in first person singular	-17.833	145.583	Pama-Nyungan	Australian	Lexicon
pme	Pomo (Eastern)	1	No m in first person singular	39.000	-122.667	Pomoan	Hokan	Lexicon
fij	Fijian	1	No m in first person singular	-17.833	178.000	Oceanic	Austronesian	Lexicon
fur	Fur	1	No m in first person singular	13.500	25.000	Fur	Nilo-Saharan	Lexicon
git	Gitksan	1	No m in first person singular	55.333	-127.750	Tsimshianic	Penutian	Lexicon
goo	Gooniyandi	1	No m in first person singular	-18.333	126.333	Bunuban	Australian	Lexicon
gua	Guaraní	1	No m in first person singular	-26.000	-56.000	Tupi-Guaraní	Tupian	Lexicon
nbr	Ngäbere	1	No m in first person singular	8.667	-82.000	Guaymi	Chibchan	Lexicon
gku	Gününa Küne	1	No m in first person singular	-41.000	-67.000	Puelche	Chon	Lexicon
hai	Haida	1	No m in first person singular	53.000	-132.000	Haida	Haida	Lexicon
coo	Coos (Hanis)	1	No m in first person singular	43.500	-124.167	Coosan	Oregon Coast	Lexicon
