Nichols, Johanna & Peterson, David A.. 2011. M in Second Person Singular.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 137B.
Available online at http://wals.info/feature/137B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No m in second person singular	-19.000	21.000	Northern Khoisan	Khoisan	Lexicon
ace	Acehnese	1	No m in second person singular	5.500	95.500	Malayic	Austronesian	Lexicon
aco	Acoma	1	No m in second person singular	34.917	-107.583	Keresan	Keresan	Lexicon
ain	Ainu	1	No m in second person singular	43.000	143.000	Ainu	Ainu	Lexicon
ala	Alamblak	1	No m in second person singular	-4.667	143.333	Sepik Hill	Sepik	Lexicon
ame	Amele	1	No m in second person singular	-5.250	145.583	Madang	Trans-New Guinea	Lexicon
amh	Amharic	1	No m in second person singular	10.000	38.000	Semitic	Afro-Asiatic	Lexicon
ane	Anêm	1	No m in second person singular	-5.583	149.083	Anêm	Anêm	Lexicon
aeg	Arabic (Egyptian)	1	No m in second person singular	30.000	31.000	Semitic	Afro-Asiatic	Lexicon
atk	Atakapa	1	No m in second person singular	30.000	-93.500	Atakapa	Atakapa	Lexicon
awp	Awa Pit	1	No m in second person singular	1.500	-78.250	Barbacoan	Barbacoan	Lexicon
awt	Awtuw	1	No m in second person singular	-3.583	142.000	Ram	Sepik	Lexicon
bag	Bagirmi	1	No m in second person singular	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Lexicon
bsq	Basque	1	No m in second person singular	43.000	-3.000	Basque	Basque	Lexicon
bej	Beja	1	No m in second person singular	18.000	36.000	Beja	Afro-Asiatic	Lexicon
bel	Belhare	1	No m in second person singular	26.967	87.300	Bodic	Sino-Tibetan	Lexicon
brr	Bororo	1	No m in second person singular	-16.000	-57.000	Bororo	Macro-Ge	Lexicon
arp	Arapesh (Mountain)	1	No m in second person singular	-3.467	143.167	Kombio-Arapesh	Torricelli	Lexicon
brm	Burmese	1	No m in second person singular	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Lexicon
ckr	Canela-Krahô	1	No m in second person singular	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Lexicon
cyv	Cayuvava	1	No m in second person singular	-13.500	-65.500	Cayuvava	Cayuvava	Lexicon
mxc	Mixtec (Chalcatongo)	1	No m in second person singular	17.050	-97.583	Mixtecan	Oto-Manguean	Lexicon
cjo	Chichimeca-Jonaz	1	No m in second person singular	21.667	-100.500	Chichimec	Oto-Manguean	Lexicon
ctm	Chitimacha	1	No m in second person singular	29.667	-91.000	Chitimacha	Chitimacha	Lexicon
chk	Chukchi	1	No m in second person singular	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Lexicon
chv	Chuvash	1	No m in second person singular	55.500	47.500	Turkic	Altaic	Lexicon
cre	Cree (Plains)	1	No m in second person singular	54.000	-110.000	Algonquian	Algic	Lexicon
dag	Daga	1	No m in second person singular	-10.000	149.333	Dagan	Dagan	Lexicon
dni	Dani (Lower Grand Valley)	1	No m in second person singular	-4.333	138.833	Dani	Trans-New Guinea	Lexicon
diy	Diyari	1	No m in second person singular	-28.000	139.000	Pama-Nyungan	Australian	Lexicon
diz	Dizi	1	No m in second person singular	6.167	36.500	North Omotic	Afro-Asiatic	Lexicon
djp	Djapu	1	No m in second person singular	-12.667	136.000	Pama-Nyungan	Australian	Lexicon
dji	Djingili	1	No m in second person singular	-17.750	134.000	West Barkly	Australian	Lexicon
dyi	Dyirbal	1	No m in second person singular	-17.833	145.583	Pama-Nyungan	Australian	Lexicon
eng	English	1	No m in second person singular	52.000	0.000	Germanic	Indo-European	Lexicon
fin	Finnish	1	No m in second person singular	62.000	25.000	Finnic	Uralic	Lexicon
fre	French	1	No m in second person singular	48.000	2.000	Romance	Indo-European	Lexicon
fur	Fur	1	No m in second person singular	13.500	25.000	Fur	Nilo-Saharan	Lexicon
