Zeshan, Ulrike. 2011. Irregular Negatives in Sign Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 139A.
Available online at http://wals.info/feature/139A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ipk	Indo-Pakistani Sign Language (Karachi dialect)	1	None	28.000	68.000	Sign Languages	other	Sign Languages
ipi	Indo-Pakistani Sign Language (Indian dialects)	2	One	24.000	80.000	Sign Languages	other	Sign Languages
lse	Lengua de Señas Española	2	One	40.000	-3.000	Sign Languages	other	Sign Languages
kkl	Kata Kolok	2	One	-8.250	115.167	Sign Languages	other	Sign Languages
ics	Icelandic Sign Language	3	Some (2-5)	65.000	-18.000	Sign Languages	other	Sign Languages
isl	International Sign	3	Some (2-5)	40.000	-170.000	Sign Languages	other	Sign Languages
irs	Irish Sign Language	3	Some (2-5)	53.500	-7.500	Sign Languages	other	Sign Languages
lii	Lingua Italiana dei Segni	3	Some (2-5)	42.000	13.000	Sign Languages	other	Sign Languages
lgh	Lughat al-Isharat al-Lubnaniya	3	Some (2-5)	34.000	35.833	Sign Languages	other	Sign Languages
tsl	Tanzania Sign Language	3	Some (2-5)	-6.000	35.000	Sign Languages	other	Sign Languages
ths	Thai Sign Language	3	Some (2-5)	15.000	101.000	Sign Languages	other	Sign Languages
tui	Türk Isaret Dili	3	Some (2-5)	39.000	34.000	Sign Languages	other	Sign Languages
ada	Adamorobe Sign Language	3	Some (2-5)	5.833	-0.167	Sign Languages	other	Sign Languages
ned	Nederlandse Gebarentaal	3	Some (2-5)	52.250	5.500	Sign Languages	other	Sign Languages
asl	American Sign Language	4	Many (more than 5)	39.000	-78.000	Sign Languages	other	Sign Languages
aus	Auslan	4	Many (more than 5)	-30.000	145.000	Sign Languages	other	Sign Languages
bsl	British Sign Language	4	Many (more than 5)	52.000	-1.000	Sign Languages	other	Sign Languages
csl	Chinese Sign Language	4	Many (more than 5)	35.000	115.000	Sign Languages	other	Sign Languages
dge	Deutsche Gebärdensprache	4	Many (more than 5)	52.000	11.000	Sign Languages	other	Sign Languages
fsl	Finnish Sign Language	4	Many (more than 5)	62.000	26.000	Sign Languages	other	Sign Languages
gsl	Greek Sign Language	4	Many (more than 5)	38.500	22.000	Sign Languages	other	Sign Languages
hks	Hong Kong Sign Language	4	Many (more than 5)	22.500	114.000	Sign Languages	other	Sign Languages
iss	Israeli Sign Language	4	Many (more than 5)	32.000	34.833	Sign Languages	other	Sign Languages
lsf	Langue des Signes Française	4	Many (more than 5)	47.000	3.000	Sign Languages	other	Sign Languages
lsq	Langue des Signes Québecoise	4	Many (more than 5)	48.000	-75.000	Sign Languages	other	Sign Languages
lsa	Lengua de Señas Argentina	4	Many (more than 5)	-34.000	-63.000	Sign Languages	other	Sign Languages
lsb	Língua de Sinais Brasileira	4	Many (more than 5)	-15.000	-48.000	Sign Languages	other	Sign Languages
nzs	New Zealand Sign Language	4	Many (more than 5)	-43.000	172.000	Sign Languages	other	Sign Languages
nih	Nihon Shuwa (Japanese Sign Language)	4	Many (more than 5)	36.000	139.000	Sign Languages	other	Sign Languages
rsl	Russian Sign Language	4	Many (more than 5)	56.000	44.000	Sign Languages	other	Sign Languages
svt	Svenska Teckenspråket	4	Many (more than 5)	59.000	15.000	Sign Languages	other	Sign Languages
tzi	Taiwanese Sign Language (Ziran Shouyu)	4	Many (more than 5)	24.000	121.000	Sign Languages	other	Sign Languages
ugs	Ugandan Sign Language	4	Many (more than 5)	1.000	32.500	Sign Languages	other	Sign Languages
vla	Vlaamse Gebarentaal	4	Many (more than 5)	51.000	4.000	Sign Languages	other	Sign Languages
ssl	South Korean Sign Language	4	Many (more than 5)	37.000	128.000	Sign Languages	other	Sign Languages
