Maddieson, Ian. 2011. Tone.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 13A.
Available online at http://wals.info/feature/13A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
ood	O'odham	1	No tones	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
abk	Abkhaz	1	No tones	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
aht	Ahtna	1	No tones	62.000	-145.000	Athapaskan	Na-Dene	Phonology
akw	Akawaio	1	No tones	6.000	-59.500	Cariban	Cariban	Phonology
ala	Alamblak	1	No tones	-4.667	143.333	Sepik Hill	Sepik	Phonology
alw	Alawa	1	No tones	-15.167	134.250	Maran	Australian	Phonology
alb	Albanian	1	No tones	41.000	20.000	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	1	No tones	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
ame	Amele	1	No tones	-5.250	145.583	Madang	Trans-New Guinea	Phonology
amh	Amharic	1	No tones	10.000	38.000	Semitic	Afro-Asiatic	Phonology
amu	Amuesha	1	No tones	-10.500	-75.417	Arawakan	Arawakan	Phonology
gan	Great Andamanese	1	No tones	12.000	92.667	Great Andamanese	Great Andamanese	Phonology
api	Apinayé	1	No tones	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	No tones	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	No tones	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	1	No tones	30.000	31.000	Semitic	Afro-Asiatic	Phonology
ana	Araona	1	No tones	-12.333	-67.750	Tacanan	Tacanan	Phonology
arc	Archi	1	No tones	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	1	No tones	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	1	No tones	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
ata	Atayal	1	No tones	24.500	121.333	Atayalic	Austronesian	Phonology
