Gil, David. 2011. Para-Linguistic Usages of Clicks.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 142A.
Available online at http://wals.info/feature/142A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ako	Arabic (Kormakiti)	1	Logical meanings	35.250	33.500	Semitic	Afro-Asiatic	Other
alb	Albanian	1	Logical meanings	41.000	20.000	Albanian	Indo-European	Other
abh	Arabic (Bahrain)	1	Logical meanings	26.000	50.500	Semitic	Afro-Asiatic	Other
arl	Arabic (Lebanese)	1	Logical meanings	34.000	36.000	Semitic	Afro-Asiatic	Other
amr	Arabic (Moroccan)	1	Logical meanings	34.000	-6.000	Semitic	Afro-Asiatic	Other
ars	Arabic (San'ani)	1	Logical meanings	16.000	44.000	Semitic	Afro-Asiatic	Other
atu	Arabic (Tunisian)	1	Logical meanings	36.750	10.250	Semitic	Afro-Asiatic	Other
ava	Avar	1	Logical meanings	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
bgv	Bagvalal	1	Logical meanings	42.583	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
bam	Bambara	1	Logical meanings	12.500	-7.500	Western Mande	Niger-Congo	Other
bej	Beja	1	Logical meanings	18.000	36.000	Beja	Afro-Asiatic	Other
ben	Bengali	1	Logical meanings	24.000	90.000	Indic	Indo-European	Other
bul	Bulgarian	1	Logical meanings	42.500	25.000	Slavic	Indo-European	Other
chc	Chechen	1	Logical meanings	43.250	45.833	Nakh	Nakh-Daghestanian	Other
dyu	Dyula	1	Logical meanings	9.833	-4.667	Western Mande	Niger-Congo	Other
fma	Fula (Mauritanian)	1	Logical meanings	16.500	-13.750	Northern Atlantic	Niger-Congo	Other
fbf	Fula (Burkina Faso)	1	Logical meanings	14.000	0.000	Northern Atlantic	Niger-Congo	Other
geo	Georgian	1	Logical meanings	42.000	44.000	Kartvelian	Kartvelian	Other
gho	Ghotuo	1	Logical meanings	7.083	5.750	Edoid	Niger-Congo	Other
gcy	Greek (Cypriot)	1	Logical meanings	34.750	33.000	Greek	Indo-European	Other
grk	Greek (Modern)	1	Logical meanings	39.000	22.000	Greek	Indo-European	Other
gue	Guere	1	Logical meanings	6.667	-7.750	Kru	Niger-Congo	Other
gro	Guro	1	Logical meanings	7.000	-6.000	Eastern Mande	Niger-Congo	Other
heb	Hebrew (Modern)	1	Logical meanings	31.500	34.833	Semitic	Afro-Asiatic	Other
hin	Hindi	1	Logical meanings	25.000	77.000	Indic	Indo-European	Other
hzb	Hunzib	1	Logical meanings	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
ing	Ingush	1	Logical meanings	43.167	45.083	Nakh	Nakh-Daghestanian	Other
ita	Italian	1	Logical meanings	43.000	12.000	Romance	Indo-European	Other
itb	Italian (Bologna)	1	Logical meanings	44.500	11.333	Romance	Indo-European	Other
ifi	Italian (Fiorentino)	1	Logical meanings	43.750	11.250	Romance	Indo-European	Other
itg	Italian (Genoa)	1	Logical meanings	44.417	8.950	Romance	Indo-European	Other
itn	Italian (Napolitanian)	1	Logical meanings	40.917	14.250	Romance	Indo-European	Other
kfe	Koromfe	1	Logical meanings	14.250	-0.917	Gur	Niger-Congo	Other
lye	Lyele	1	Logical meanings	12.500	-2.667	Gur	Niger-Congo	Other
mym	Malayalam	1	Logical meanings	10.000	76.500	Southern Dravidian	Dravidian	Other
mlt	Maltese	1	Logical meanings	35.917	14.417	Semitic	Afro-Asiatic	Other
mnk	Maninka	1	Logical meanings	10.500	-9.500	Western Mande	Niger-Congo	Other
moo	Mooré	1	Logical meanings	12.833	-1.250	Gur	Niger-Congo	Other
oya	Oriya	1	Logical meanings	21.000	85.000	Indic	Indo-European	Other
prs	Persian	1	Logical meanings	32.000	54.000	Iranian	Indo-European	Other
scr	Serbian-Croatian	1	Logical meanings	44.000	19.000	Slavic	Indo-European	Other
bos	Bosnian	1	Logical meanings	43.000	18.000	Slavic	Indo-European	Other
som	Somali	1	Logical meanings	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Other
sra	Sranan	1	Logical meanings	5.833	-55.333	Creoles and Pidgins	other	Other
tel	Telugu	1	Logical meanings	16.000	79.000	South-Central Dravidian	Dravidian	Other
tsz	Tsez	1	Logical meanings	42.250	45.750	Avar-Andic-Tsezic	Nakh-Daghestanian	Other
tur	Turkish	1	Logical meanings	39.000	35.000	Turkic	Altaic	Other
dge	Deutsche Gebärdensprache	2	Affective meanings	52.000	11.000	Sign Languages	other	Other
ame	Amele	2	Affective meanings	-5.250	145.583	Madang	Trans-New Guinea	Other
akm	Arakanese (Marma)	2	Affective meanings	21.500	92.500	Burmese-Lolo	Sino-Tibetan	Other
aul	Aulua	2	Affective meanings	-16.333	167.667	Oceanic	Austronesian	Other
bal	Balinese	2	Affective meanings	-8.333	115.250	Bali-Sasak	Austronesian	Other
bmn	Bamun	2	Affective meanings	5.500	10.917	Bantoid	Niger-Congo	Other
bra	Brao	2	Affective meanings	14.167	107.500	Bahnaric	Austro-Asiatic	Other
khm	Khmer	2	Affective meanings	12.500	105.000	Khmer	Austro-Asiatic	Other
cnt	Cantonese	2	Affective meanings	23.000	113.000	Chinese	Sino-Tibetan	Other
chz	Chaozhou	2	Affective meanings	23.667	116.667	Chinese	Sino-Tibetan	Other
chx	Chontal (Huamelultec Oaxaca)	2	Affective meanings	16.000	-95.750	Tequistlatecan	Tequistlatecan	Other
cze	Czech	2	Affective meanings	50.000	15.000	Slavic	Indo-European	Other
dsh	Danish	2	Affective meanings	56.000	10.000	Germanic	Indo-European	Other
dut	Dutch	2	Affective meanings	52.500	6.000	Germanic	Indo-European	Other
eng	English	2	Affective meanings	52.000	0.000	Germanic	Indo-European	Other
fef	Fe'fe'	2	Affective meanings	5.250	10.167	Bantoid	Niger-Congo	Other
fiw	Fijian (Wayan)	2	Affective meanings	-17.000	177.300	Oceanic	Austronesian	Other
fin	Finnish	2	Affective meanings	62.000	25.000	Finnic	Uralic	Other
fua	Fula (Cameroonian)	2	Affective meanings	9.167	13.500	Northern Atlantic	Niger-Congo	Other
ger	German	2	Affective meanings	52.000	10.000	Germanic	Indo-European	Other
gvi	German (Viennese)	2	Affective meanings	48.167	16.333	Germanic	Indo-European	Other
gfr	Guianese French Creole	2	Affective meanings	5.000	-53.000	Creoles and Pidgins	other	Other
hau	Hausa	2	Affective meanings	12.000	7.000	West Chadic	Afro-Asiatic	Other
hmd	Hmong Daw	2	Affective meanings	26.000	105.000	Hmong-Mien	Hmong-Mien	Other
hmo	Hmong Njua	2	Affective meanings	28.000	105.000	Hmong-Mien	Hmong-Mien	Other
hun	Hungarian	2	Affective meanings	47.000	20.000	Ugric	Uralic	Other
igb	Igbo	2	Affective meanings	6.000	7.333	Igboid	Niger-Congo	Other
ilo	Ilocano	2	Affective meanings	16.000	121.000	Northern Philippines	Austronesian	Other
