Dryer, Matthew S.. 2011. Obligatory Double Negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 143B.
Available online at http://wals.info/feature/143B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bid	Bidiya	1	NegVNeg	11.917	18.750	East Chadic	Afro-Asiatic	Word Order
hal	Halia	1	NegVNeg	-5.250	154.667	Oceanic	Austronesian	Word Order
lmu	Lamen	1	NegVNeg	-16.583	168.167	Oceanic	Austronesian	Word Order
aml	Ambae (Lolovoli Northeast)	1	NegVNeg	-15.417	167.883	Oceanic	Austronesian	Word Order
gwa	Gwari	1	NegVNeg	9.500	7.000	Nupoid	Niger-Congo	Word Order
gua	Guaraní	1	NegVNeg	-26.000	-56.000	Tupi-Guaraní	Tupian	Word Order
lou	Lou	1	NegVNeg	-2.383	147.317	Oceanic	Austronesian	Word Order
ktl	Katla	1	NegVNeg	11.833	29.333	Katla-Tima	Niger-Congo	Word Order
ewe	Ewe	1	NegVNeg	6.333	0.417	Kwa	Niger-Congo	Word Order
knk	Kanakuru	1	NegVNeg	10.000	12.000	West Chadic	Afro-Asiatic	Word Order
ifm	Ifumu	1	NegVNeg	-3.667	15.333	Bantoid	Niger-Congo	Word Order
aoj	Mufian	1	NegVNeg	-3.500	143.000	Kombio-Arapesh	Torricelli	Word Order
kbl	Kabyle	1	NegVNeg	36.500	5.000	Berber	Afro-Asiatic	Word Order
rag	Raga	1	NegVNeg	-15.500	168.167	Oceanic	Austronesian	Word Order
ido	Idoma	1	NegVNeg	6.917	7.500	Idomoid	Niger-Congo	Word Order
erk	Efate (South)	1	NegVNeg	-17.750	168.417	Oceanic	Austronesian	Word Order
cak	Cakchiquel	1	NegVNeg	14.500	-91.000	Mayan	Mayan	Word Order
buy	Buli (in Ghana)	1	NegVNeg	10.500	-1.250	Gur	Niger-Congo	Word Order
amo	Amo	1	NegVNeg	10.333	8.667	Kainji	Niger-Congo	Word Order
moo	Mooré	1	NegVNeg	12.833	-1.250	Gur	Niger-Congo	Word Order
ksg	Karen (Sgaw)	1	NegVNeg	18.000	97.000	Karen	Sino-Tibetan	Word Order
teo	Teop	1	NegVNeg	-5.667	155.000	Oceanic	Austronesian	Word Order
abu	Abun	1	NegVNeg	-0.500	132.500	North-Central Bird's Head	West Papuan	Word Order
bab	Babungo	1	NegVNeg	6.117	10.417	Bantoid	Niger-Congo	Word Order
msn	Maisin	1	NegVNeg	-9.500	149.167	Oceanic	Austronesian	Word Order
kro	Krongo	1	NegVNeg	10.500	30.000	Kadugli	Kadugli	Word Order
vif	Vili	1	NegVNeg	-5.500	14.000	Bantoid	Niger-Congo	Word Order
msk	Masakin	1	NegVNeg	10.667	30.000	Talodi Proper	Niger-Congo	Word Order
bbf	Bobo Fing	1	NegVNeg	11.833	-4.417	Western Mande	Niger-Congo	Word Order
otr	Otoro	1	NegVNeg	11.167	30.500	Heiban	Niger-Congo	Word Order
per	Pero	1	NegVNeg	9.583	11.000	West Chadic	Afro-Asiatic	Word Order
rot	Rotuman	1	NegVNeg	-12.500	177.067	Oceanic	Austronesian	Word Order
qhu	Quechua (Huallaga)	1	NegVNeg	-9.500	-75.500	Quechuan	Quechuan	Word Order
bob	Bobangi	1	NegVNeg	-1.333	17.333	Bantoid	Niger-Congo	Word Order
tye	Tyeraity	1	NegVNeg	-13.000	130.333	Northern Daly	Australian	Word Order
pis	Pisa	1	NegVNeg	-5.167	139.167	Awju-Dumut	Trans-New Guinea	Word Order
izi	Izi	2	Neg[V-Neg]	6.333	8.000	Igboid	Niger-Congo	Word Order
kio	Kiowa	2	Neg[V-Neg]	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
pso	Pomo (Southeastern)	2	Neg[V-Neg]	39.000	-122.500	Pomoan	Hokan	Word Order
krk	Karok	2	Neg[V-Neg]	41.667	-123.000	Karok	Karok	Word Order
zun	Zuni	2	Neg[V-Neg]	35.083	-108.833	Zuni	Zuni	Word Order
eve	Evenki	2	Neg[V-Neg]	56.000	125.000	Tungusic	Altaic	Word Order
win	Wintu	2	Neg[V-Neg]	41.000	-122.500	Wintuan	Penutian	Word Order
amx	Anamuxra	2	Neg[V-Neg]	-4.667	145.000	Madang	Trans-New Guinea	Word Order
mom	Mombum	2	Neg[V-Neg]	-8.250	138.750	Mombum	Mombum	Word Order
orw	Oromo (Waata)	2	Neg[V-Neg]	-3.333	39.833	Eastern Cushitic	Afro-Asiatic	Word Order
ite	Itelmen	2	Neg[V-Neg]	57.000	157.500	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
amn	Amanab	2	Neg[V-Neg]	-3.583	141.250	Border	Border	Word Order
hai	Haida	2	Neg[V-Neg]	53.000	-132.000	Haida	Haida	Word Order
tnc	Tanacross	2	Neg[V-Neg]	63.500	-143.500	Athapaskan	Na-Dene	Word Order
wrk	Warekena	2	Neg[V-Neg]	1.500	-67.500	Arawakan	Arawakan	Word Order
yuk	Yukulta	2	Neg[V-Neg]	-17.333	138.833	Tangkic	Australian	Word Order
apw	Apache (Western)	2	Neg[V-Neg]	33.750	-110.000	Athapaskan	Na-Dene	Word Order
evn	Even	2	Neg[V-Neg]	68.000	130.000	Tungusic	Altaic	Word Order
boi	Boiken	2	Neg[V-Neg]	-3.500	143.500	Middle Sepik	Sepik	Word Order
thu	Thulung	2	Neg[V-Neg]	27.417	86.500	Bodic	Sino-Tibetan	Word Order
mwo	Mwotlap	2	Neg[V-Neg]	-13.583	167.583	Oceanic	Austronesian	Word Order
dha	Dhaasanac	2	Neg[V-Neg]	4.667	36.333	Eastern Cushitic	Afro-Asiatic	Word Order
psm	Passamaquoddy-Maliseet	2	Neg[V-Neg]	45.000	-67.000	Algonquian	Algic	Word Order
cui	Cuiba	2	Neg[V-Neg]	6.500	-70.000	Guahiban	Guahiban	Word Order
