Dryer, Matthew S.. 2011. Preverbal Negative Morphemes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 143E.
Available online at http://wals.info/feature/143E
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
tsh	Tümpisa Shoshone	1	NegV	37.000	-117.000	Numic	Uto-Aztecan	Word Order
cup	Cupeño	1	NegV	33.167	-116.500	Takic	Uto-Aztecan	Word Order
kor	Korean	1	NegV	37.500	128.000	Korean	Korean	Word Order
did	Didinga	1	NegV	4.500	33.500	Surmic	Nilo-Saharan	Word Order
khn	Khün	1	NegV	21.000	100.000	Kam-Tai	Tai-Kadai	Word Order
bai	Bai	1	NegV	26.000	100.000	Bai	Sino-Tibetan	Word Order
all	Ala'ala	1	NegV	-8.917	146.750	Oceanic	Austronesian	Word Order
pba	Pima Bajo	1	NegV	29.000	-111.000	Tepiman	Uto-Aztecan	Word Order
nga	Nganasan	1	NegV	71.000	93.000	Samoyedic	Uralic	Word Order
tep	Tepehua (Tlachichilco)	1	NegV	20.583	-98.250	Totonacan	Totonacan	Word Order
wsk	Waskia	1	NegV	-4.500	146.000	Madang	Trans-New Guinea	Word Order
gwa	Gwari	1	NegV	9.500	7.000	Nupoid	Niger-Congo	Word Order
cso	Chatino (Sierra Occidental)	1	NegV	16.250	-97.333	Zapotecan	Oto-Manguean	Word Order
dhw	Dharawal	1	NegV	-34.500	150.500	Pama-Nyungan	Australian	Word Order
ngw	Ngawun	1	NegV	-19.000	141.500	Pama-Nyungan	Australian	Word Order
ame	Amele	1	NegV	-5.250	145.583	Madang	Trans-New Guinea	Word Order
tid	Tidore	1	NegV	0.750	127.500	North Halmaheran	West Papuan	Word Order
mrd	Marind	1	NegV	-7.833	140.167	Marind Proper	Marind	Word Order
nyu	Nyulnyul	1	NegV	-17.000	122.833	Nyulnyulan	Australian	Word Order
mch	Machiguenga	1	NegV	-12.000	-72.667	Arawakan	Arawakan	Word Order
fon	Fongbe	1	NegV	6.417	2.167	Kwa	Niger-Congo	Word Order
chq	Chinantec (Quiotepec)	1	NegV	17.583	-96.667	Chinantecan	Oto-Manguean	Word Order
grs	Garus	1	NegV	-4.950	145.667	Madang	Trans-New Guinea	Word Order
dja	Djabugay	1	NegV	-16.750	145.583	Pama-Nyungan	Australian	Word Order
plh	Paulohi	1	NegV	-3.250	128.750	Central Malayo-Polynesian	Austronesian	Word Order
bnu	Bularnu	1	NegV	-21.000	138.000	Pama-Nyungan	Australian	Word Order
see	Seediq	1	NegV	24.167	121.417	Atayalic	Austronesian	Word Order
agc	Agta (Central)	1	NegV	17.967	121.833	Northern Philippines	Austronesian	Word Order
ewe	Ewe	1	NegV	6.333	0.417	Kwa	Niger-Congo	Word Order
tja	Tiipay (Jamul)	1	NegV	32.167	-116.500	Yuman	Hokan	Word Order
una	Una	1	NegV	-4.667	140.000	Mek	Trans-New Guinea	Word Order
bao	Bao'an	1	NegV	35.583	102.000	Mongolic	Altaic	Word Order
chd	Chaudangsi	1	NegV	30.000	80.250	Bodic	Sino-Tibetan	Word Order
cmh	Chemehuevi	1	NegV	34.333	-115.167	Numic	Uto-Aztecan	Word Order
kos	Kosraean	1	NegV	5.300	163.000	Oceanic	Austronesian	Word Order
apu	Apurinã	1	NegV	-9.000	-67.000	Arawakan	Arawakan	Word Order
bnn	Banoni	1	NegV	-6.417	155.250	Oceanic	Austronesian	Word Order
ktl	Katla	1	NegV	11.833	29.333	Katla-Tima	Niger-Congo	Word Order
trr	Tairora	1	NegV	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Word Order
res	Resígaro	1	NegV	-2.417	-71.500	Arawakan	Arawakan	Word Order
mrl	Murle	1	NegV	6.500	33.500	Surmic	Nilo-Saharan	Word Order
sun	Sundanese	1	NegV	-7.000	107.000	Sundanese	Austronesian	Word Order
tag	Tagalog	1	NegV	15.000	121.000	Meso-Philippine	Austronesian	Word Order
oks	Oksapmin	1	NegV	-5.167	142.167	Oksapmin	Oksapmin	Word Order
shp	Sahaptin (Northern)	1	NegV	46.500	-120.000	Sahaptian	Penutian	Word Order
mco	Mixe (Coatlán)	1	NegV	16.917	-95.667	Mixe-Zoque	Mixe-Zoque	Word Order
snn	Soninke	1	NegV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
nsg	Nisgha	1	NegV	55.000	-130.000	Tsimshianic	Penutian	Word Order
tmo	Tibetan (Modern Literary)	1	NegV	29.833	91.500	Bodic	Sino-Tibetan	Word Order
bac	Bachamal	1	NegV	-13.167	130.167	Anson Bay	Australian	Word Order
