Dryer, Matthew S.. 2011. Postverbal Negative Morphemes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 143F.
Available online at http://wals.info/feature/143F
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
urt	Urat	1	VNeg	-3.667	142.833	Wapei-Palei	Torricelli	Word Order
kel	Kele	1	VNeg	-2.083	147.083	Oceanic	Austronesian	Word Order
sel	Selknam	1	VNeg	-53.000	-70.000	Chon Proper	Chon	Word Order
asm	Asmat	1	VNeg	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Word Order
fre	French	1	VNeg	48.000	2.000	Romance	Indo-European	Word Order
bii	Biri	1	VNeg	-20.500	146.500	Pama-Nyungan	Australian	Word Order
pat	Patep	1	VNeg	-6.917	146.583	Oceanic	Austronesian	Word Order
lai	Lai	1	VNeg	22.667	93.667	Kuki-Chin	Sino-Tibetan	Word Order
wec	Welsh (Colloquial)	1	VNeg	52.750	-3.583	Celtic	Indo-European	Word Order
snm	Sanuma	1	VNeg	4.500	-64.667	Yanomam	Yanomam	Word Order
ega	Ega	1	VNeg	5.500	-5.500	Kwa	Niger-Congo	Word Order
cti	Chin (Tiddim)	1	VNeg	23.333	93.667	Kuki-Chin	Sino-Tibetan	Word Order
gbb	Gbeya Bossangoa	1	VNeg	6.667	17.500	Ubangi	Niger-Congo	Word Order
gul	Gula (in Central African Republic)	1	VNeg	9.500	22.500	Bongo-Bagirmi	Nilo-Saharan	Word Order
au	Au	1	VNeg	-3.583	142.083	Wapei-Palei	Torricelli	Word Order
chj	Chuj	1	VNeg	15.917	-91.583	Mayan	Mayan	Word Order
meh	Mehri	1	VNeg	17.000	51.500	Semitic	Afro-Asiatic	Word Order
lon	Loniu	1	VNeg	-2.067	147.333	Oceanic	Austronesian	Word Order
mku	Maranungku	1	VNeg	-13.667	130.000	Western Daly	Australian	Word Order
kho	Khoekhoe	1	VNeg	-25.500	18.000	Central Khoisan	Khoisan	Word Order
udm	Udmurt	1	VNeg	57.500	52.500	Permic	Uralic	Word Order
giz	Giziga	1	VNeg	10.333	14.167	Biu-Mandara	Afro-Asiatic	Word Order
rwe	Romani (Welsh)	1	VNeg	52.000	-4.000	Indic	Indo-European	Word Order
mlu	Maleu	1	VNeg	-5.717	148.417	Oceanic	Austronesian	Word Order
mek	Mekens	1	VNeg	-12.500	-61.500	Tupari	Tupian	Word Order
aba	Abau	1	VNeg	-4.000	141.250	Upper Sepik	Sepik	Word Order
bag	Bagirmi	1	VNeg	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
hlp	Hualapai	1	VNeg	35.500	-113.750	Yuman	Hokan	Word Order
chs	Chin (Siyin)	1	VNeg	23.833	94.000	Kuki-Chin	Sino-Tibetan	Word Order
swe	Swedish	1	VNeg	60.000	15.000	Germanic	Indo-European	Word Order
mxe	Ifira-Mele	1	VNeg	-17.750	168.250	Oceanic	Austronesian	Word Order
lmn	Lamani	1	VNeg	17.000	77.000	Indic	Indo-European	Word Order
klw	Kiliwa	1	VNeg	31.333	-115.667	Yuman	Hokan	Word Order
krn	Korana	1	VNeg	-29.500	20.500	Central Khoisan	Khoisan	Word Order
