Dryer, Matthew S.. 2011. Minor morphological means of signaling negation.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 143G.
Available online at http://wals.info/feature/143G
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
egn	Engenni	1	NegTone	5.167	6.383	Edoid	Niger-Congo	Word Order
doy	Doyayo	1	NegTone	8.667	13.083	Adamawa	Niger-Congo	Word Order
orh	Oromo (Harar)	1	NegTone	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
kis	Kisi	1	NegTone	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
ble	Baule	1	NegTone	7.000	-5.000	Kwa	Niger-Congo	Word Order
ewo	Ewondo	1	NegTone	4.000	12.000	Bantoid	Niger-Congo	Word Order
deg	Degema	1	NegTone	4.750	6.750	Edoid	Niger-Congo	Word Order
tbl	Tabla	2	NegInfix	-2.450	140.417	Sentani	Sentani	Word Order
nwd	Newar (Dolakha)	2	NegInfix	27.333	86.000	Bodic	Sino-Tibetan	Word Order
tsk	Tamashek	3	NegStemChange	20.000	-2.000	Berber	Afro-Asiatic	Word Order
wic	Wichita	4	None	33.333	-97.333	Caddoan	Caddoan	Word Order
nze	Naga (Zeme)	4	None	25.167	93.500	Kuki-Chin	Sino-Tibetan	Word Order
one	One	4	None	-3.250	141.917	West Wapei	Torricelli	Word Order
die	Diegueño (Mesa Grande)	4	None	32.667	-116.167	Yuman	Hokan	Word Order
yok	Yokuts (Yaudanchi)	4	None	36.083	-119.083	Yokuts	Penutian	Word Order
ful	Fulniô	4	None	-8.000	-37.500	Yatê	Macro-Ge	Word Order
tny	Tenyer	4	None	10.667	-4.500	Gur	Niger-Congo	Word Order
myi	Mangarrayi	4	None	-14.667	133.500	Mangarrayi	Australian	Word Order
nah	Nahali	4	None	19.750	77.833	Nahali	Nahali	Word Order
png	Pangwa	4	None	-10.000	34.750	Bantoid	Niger-Congo	Word Order
cak	Cakchiquel	4	None	14.500	-91.000	Mayan	Mayan	Word Order
nia	Nias	4	None	1.000	97.750	Sumatra	Austronesian	Word Order
win	Wintu	4	None	41.000	-122.500	Wintuan	Penutian	Word Order
tac	Tacana	4	None	-13.500	-68.000	Tacanan	Tacanan	Word Order
ham	Hamtai	4	None	-7.500	146.250	Angan	Trans-New Guinea	Word Order
bri	Bribri	4	None	9.417	-83.000	Talamanca	Chibchan	Word Order
