Dryer, Matthew S.. 2011. Position of Negative Word With Respect to Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144A.
Available online at http://wals.info/feature/144A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
gud	Gude	1	NegSVO	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
pkn	Paakantyi	1	NegSVO	-32.500	142.500	Pama-Nyungan	Australian	Word Order
ngw	Ngawun	1	NegSVO	-19.000	141.500	Pama-Nyungan	Australian	Word Order
ten	Tennet	1	NegSVO	4.417	32.500	Surmic	Nilo-Saharan	Word Order
iqu	Iquito	1	NegSVO	-3.250	-74.000	Zaparoan	Zaparoan	Word Order
mrq	Marquesan	1	NegSVO	-8.917	-140.083	Oceanic	Austronesian	Word Order
mao	Maori	1	NegSVO	-40.000	176.000	Oceanic	Austronesian	Word Order
maj	Majang	1	NegSVO	6.750	35.000	Surmic	Nilo-Saharan	Word Order
tes	Teso	1	NegSVO	1.833	33.833	Nilotic	Nilo-Saharan	Word Order
coc	Cocama	1	NegSVO	-5.000	-74.500	Tupi-Guaraní	Tupian	Word Order
cnt	Cantonese	2	SNegVO	23.000	113.000	Chinese	Sino-Tibetan	Word Order
arj	Arabic (Kuwaiti)	2	SNegVO	29.500	47.500	Semitic	Afro-Asiatic	Word Order
mut	Mutsun	2	SNegVO	36.833	-121.500	Costanoan	Penutian	Word Order
kzy	Komi-Zyrian	2	SNegVO	65.000	55.000	Permic	Uralic	Word Order
rom	Romanian	2	SNegVO	46.000	25.000	Romance	Indo-European	Word Order
kir	Kirma	2	SNegVO	10.250	-4.833	Gur	Niger-Congo	Word Order
fin	Finnish	2	SNegVO	62.000	25.000	Finnic	Uralic	Word Order
htc	Huastec	2	SNegVO	22.083	-99.333	Mayan	Mayan	Word Order
pul	Puluwat	2	SNegVO	7.333	149.333	Oceanic	Austronesian	Word Order
sun	Sundanese	2	SNegVO	-7.000	107.000	Sundanese	Austronesian	Word Order
nal	Nalik	2	SNegVO	-2.950	151.333	Oceanic	Austronesian	Word Order
bnn	Banoni	2	SNegVO	-6.417	155.250	Oceanic	Austronesian	Word Order
ksn	Kasong	2	SNegVO	12.750	102.117	Pearic	Austro-Asiatic	Word Order
huc	=|Hoan	2	SNegVO	-25.500	25.000	=|Hoan	Khoisan	Word Order
sed	Sedang	2	SNegVO	14.833	108.000	Bahnaric	Austro-Asiatic	Word Order
ind	Indonesian	2	SNegVO	0.000	106.000	Malayic	Austronesian	Word Order
shl	Shilluk	2	SNegVO	9.667	31.750	Nilotic	Nilo-Saharan	Word Order
plg	Palaung	2	SNegVO	22.667	96.667	Palaung-Khmuic	Austro-Asiatic	Word Order
hak	Hakka	2	SNegVO	25.000	116.000	Chinese	Sino-Tibetan	Word Order
dgb	Dagbani	2	SNegVO	9.583	-0.500	Gur	Niger-Congo	Word Order
slo	Slovene	2	SNegVO	46.000	15.000	Slavic	Indo-European	Word Order
kfe	Koromfe	2	SNegVO	14.250	-0.917	Gur	Niger-Congo	Word Order
heb	Hebrew (Modern)	2	SNegVO	31.500	34.833	Semitic	Afro-Asiatic	Word Order
mna	Muna	2	SNegVO	-5.000	122.500	Sulawesi	Austronesian	Word Order
pal	Palauan	2	SNegVO	7.500	134.583	Palauan	Austronesian	Word Order
hun	Hungarian	2	SNegVO	47.000	20.000	Ugric	Uralic	Word Order
brf	Berber (Rif)	2	SNegVO	34.500	-4.000	Berber	Afro-Asiatic	Word Order
xbi	Kombio	2	SNegVO	-3.500	142.750	Kombio-Arapesh	Torricelli	Word Order
ukr	Ukrainian	2	SNegVO	49.000	33.000	Slavic	Indo-European	Word Order
ngu	Nguna	2	SNegVO	-16.917	168.500	Oceanic	Austronesian	Word Order
ndy	Ndyuka	2	SNegVO	4.500	-54.500	Creoles and Pidgins	other	Word Order
sis	Sisiqa	2	SNegVO	-7.000	156.833	Oceanic	Austronesian	Word Order
acg	Achagua	2	SNegVO	4.417	-72.250	Arawakan	Arawakan	Word Order
tmm	Tamabo	2	SNegVO	-15.667	167.167	Oceanic	Austronesian	Word Order
cmy	Chontal Maya	2	SNegVO	18.167	-92.583	Mayan	Mayan	Word Order
spa	Spanish	2	SNegVO	40.000	-4.000	Romance	Indo-European	Word Order
mau	Maung	2	SNegVO	-11.917	133.500	Iwaidjan	Australian	Word Order
ebi	Ebira	2	SNegVO	8.167	7.000	Nupoid	Niger-Congo	Word Order
ita	Italian	2	SNegVO	43.000	12.000	Romance	Indo-European	Word Order
kom	Komo	2	SNegVO	8.750	33.750	Koman	Nilo-Saharan	Word Order
dga	Dagaare	2	SNegVO	10.500	-2.667	Gur	Niger-Congo	Word Order
taf	Taiof	2	SNegVO	-5.533	154.633	Oceanic	Austronesian	Word Order
mrt	Martuthunira	2	SNegVO	-20.833	116.500	Pama-Nyungan	Australian	Word Order
yin	Yindjibarndi	2	SNegVO	-21.750	117.917	Pama-Nyungan	Australian	Word Order
sob	Sobei	2	SNegVO	-1.917	138.750	Oceanic	Austronesian	Word Order
mok	Mokilese	2	SNegVO	6.667	159.750	Oceanic	Austronesian	Word Order
ssa	Sisaala	2	SNegVO	10.833	-2.667	Gur	Niger-Congo	Word Order
alb	Albanian	2	SNegVO	41.000	20.000	Albanian	Indo-European	Word Order
sap	Sapuan	2	SNegVO	15.167	106.833	Bahnaric	Austro-Asiatic	Word Order
mus	Mussau	2	SNegVO	-1.450	149.617	Oceanic	Austronesian	Word Order
poh	Pohnpeian	2	SNegVO	6.883	158.250	Oceanic	Austronesian	Word Order
kni	Konni	2	SNegVO	10.250	-1.583	Gur	Niger-Congo	Word Order
hmo	Hmong Njua	2	SNegVO	28.000	105.000	Hmong-Mien	Hmong-Mien	Word Order
kwa	Kwaio	2	SNegVO	-8.950	161.000	Oceanic	Austronesian	Word Order
aro	Arosi	2	SNegVO	-10.250	161.333	Oceanic	Austronesian	Word Order
tha	Thai	2	SNegVO	16.000	101.000	Kam-Tai	Tai-Kadai	Word Order
nun	Nung (in Vietnam)	2	SNegVO	21.917	106.417	Kam-Tai	Tai-Kadai	Word Order
por	Portuguese	2	SNegVO	39.000	-8.000	Romance	Indo-European	Word Order
est	Estonian	2	SNegVO	59.000	26.000	Finnic	Uralic	Word Order
xar	Xârâcùù	2	SNegVO	-21.667	166.000	Oceanic	Austronesian	Word Order
kos	Kosraean	2	SNegVO	5.300	163.000	Oceanic	Austronesian	Word Order
khm	Khmer	2	SNegVO	12.500	105.000	Khmer	Austro-Asiatic	Word Order
tgk	Tigak	2	SNegVO	-2.717	150.800	Oceanic	Austronesian	Word Order
ttn	Tetun	2	SNegVO	-9.000	126.000	Central Malayo-Polynesian	Austronesian	Word Order
kch	Koyra Chiini	2	SNegVO	17.000	-3.000	Songhay	Nilo-Saharan	Word Order
uli	Ulithian	2	SNegVO	9.917	139.583	Oceanic	Austronesian	Word Order
mae	Mae	2	SNegVO	-16.000	167.250	Oceanic	Austronesian	Word Order
mon	Mon	2	SNegVO	14.833	100.500	Monic	Austro-Asiatic	Word Order
sre	Sre	2	SNegVO	11.500	108.000	Bahnaric	Austro-Asiatic	Word Order
wol	Woleaian	2	SNegVO	7.333	143.833	Oceanic	Austronesian	Word Order
fon	Fongbe	2	SNegVO	6.417	2.167	Kwa	Niger-Congo	Word Order
juh	Ju|'hoan	2	SNegVO	-19.000	21.000	Northern Khoisan	Khoisan	Word Order
url	Urak Lawoi'	2	SNegVO	8.000	98.333	Malayic	Austronesian	Word Order
yor	Yoruba	2	SNegVO	8.000	4.333	Defoid	Niger-Congo	Word Order
pol	Polish	2	SNegVO	52.000	20.000	Slavic	Indo-European	Word Order
tmr	Temiar	2	SNegVO	5.000	101.500	Aslian	Austro-Asiatic	Word Order
rus	Russian	2	SNegVO	56.000	38.000	Slavic	Indo-European	Word Order
yng	Yingkarta	2	SNegVO	-25.167	114.833	Pama-Nyungan	Australian	Word Order
