Dryer, Matthew S.. 2011. Position of negative words relative to beginning and end of clause and with respect to adjacency to verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144B.
Available online at http://wals.info/feature/144B
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
pkn	Paakantyi	1	Beginning, not immed preverbal	-32.500	142.500	Pama-Nyungan	Australian	Word Order
ten	Tennet	1	Beginning, not immed preverbal	4.417	32.500	Surmic	Nilo-Saharan	Word Order
bac	Bachamal	1	Beginning, not immed preverbal	-13.167	130.167	Anson Bay	Australian	Word Order
cui	Cuiba	1	Beginning, not immed preverbal	6.500	-70.000	Guahiban	Guahiban	Word Order
ggu	Gureng Gureng	1	Beginning, not immed preverbal	-25.250	151.000	Pama-Nyungan	Australian	Word Order
mku	Maranungku	1	Beginning, not immed preverbal	-13.667	130.000	Western Daly	Australian	Word Order
djn	Djinang	1	Beginning, not immed preverbal	-12.333	134.833	Pama-Nyungan	Australian	Word Order
tes	Teso	1	Beginning, not immed preverbal	1.833	33.833	Nilotic	Nilo-Saharan	Word Order
coc	Cocama	1	Beginning, not immed preverbal	-5.000	-74.500	Tupi-Guaraní	Tupian	Word Order
nue	Nuer	1	Beginning, not immed preverbal	8.333	32.000	Nilotic	Nilo-Saharan	Word Order
gud	Gude	1	Beginning, not immed preverbal	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
iqu	Iquito	1	Beginning, not immed preverbal	-3.250	-74.000	Zaparoan	Zaparoan	Word Order
zun	Zuni	1	Beginning, not immed preverbal	35.083	-108.833	Zuni	Zuni	Word Order
grj	Guarijío	1	Beginning, not immed preverbal	27.750	-108.667	Tarahumaran	Uto-Aztecan	Word Order
yuk	Yukulta	1	Beginning, not immed preverbal	-17.333	138.833	Tangkic	Australian	Word Order
nad	Nadëb	1	Beginning, not immed preverbal	-1.000	-66.500	Nadahup	Nadahup	Word Order
kio	Kiowa	1	Beginning, not immed preverbal	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
yuw	Yuwaalaraay	1	Beginning, not immed preverbal	-29.500	148.000	Pama-Nyungan	Australian	Word Order
ndj	Ndjébbana	1	Beginning, not immed preverbal	-12.167	134.117	Ndjébbana	Australian	Word Order
mao	Maori	1	Beginning, not immed preverbal	-40.000	176.000	Oceanic	Austronesian	Word Order
cpy	Chipaya	1	Beginning, not immed preverbal	-18.750	-67.833	Uru-Chipaya	Uru-Chipaya	Word Order
nez	Nez Perce	1	Beginning, not immed preverbal	46.000	-116.000	Sahaptian	Penutian	Word Order
klm	Klamath	1	Beginning, not immed preverbal	42.500	-121.500	Klamath-Modoc	Penutian	Word Order
mny	Margany	1	Beginning, not immed preverbal	-27.000	144.500	Pama-Nyungan	Australian	Word Order
mrw	Muruwari	1	Beginning, not immed preverbal	-28.750	147.000	Pama-Nyungan	Australian	Word Order
pno	Paiute (Northern)	1	Beginning, not immed preverbal	42.000	-118.000	Numic	Uto-Aztecan	Word Order
djp	Djapu	1	Beginning, not immed preverbal	-12.667	136.000	Pama-Nyungan	Australian	Word Order
lui	Luiseño	1	Beginning, not immed preverbal	33.333	-117.167	Takic	Uto-Aztecan	Word Order
gav	Gavião	1	Beginning, not immed preverbal	-10.667	-62.000	Monde	Tupian	Word Order
trr	Tairora	1	Beginning, not immed preverbal	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Word Order
