Dryer, Matthew S.. 2011. Languages with different word order in negative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144C.
Available online at http://wals.info/feature/144C
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
mrq	Marquesan	1	VSO, but NegSVO	-8.917	-140.083	Oceanic	Austronesian	Word Order
mao	Maori	1	VSO, but NegSVO	-40.000	176.000	Oceanic	Austronesian	Word Order
maj	Majang	1	VSO, but NegSVO	6.750	35.000	Surmic	Nilo-Saharan	Word Order
tes	Teso	1	VSO, but NegSVO	1.833	33.833	Nilotic	Nilo-Saharan	Word Order
gud	Gude	1	VSO, but NegSVO	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
ten	Tennet	1	VSO, but NegSVO	4.417	32.500	Surmic	Nilo-Saharan	Word Order
grb	Grebo	2	SVO, but SNegOV	5.000	-8.000	Kru	Niger-Congo	Word Order
mbi	Mbili	2	SVO, but SNegOV	6.117	10.200	Bantoid	Niger-Congo	Word Order
kla	Klao	2	SVO, but SNegOV	4.750	-8.750	Kru	Niger-Congo	Word Order
mur	Mursi	3	SVO, but SONegV	5.583	36.083	Surmic	Nilo-Saharan	Word Order
mdw	Mbosi	4	SVO, but SOVNeg	-1.250	15.500	Bantoid	Niger-Congo	Word Order
crn	Cornish	5	SVO, but NegVSO	50.333	-5.000	Celtic	Indo-European	Word Order
mee	Me'en	6	SVO but SO[V-Neg]	5.000	37.000	Surmic	Nilo-Saharan	Word Order
agb	Leggbó	7	SVO but SO[Neg-V]	6.000	8.000	Cross River	Niger-Congo	Word Order
nad	Nadëb	8	OSV but NegSVO/O[Neg-V]S	-1.000	-66.500	Nadahup	Nadahup	Word Order
baf	Bafut	9	SVO, but NegSNegOV	6.250	9.917	Bantoid	Niger-Congo	Word Order
trm	Tirmaga	10	SVO, but SONeg[V-Neg]/SO[Neg-V-Neg]	5.750	35.250	Surmic	Nilo-Saharan	Word Order
kyz	Kayabí	11	SOV but  SONeg[V-Neg]/S[Neg-V-Neg] O	-11.000	-55.500	Tupi-Guaraní	Tupian	Word Order
msk	Masakin	12	SVO/VSO, but NegSVONeg	10.667	30.000	Talodi Proper	Niger-Congo	Word Order
bbu	Barambu	13	SVO/VSO, but [Neg-V]SO(Neg)	3.500	27.000	Ubangi	Niger-Congo	Word Order
mou	Moru	14	SVO/SOV, but SVONeg	4.750	29.750	Moru-Ma'di	Nilo-Saharan	Word Order
lug	Lugbara	14	SVO/SOV, but SVONeg	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Word Order
dgo	Dongo	14	SVO/SOV, but SVONeg	3.000	30.000	Ubangi	Niger-Congo	Word Order
mad	Ma'di	14	SVO/SOV, but SVONeg	3.250	31.500	Moru-Ma'di	Nilo-Saharan	Word Order
lgt	Logoti	14	SVO/SOV, but SVONeg	3.500	30.000	Moru-Ma'di	Nilo-Saharan	Word Order
hun	Hungarian	15	SVO/SOV, but SNegVO	47.000	20.000	Ugric	Uralic	Word Order
din	Dinka	16	SVO/SOV, but SNegOV	8.500	28.000	Nilotic	Nilo-Saharan	Word Order
nue	Nuer	17	SVO/SOV, but SOVNeg	8.333	32.000	Nilotic	Nilo-Saharan	Word Order
