Dryer, Matthew S.. 2011. The Position of Negative Morphemes in SVO Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144D.
Available online at http://wals.info/feature/144D
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
pkn	Paakantyi	1	NegSVO	-32.500	142.500	Pama-Nyungan	Australian	Word Order
ngw	Ngawun	1	NegSVO	-19.000	141.500	Pama-Nyungan	Australian	Word Order
coc	Cocama	1	NegSVO	-5.000	-74.500	Tupi-Guaraní	Tupian	Word Order
iqu	Iquito	1	NegSVO	-3.250	-74.000	Zaparoan	Zaparoan	Word Order
dga	Dagaare	2	SNegVO	10.500	-2.667	Gur	Niger-Congo	Word Order
mut	Mutsun	2	SNegVO	36.833	-121.500	Costanoan	Penutian	Word Order
ncm	Ncàm	2	SNegVO	9.333	0.667	Gur	Niger-Congo	Word Order
ebi	Ebira	2	SNegVO	8.167	7.000	Nupoid	Niger-Congo	Word Order
ita	Italian	2	SNegVO	43.000	12.000	Romance	Indo-European	Word Order
neh	Nehan	2	SNegVO	-4.500	154.200	Oceanic	Austronesian	Word Order
sap	Sapuan	2	SNegVO	15.167	106.833	Bahnaric	Austro-Asiatic	Word Order
heb	Hebrew (Modern)	2	SNegVO	31.500	34.833	Semitic	Afro-Asiatic	Word Order
hmo	Hmong Njua	2	SNegVO	28.000	105.000	Hmong-Mien	Hmong-Mien	Word Order
gok	Gokana	2	SNegVO	4.583	7.333	Cross River	Niger-Congo	Word Order
nak	Nakanai	2	SNegVO	-5.583	150.583	Oceanic	Austronesian	Word Order
tgk	Tigak	2	SNegVO	-2.717	150.800	Oceanic	Austronesian	Word Order
srd	Sardinian	2	SNegVO	40.000	9.000	Romance	Indo-European	Word Order
mus	Mussau	2	SNegVO	-1.450	149.617	Oceanic	Austronesian	Word Order
mau	Maung	2	SNegVO	-11.917	133.500	Iwaidjan	Australian	Word Order
est	Estonian	2	SNegVO	59.000	26.000	Finnic	Uralic	Word Order
tmm	Tamabo	2	SNegVO	-15.667	167.167	Oceanic	Austronesian	Word Order
kni	Konni	2	SNegVO	10.250	-1.583	Gur	Niger-Congo	Word Order
lan	Lango	2	SNegVO	2.167	33.000	Nilotic	Nilo-Saharan	Word Order
aro	Arosi	2	SNegVO	-10.250	161.333	Oceanic	Austronesian	Word Order
acg	Achagua	2	SNegVO	4.417	-72.250	Arawakan	Arawakan	Word Order
bvi	Bali-Vitu	2	SNegVO	-4.900	149.117	Oceanic	Austronesian	Word Order
khm	Khmer	2	SNegVO	12.500	105.000	Khmer	Austro-Asiatic	Word Order
mnd	Mandarin	2	SNegVO	34.000	110.000	Chinese	Sino-Tibetan	Word Order
yin	Yindjibarndi	2	SNegVO	-21.750	117.917	Pama-Nyungan	Australian	Word Order
slo	Slovene	2	SNegVO	46.000	15.000	Slavic	Indo-European	Word Order
bar	Bari	2	SNegVO	5.000	31.667	Nilotic	Nilo-Saharan	Word Order
ttn	Tetun	2	SNegVO	-9.000	126.000	Central Malayo-Polynesian	Austronesian	Word Order
bni	Bini	2	SNegVO	6.417	5.833	Edoid	Niger-Congo	Word Order
wol	Woleaian	2	SNegVO	7.333	143.833	Oceanic	Austronesian	Word Order
kch	Koyra Chiini	2	SNegVO	17.000	-3.000	Songhay	Nilo-Saharan	Word Order
fut	Futuna-Aniwa	2	SNegVO	-19.533	170.217	Oceanic	Austronesian	Word Order
cnt	Cantonese	2	SNegVO	23.000	113.000	Chinese	Sino-Tibetan	Word Order
yng	Yingkarta	2	SNegVO	-25.167	114.833	Pama-Nyungan	Australian	Word Order
nal	Nalik	2	SNegVO	-2.950	151.333	Oceanic	Austronesian	Word Order
arj	Arabic (Kuwaiti)	2	SNegVO	29.500	47.500	Semitic	Afro-Asiatic	Word Order
wal	Walman	2	SNegVO	-3.217	142.500	Wapei-Palei	Torricelli	Word Order
yor	Yoruba	2	SNegVO	8.000	4.333	Defoid	Niger-Congo	Word Order
pal	Palauan	2	SNegVO	7.500	134.583	Palauan	Austronesian	Word Order
mon	Mon	2	SNegVO	14.833	100.500	Monic	Austro-Asiatic	Word Order
sre	Sre	2	SNegVO	11.500	108.000	Bahnaric	Austro-Asiatic	Word Order
fin	Finnish	2	SNegVO	62.000	25.000	Finnic	Uralic	Word Order
khs	Khasi	2	SNegVO	25.500	92.000	Khasian	Austro-Asiatic	Word Order
ind	Indonesian	2	SNegVO	0.000	106.000	Malayic	Austronesian	Word Order
plg	Palaung	2	SNegVO	22.667	96.667	Palaung-Khmuic	Austro-Asiatic	Word Order
dgb	Dagbani	2	SNegVO	9.583	-0.500	Gur	Niger-Congo	Word Order
iaa	Iaai	2	SNegVO	-20.417	166.583	Oceanic	Austronesian	Word Order
lao	Lao	2	SNegVO	18.000	103.000	Kam-Tai	Tai-Kadai	Word Order
kan	Kana	2	SNegVO	4.750	7.417	Cross River	Niger-Congo	Word Order
eng	English	2	SNegVO	52.000	0.000	Germanic	Indo-European	Word Order
shl	Shilluk	2	SNegVO	9.667	31.750	Nilotic	Nilo-Saharan	Word Order
mro	Moro	2	SNegVO	11.000	30.167	Heiban	Niger-Congo	Word Order
mok	Mokilese	2	SNegVO	6.667	159.750	Oceanic	Austronesian	Word Order
cmy	Chontal Maya	2	SNegVO	18.167	-92.583	Mayan	Mayan	Word Order
vie	Vietnamese	2	SNegVO	10.500	106.500	Viet-Muong	Austro-Asiatic	Word Order
bai	Bai	2	SNegVO	26.000	100.000	Bai	Sino-Tibetan	Word Order
xbi	Kombio	2	SNegVO	-3.500	142.750	Kombio-Arapesh	Torricelli	Word Order
nhm	Nahuatl (Michoacán)	2	SNegVO	18.500	-103.000	Aztecan	Uto-Aztecan	Word Order
mrt	Martuthunira	2	SNegVO	-20.833	116.500	Pama-Nyungan	Australian	Word Order
mhu	Mbalanhu	2	SNegVO	-17.500	15.000	Bantoid	Niger-Congo	Word Order
