Dryer, Matthew S.. 2011. SNegVO Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144I.
Available online at http://wals.info/feature/144I
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bvi	Bali-Vitu	1	Word&NoDoubleNeg	-4.900	149.117	Oceanic	Austronesian	Word Order
iaa	Iaai	1	Word&NoDoubleNeg	-20.417	166.583	Oceanic	Austronesian	Word Order
bar	Bari	1	Word&NoDoubleNeg	5.000	31.667	Nilotic	Nilo-Saharan	Word Order
ksn	Kasong	1	Word&NoDoubleNeg	12.750	102.117	Pearic	Austro-Asiatic	Word Order
huc	=|Hoan	1	Word&NoDoubleNeg	-25.500	25.000	=|Hoan	Khoisan	Word Order
apu	Apurinã	1	Word&NoDoubleNeg	-9.000	-67.000	Arawakan	Arawakan	Word Order
shl	Shilluk	1	Word&NoDoubleNeg	9.667	31.750	Nilotic	Nilo-Saharan	Word Order
tee	Tepehua (Huehuetla)	1	Word&NoDoubleNeg	20.500	-98.000	Totonacan	Totonacan	Word Order
arm	Armenian (Eastern)	1	Word&NoDoubleNeg	40.000	45.000	Armenian	Indo-European	Word Order
tzu	Tzutujil	1	Word&NoDoubleNeg	14.667	-91.333	Mayan	Mayan	Word Order
plg	Palaung	1	Word&NoDoubleNeg	22.667	96.667	Palaung-Khmuic	Austro-Asiatic	Word Order
arj	Arabic (Kuwaiti)	1	Word&NoDoubleNeg	29.500	47.500	Semitic	Afro-Asiatic	Word Order
mos	Mosetén	1	Word&NoDoubleNeg	-14.750	-67.833	Mosetenan	Mosetenan	Word Order
mna	Muna	1	Word&NoDoubleNeg	-5.000	122.500	Sulawesi	Austronesian	Word Order
rom	Romanian	1	Word&NoDoubleNeg	46.000	25.000	Romance	Indo-European	Word Order
sob	Sobei	1	Word&NoDoubleNeg	-1.917	138.750	Oceanic	Austronesian	Word Order
ukr	Ukrainian	1	Word&NoDoubleNeg	49.000	33.000	Slavic	Indo-European	Word Order
sun	Sundanese	1	Word&NoDoubleNeg	-7.000	107.000	Sundanese	Austronesian	Word Order
ngu	Nguna	1	Word&NoDoubleNeg	-16.917	168.500	Oceanic	Austronesian	Word Order
nal	Nalik	1	Word&NoDoubleNeg	-2.950	151.333	Oceanic	Austronesian	Word Order
rus	Russian	1	Word&NoDoubleNeg	56.000	38.000	Slavic	Indo-European	Word Order
bnn	Banoni	1	Word&NoDoubleNeg	-6.417	155.250	Oceanic	Austronesian	Word Order
mok	Mokilese	1	Word&NoDoubleNeg	6.667	159.750	Oceanic	Austronesian	Word Order
yng	Yingkarta	1	Word&NoDoubleNeg	-25.167	114.833	Pama-Nyungan	Australian	Word Order
cmy	Chontal Maya	1	Word&NoDoubleNeg	18.167	-92.583	Mayan	Mayan	Word Order
sed	Sedang	1	Word&NoDoubleNeg	14.833	108.000	Bahnaric	Austro-Asiatic	Word Order
hun	Hungarian	1	Word&NoDoubleNeg	47.000	20.000	Ugric	Uralic	Word Order
ind	Indonesian	1	Word&NoDoubleNeg	0.000	106.000	Malayic	Austronesian	Word Order
ebi	Ebira	1	Word&NoDoubleNeg	8.167	7.000	Nupoid	Niger-Congo	Word Order
hak	Hakka	1	Word&NoDoubleNeg	25.000	116.000	Chinese	Sino-Tibetan	Word Order
slo	Slovene	1	Word&NoDoubleNeg	46.000	15.000	Slavic	Indo-European	Word Order
kfe	Koromfe	1	Word&NoDoubleNeg	14.250	-0.917	Gur	Niger-Congo	Word Order
heb	Hebrew (Modern)	1	Word&NoDoubleNeg	31.500	34.833	Semitic	Afro-Asiatic	Word Order
mut	Mutsun	1	Word&NoDoubleNeg	36.833	-121.500	Costanoan	Penutian	Word Order
brf	Berber (Rif)	1	Word&NoDoubleNeg	34.500	-4.000	Berber	Afro-Asiatic	Word Order
xbi	Kombio	1	Word&NoDoubleNeg	-3.500	142.750	Kombio-Arapesh	Torricelli	Word Order
ssa	Sisaala	1	Word&NoDoubleNeg	10.833	-2.667	Gur	Niger-Congo	Word Order
alb	Albanian	1	Word&NoDoubleNeg	41.000	20.000	Albanian	Indo-European	Word Order
sap	Sapuan	1	Word&NoDoubleNeg	15.167	106.833	Bahnaric	Austro-Asiatic	Word Order
tmm	Tamabo	1	Word&NoDoubleNeg	-15.667	167.167	Oceanic	Austronesian	Word Order
