Dryer, Matthew S.. 2011. SVNegO Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144J.
Available online at http://wals.info/feature/144J
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bii	Biri	1	Word&NoDoubleNeg	-20.500	146.500	Pama-Nyungan	Australian	Word Order
sah	Sahu	1	Word&NoDoubleNeg	1.167	127.500	North Halmaheran	West Papuan	Word Order
mbt	Mangbetu	1	Word&NoDoubleNeg	2.500	26.500	Mangbetu	Nilo-Saharan	Word Order
dsh	Danish	1	Word&NoDoubleNeg	56.000	10.000	Germanic	Indo-European	Word Order
ngo	Ngoni	1	Word&NoDoubleNeg	-11.000	36.000	Bantoid	Niger-Congo	Word Order
nti	Ngiti	1	Word&NoDoubleNeg	1.333	30.250	Lendu	Nilo-Saharan	Word Order
nse	Nsenga	1	Word&NoDoubleNeg	-14.500	30.833	Bantoid	Niger-Congo	Word Order
nor	Norwegian	1	Word&NoDoubleNeg	61.000	8.000	Germanic	Indo-European	Word Order
agh	Aghem	1	Word&NoDoubleNeg	6.667	10.000	Bantoid	Niger-Congo	Word Order
mtb	Matuumbi	1	Word&NoDoubleNeg	-8.500	39.000	Bantoid	Niger-Congo	Word Order
ice	Icelandic	1	Word&NoDoubleNeg	65.000	-17.000	Germanic	Indo-European	Word Order
swe	Swedish	1	Word&NoDoubleNeg	60.000	15.000	Germanic	Indo-European	Word Order
anu	Anufo	1	Word&NoDoubleNeg	10.083	0.250	Kwa	Niger-Congo	Word Order
tru	Trumai	1	Word&NoDoubleNeg	-11.917	-53.583	Trumai	Trumai	Word Order
yul	Yulu	1	Word&NoDoubleNeg	8.500	25.250	Bongo-Bagirmi	Nilo-Saharan	Word Order
fni	Fula (Nigerian)	2	Suffix&NoDoubleNeg	8.167	10.500	Northern Atlantic	Niger-Congo	Word Order
adi	Adioukrou	2	Suffix&NoDoubleNeg	5.417	-4.583	Kwa	Niger-Congo	Word Order
kwz	Kwazá	2	Suffix&NoDoubleNeg	-12.583	-60.667	Kwaza	Kwaza	Word Order
wlf	Wolof	2	Suffix&NoDoubleNeg	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
ton	Tonkawa	2	Suffix&NoDoubleNeg	30.250	-96.750	Tonkawa	Tonkawa	Word Order
pau	Paumarí	2	Suffix&NoDoubleNeg	-6.000	-64.000	Arauan	Arauan	Word Order
noo	Noon	2	Suffix&NoDoubleNeg	14.833	-16.833	Northern Atlantic	Niger-Congo	Word Order
fua	Fula (Cameroonian)	2	Suffix&NoDoubleNeg	9.167	13.500	Northern Atlantic	Niger-Congo	Word Order
ndt	Ndut	2	Suffix&NoDoubleNeg	14.917	-16.917	Northern Atlantic	Niger-Congo	Word Order
dio	Diola-Fogny	2	Suffix&NoDoubleNeg	13.000	-16.250	Northern Atlantic	Niger-Congo	Word Order
ga	Gã	2	Suffix&NoDoubleNeg	5.667	-0.167	Kwa	Niger-Congo	Word Order
tne	Temne	2	Suffix&NoDoubleNeg	8.667	-13.083	Southern Atlantic	Niger-Congo	Word Order
koe	Koegu	2	Suffix&NoDoubleNeg	7.000	36.083	Surmic	Nilo-Saharan	Word Order
tan	Tangale	2	Suffix&NoDoubleNeg	9.750	11.333	West Chadic	Afro-Asiatic	Word Order
kas	Kashmiri	2	Suffix&NoDoubleNeg	34.000	76.000	Indic	Indo-European	Word Order
mlg	Malgwa	2	Suffix&NoDoubleNeg	11.500	13.750	Biu-Mandara	Afro-Asiatic	Word Order
map	Mapudungun	2	Suffix&NoDoubleNeg	-38.000	-72.000	Araucanian	Araucanian	Word Order
brn	Burunge	2	Suffix&NoDoubleNeg	-5.333	36.000	Southern Cushitic	Afro-Asiatic	Word Order
mga	Mondunga	2	Suffix&NoDoubleNeg	2.250	21.500	Ubangi	Niger-Congo	Word Order
wch	Wichí	2	Suffix&NoDoubleNeg	-22.500	-62.583	Matacoan	Matacoan	Word Order
lew	Lewo	3	Word&OptDoubleNeg	-16.750	168.333	Oceanic	Austronesian	Word Order
fre	French	3	Word&OptDoubleNeg	48.000	2.000	Romance	Indo-European	Word Order
dma	Duma	3	Word&OptDoubleNeg	-0.950	13.000	Bantoid	Niger-Congo	Word Order
mxe	Ifira-Mele	3	Word&OptDoubleNeg	-17.750	168.250	Oceanic	Austronesian	Word Order
mbe	Mbere	3	Word&OptDoubleNeg	-0.500	14.000	Bantoid	Niger-Congo	Word Order
nke	Nkem	4	Suffix&OptDoubleNeg	6.583	8.583	Bantoid	Niger-Congo	Word Order
ina	Inanwatan	4	Suffix&OptDoubleNeg	-2.083	132.083	South Bird's Head	Marind	Word Order
ewo	Ewondo	5	Word&OnlyWithAnotherNeg	4.000	12.000	Bantoid	Niger-Congo	Word Order
bre	Breton	5	Word&OnlyWithAnotherNeg	48.000	-3.000	Celtic	Indo-European	Word Order
gua	Guaraní	5	Word&OnlyWithAnotherNeg	-26.000	-56.000	Tupi-Guaraní	Tupian	Word Order
miy	Miya	5	Word&OnlyWithAnotherNeg	10.917	9.667	West Chadic	Afro-Asiatic	Word Order
ktl	Katla	5	Word&OnlyWithAnotherNeg	11.833	29.333	Katla-Tima	Niger-Congo	Word Order
teo	Teop	5	Word&OnlyWithAnotherNeg	-5.667	155.000	Oceanic	Austronesian	Word Order
lmu	Lamen	5	Word&OnlyWithAnotherNeg	-16.583	168.167	Oceanic	Austronesian	Word Order
aml	Ambae (Lolovoli Northeast)	5	Word&OnlyWithAnotherNeg	-15.417	167.883	Oceanic	Austronesian	Word Order
cop	Coptic	5	Word&OnlyWithAnotherNeg	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Word Order
hal	Halia	5	Word&OnlyWithAnotherNeg	-5.250	154.667	Oceanic	Austronesian	Word Order
len	Lenakel	5	Word&OnlyWithAnotherNeg	-19.450	169.250	Oceanic	Austronesian	Word Order
rot	Rotuman	5	Word&OnlyWithAnotherNeg	-12.500	177.067	Oceanic	Austronesian	Word Order
zan	Zande	5	Word&OnlyWithAnotherNeg	4.000	26.000	Ubangi	Niger-Congo	Word Order
ble	Baule	5	Word&OnlyWithAnotherNeg	7.000	-5.000	Kwa	Niger-Congo	Word Order
ctl	Catalan	5	Word&OnlyWithAnotherNeg	41.750	2.000	Romance	Indo-European	Word Order
skm	Sukuma	6	Suffix&OnlyWithAnotherNeg	-2.833	32.000	Bantoid	Niger-Congo	Word Order
zul	Zulu	6	Suffix&OnlyWithAnotherNeg	-30.000	30.000	Bantoid	Niger-Congo	Word Order
mkz	Makaa	6	Suffix&OnlyWithAnotherNeg	3.417	12.250	Bantoid	Niger-Congo	Word Order
izi	Izi	6	Suffix&OnlyWithAnotherNeg	6.333	8.000	Igboid	Niger-Congo	Word Order
yuk	Yukulta	6	Suffix&OnlyWithAnotherNeg	-17.333	138.833	Tangkic	Australian	Word Order
vnm	Vinmavis	6	Suffix&OnlyWithAnotherNeg	-16.167	167.417	Oceanic	Austronesian	Word Order
zch	Zoque (Chimalapa)	6	Suffix&OnlyWithAnotherNeg	16.750	-94.750	Mixe-Zoque	Mixe-Zoque	Word Order
zpr	Zaparo	6	Suffix&OnlyWithAnotherNeg	-2.000	-76.333	Zaparoan	Zaparoan	Word Order
eko	Ekoti	6	Suffix&OnlyWithAnotherNeg	-16.500	39.500	Bantoid	Niger-Congo	Word Order
aeg	Arabic (Egyptian)	6	Suffix&OnlyWithAnotherNeg	30.000	31.000	Semitic	Afro-Asiatic	Word Order
stn	Sotho (Northern)	6	Suffix&OnlyWithAnotherNeg	-24.000	29.000	Bantoid	Niger-Congo	Word Order
wrk	Warekena	6	Suffix&OnlyWithAnotherNeg	1.500	-67.500	Arawakan	Arawakan	Word Order
wrn	Warndarang	6	Suffix&OnlyWithAnotherNeg	-14.417	135.583	Maran	Australian	Word Order
mwo	Mwotlap	6	Suffix&OnlyWithAnotherNeg	-13.583	167.583	Oceanic	Austronesian	Word Order
gnb	Gunbalang	6	Suffix&OnlyWithAnotherNeg	-12.000	134.000	Gunwinygic	Australian	Word Order
doy	Doyayo	6	Suffix&OnlyWithAnotherNeg	8.667	13.083	Adamawa	Niger-Congo	Word Order
ndb	Ndebele (in South Africa)	6	Suffix&OnlyWithAnotherNeg	-25.333	29.000	Bantoid	Niger-Congo	Word Order
shm	Shambala	7	No SVNegO	-4.250	38.250	Bantoid	Niger-Congo	Word Order
tmn	Temein	7	No SVNegO	11.917	29.417	Temein	Nilo-Saharan	Word Order
lao	Lao	7	No SVNegO	18.000	103.000	Kam-Tai	Tai-Kadai	Word Order
llm	Lelemi	7	No SVNegO	7.333	0.500	Kwa	Niger-Congo	Word Order
mmb	Mangap-Mbula	7	No SVNegO	-5.667	148.083	Oceanic	Austronesian	Word Order
bir	Birom	7	No SVNegO	9.667	8.833	Platoid	Niger-Congo	Word Order
lon	Loniu	7	No SVNegO	-2.067	147.333	Oceanic	Austronesian	Word Order
taf	Taiof	7	No SVNegO	-5.533	154.633	Oceanic	Austronesian	Word Order
bai	Bai	7	No SVNegO	26.000	100.000	Bai	Sino-Tibetan	Word Order
lug	Lugbara	7	No SVNegO	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Word Order
klv	Kilivila	7	No SVNegO	-8.500	151.083	Oceanic	Austronesian	Word Order
sud	Sudest	7	No SVNegO	-11.500	153.450	Oceanic	Austronesian	Word Order
pat	Patep	7	No SVNegO	-6.917	146.583	Oceanic	Austronesian	Word Order
xbi	Kombio	7	No SVNegO	-3.500	142.750	Kombio-Arapesh	Torricelli	Word Order
ewe	Ewe	7	No SVNegO	6.333	0.417	Kwa	Niger-Congo	Word Order
obg	Ogbronuagum	7	No SVNegO	4.750	6.867	Cross River	Niger-Congo	Word Order
ssa	Sisaala	7	No SVNegO	10.833	-2.667	Gur	Niger-Congo	Word Order
gul	Gula (in Central African Republic)	7	No SVNegO	9.500	22.500	Bongo-Bagirmi	Nilo-Saharan	Word Order
acm	Achumawi	7	No SVNegO	41.500	-121.000	Palaihnihan	Hokan	Word Order
tob	Toba	7	No SVNegO	-26.500	-59.000	Guaicuruan	Guaicuruan	Word Order
ndy	Ndyuka	7	No SVNegO	4.500	-54.500	Creoles and Pidgins	other	Word Order
jab	Jabêm	7	No SVNegO	-6.583	147.783	Oceanic	Austronesian	Word Order
mro	Moro	7	No SVNegO	11.000	30.167	Heiban	Niger-Congo	Word Order
lic	Hlai (Baoding)	7	No SVNegO	19.000	109.500	Hlai	Tai-Kadai	Word Order
ma	Ma	7	No SVNegO	3.500	28.000	Ubangi	Niger-Congo	Word Order
mcd	Macedonian	7	No SVNegO	41.667	21.750	Slavic	Indo-European	Word Order
ksg	Karen (Sgaw)	7	No SVNegO	18.000	97.000	Karen	Sino-Tibetan	Word Order
ngm	Ngambay	7	No SVNegO	8.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
jar	Jarawa (in Nigeria)	7	No SVNegO	9.500	10.500	Bantoid	Niger-Congo	Word Order
msk	Masakin	7	No SVNegO	10.667	30.000	Talodi Proper	Niger-Congo	Word Order
zqs	Zoque (Soteapan)	7	No SVNegO	18.333	-95.167	Mixe-Zoque	Mixe-Zoque	Word Order
ngd	Ngad'a	7	No SVNegO	-8.833	121.000	Central Malayo-Polynesian	Austronesian	Word Order
blz	Balanta	7	No SVNegO	12.250	-15.333	Northern Atlantic	Niger-Congo	Word Order
asy	Arabic (Syrian)	7	No SVNegO	34.000	38.000	Semitic	Afro-Asiatic	Word Order
nza	Nzakara	7	No SVNegO	5.000	23.000	Ubangi	Niger-Congo	Word Order
lac	Lacandón	7	No SVNegO	17.000	-91.500	Mayan	Mayan	Word Order
toz	Tonga (in Zambia)	7	No SVNegO	-17.000	27.000	Bantoid	Niger-Congo	Word Order
hat	Hatam	7	No SVNegO	-1.000	134.000	Hatam	West Papuan	Word Order
sir	Siar	7	No SVNegO	-4.667	152.917	Oceanic	Austronesian	Word Order
por	Portuguese	7	No SVNegO	39.000	-8.000	Romance	Indo-European	Word Order
cga	Chaga	7	No SVNegO	-3.000	37.000	Bantoid	Niger-Congo	Word Order
kom	Komo	7	No SVNegO	8.750	33.750	Koman	Nilo-Saharan	Word Order
dgo	Dongo	7	No SVNegO	3.000	30.000	Ubangi	Niger-Congo	Word Order
nhm	Nahuatl (Michoacán)	7	No SVNegO	18.500	-103.000	Aztecan	Uto-Aztecan	Word Order
bsh	Bushoong	7	No SVNegO	-4.500	21.500	Bantoid	Niger-Congo	Word Order
tes	Teso	7	No SVNegO	1.833	33.833	Nilotic	Nilo-Saharan	Word Order
one	One	7	No SVNegO	-3.250	141.917	West Wapei	Torricelli	Word Order
gwo	Gworok	7	No SVNegO	9.917	8.167	Platoid	Niger-Congo	Word Order
mkd	Makonde	7	No SVNegO	-11.000	40.000	Bantoid	Niger-Congo	Word Order
ngz	Ngizim	7	No SVNegO	12.083	10.917	West Chadic	Afro-Asiatic	Word Order
ndu	Ndumu	7	No SVNegO	-1.667	13.583	Bantoid	Niger-Congo	Word Order
lou	Lou	7	No SVNegO	-2.383	147.317	Oceanic	Austronesian	Word Order
bud	Buduma	7	No SVNegO	13.500	14.500	Biu-Mandara	Afro-Asiatic	Word Order
mrt	Martuthunira	7	No SVNegO	-20.833	116.500	Pama-Nyungan	Australian	Word Order
