Dryer, Matthew S.. 2011. SVONeg Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144K.
Available online at http://wals.info/feature/144K
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
may	Maybrat	1	NoDoubleNeg	-1.333	132.500	North-Central Bird's Head	West Papuan	Word Order
goe	Goemai	1	NoDoubleNeg	8.667	9.750	West Chadic	Afro-Asiatic	Word Order
sio	Sio	1	NoDoubleNeg	-5.950	147.333	Oceanic	Austronesian	Word Order
bgr	Bagiro	1	NoDoubleNeg	4.333	20.583	Bongo-Bagirmi	Nilo-Saharan	Word Order
sht	Shatt	1	NoDoubleNeg	10.833	30.000	Daju	Nilo-Saharan	Word Order
aln	Alune	1	NoDoubleNeg	-3.000	128.333	Central Malayo-Polynesian	Austronesian	Word Order
gla	Gelao	1	NoDoubleNeg	22.917	105.500	Kadai	Tai-Kadai	Word Order
alk	Arop-Lokep	1	NoDoubleNeg	-5.383	147.050	Oceanic	Austronesian	Word Order
lmh	Lamaholot	1	NoDoubleNeg	-8.250	122.917	Central Malayo-Polynesian	Austronesian	Word Order
lel	Lele	1	NoDoubleNeg	9.083	15.583	East Chadic	Afro-Asiatic	Word Order
mtb	Matuumbi	1	NoDoubleNeg	-8.500	39.000	Bantoid	Niger-Congo	Word Order
nua	Nuaulu	1	NoDoubleNeg	-3.250	129.167	Central Malayo-Polynesian	Austronesian	Word Order
aja	Aja	1	NoDoubleNeg	7.333	25.667	Kresh	Nilo-Saharan	Word Order
kel	Kele	1	NoDoubleNeg	-2.083	147.083	Oceanic	Austronesian	Word Order
duk	Duka	1	NoDoubleNeg	11.167	5.083	Kainji	Niger-Congo	Word Order
sgb	Sougb	1	NoDoubleNeg	-1.500	134.000	East Bird's Head	East Bird's Head	Word Order
mou	Moru	1	NoDoubleNeg	4.750	29.750	Moru-Ma'di	Nilo-Saharan	Word Order
mas	Masa	1	NoDoubleNeg	10.500	15.500	Masa	Afro-Asiatic	Word Order
ron	Ron	1	NoDoubleNeg	9.000	8.750	West Chadic	Afro-Asiatic	Word Order
mmb	Mangap-Mbula	1	NoDoubleNeg	-5.667	148.083	Oceanic	Austronesian	Word Order
ldu	Lendu	1	NoDoubleNeg	2.000	30.500	Lendu	Nilo-Saharan	Word Order
lug	Lugbara	1	NoDoubleNeg	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Word Order
gul	Gula (in Central African Republic)	1	NoDoubleNeg	9.500	22.500	Bongo-Bagirmi	Nilo-Saharan	Word Order
wma	West Makian	1	NoDoubleNeg	0.500	127.583	North Halmaheran	West Papuan	Word Order
myg	Mayogo	1	NoDoubleNeg	3.000	29.000	Ubangi	Niger-Congo	Word Order
tab	Taba	1	NoDoubleNeg	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Word Order
dut	Dutch	1	NoDoubleNeg	52.500	6.000	Germanic	Indo-European	Word Order
amq	Ambai	1	NoDoubleNeg	-1.833	136.500	South Halmahera - West New Guinea	Austronesian	Word Order
dgo	Dongo	1	NoDoubleNeg	3.000	30.000	Ubangi	Niger-Congo	Word Order
ker	Kera	1	NoDoubleNeg	9.833	15.083	East Chadic	Afro-Asiatic	Word Order
ger	German	1	NoDoubleNeg	52.000	10.000	Germanic	Indo-European	Word Order
ane	Anêm	1	NoDoubleNeg	-5.583	149.083	Anêm	Anêm	Word Order
nup	Nupe	1	NoDoubleNeg	9.167	5.417	Nupoid	Niger-Congo	Word Order
uld	Uldeme	1	NoDoubleNeg	10.950	14.117	Biu-Mandara	Afro-Asiatic	Word Order
cai	Chai	1	NoDoubleNeg	5.333	35.333	Surmic	Nilo-Saharan	Word Order
mby	Mbay	1	NoDoubleNeg	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Word Order
san	Sango	1	NoDoubleNeg	5.000	18.000	Ubangi	Niger-Congo	Word Order
mpu	Mpur	1	NoDoubleNeg	-0.750	133.250	Kebar	West Papuan	Word Order
mda	Mada (in Cameroon)	1	NoDoubleNeg	10.833	14.167	Biu-Mandara	Afro-Asiatic	Word Order
mdo	Mbodomo	1	NoDoubleNeg	4.500	15.500	Ubangi	Niger-Congo	Word Order
lin	Lingala	1	NoDoubleNeg	2.000	18.500	Bantoid	Niger-Congo	Word Order
mlu	Maleu	1	NoDoubleNeg	-5.717	148.417	Oceanic	Austronesian	Word Order
juk	Jukun	1	NoDoubleNeg	6.917	10.417	Platoid	Niger-Congo	Word Order
mbm	Mbum	1	NoDoubleNeg	7.750	13.167	Adamawa	Niger-Congo	Word Order
hna	Mina	1	NoDoubleNeg	10.333	13.833	Biu-Mandara	Afro-Asiatic	Word Order
ige	Igede	1	NoDoubleNeg	7.000	8.167	Idomoid	Niger-Congo	Word Order
jmo	Jur Mödö	1	NoDoubleNeg	6.000	30.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
gbk	Gbaya Kara	1	NoDoubleNeg	6.000	15.000	Ubangi	Niger-Congo	Word Order
