Dryer, Matthew S.. 2011. The Position of Negative Morphemes in SOV Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144L.
Available online at http://wals.info/feature/144L
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
trr	Tairora	1	NegSOV	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Word Order
mno	Mono (in United States)	1	NegSOV	38.000	-119.000	Numic	Uto-Aztecan	Word Order
inn	Innamincka	1	NegSOV	-27.750	140.750	Pama-Nyungan	Australian	Word Order
res	Resígaro	1	NegSOV	-2.417	-71.500	Arawakan	Arawakan	Word Order
pno	Paiute (Northern)	1	NegSOV	42.000	-118.000	Numic	Uto-Aztecan	Word Order
cpy	Chipaya	1	NegSOV	-18.750	-67.833	Uru-Chipaya	Uru-Chipaya	Word Order
mny	Margany	1	NegSOV	-27.000	144.500	Pama-Nyungan	Australian	Word Order
djp	Djapu	1	NegSOV	-12.667	136.000	Pama-Nyungan	Australian	Word Order
yuw	Yuwaalaraay	1	NegSOV	-29.500	148.000	Pama-Nyungan	Australian	Word Order
wlw	Warluwara	1	NegSOV	-22.000	138.500	Pama-Nyungan	Australian	Word Order
mkg	Mandinka (Gambian)	2	SNegOV	13.417	-16.000	Western Mande	Niger-Congo	Word Order
slb	Saliba (in Papua New Guinea)	2	SNegOV	-10.583	150.717	Oceanic	Austronesian	Word Order
man	Mano	2	SNegOV	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
maw	Maninka (Western)	2	SNegOV	13.000	-11.000	Western Mande	Niger-Congo	Word Order
tnn	Tunen	2	SNegOV	4.750	10.667	Bantoid	Niger-Congo	Word Order
vai	Vai	2	SNegOV	6.917	-11.250	Western Mande	Niger-Congo	Word Order
snn	Soninke	2	SNegOV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
yaq	Yaqui	2	SNegOV	27.500	-110.250	Cahita	Uto-Aztecan	Word Order
kse	Koyraboro Senni	2	SNegOV	16.000	0.000	Songhay	Nilo-Saharan	Word Order
bam	Bambara	2	SNegOV	12.500	-7.500	Western Mande	Niger-Congo	Word Order
brp	Barupu	2	SNegOV	-3.083	142.083	Warapu	Skou	Word Order
nar	Nara (in Ethiopia)	3	SONegV	15.083	37.583	Nara	Nilo-Saharan	Word Order
mnm	Manam	3	SONegV	-4.000	145.000	Oceanic	Austronesian	Word Order
udh	Udihe	3	SONegV	47.667	136.250	Tungusic	Altaic	Word Order
ain	Ainu	3	SONegV	43.000	143.000	Ainu	Ainu	Word Order
awa	Awa	3	SONegV	-6.667	145.750	Eastern Highlands	Trans-New Guinea	Word Order
tak	Takia	3	SONegV	-4.667	146.000	Oceanic	Austronesian	Word Order
ttu	Tsova-Tush	3	SONegV	42.500	45.500	Nakh	Nakh-Daghestanian	Word Order
mgg	Mangghuer	3	SONegV	36.000	102.000	Mongolic	Altaic	Word Order
urd	Urdu	3	SONegV	25.000	67.000	Indic	Indo-European	Word Order
raw	Rawang	3	SONegV	27.500	97.500	Nungish	Sino-Tibetan	Word Order
ket	Ket	3	SONegV	64.000	87.000	Yeniseian	Yeniseian	Word Order
bsq	Basque	3	SONegV	43.000	-3.000	Basque	Basque	Word Order
hop	Hopi	3	SONegV	36.000	-110.000	Hopi	Uto-Aztecan	Word Order
idn	Iduna	3	SONegV	-9.333	150.250	Oceanic	Austronesian	Word Order
mpa	Murrinh-Patha	3	SONegV	-14.667	129.667	Murrinh-Patha	Australian	Word Order
