Dryer, Matthew S.. 2011. Multiple Negative Constructions in SOV Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144M.
Available online at http://wals.info/feature/144M
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
eip	Eipo	1	SONegV/SOVNeg	-4.333	140.083	Mek	Trans-New Guinea	Word Order
aym	Aymara	2	SNegOV/SONegV	-17.000	-69.000	Aymaran	Aymaran	Word Order
kae	Kaki Ae	2	SNegOV/SONegV	-8.000	145.833	Tate	Eleman	Word Order
nav	Navajo	3	NegSOV/SNegOV/SONegV	36.167	-108.000	Athapaskan	Na-Dene	Word Order
qim	Quechua (Imbabura)	3	NegSOV/SNegOV/SONegV	0.333	-78.000	Quechuan	Quechuan	Word Order
pba	Pima Bajo	3	NegSOV/SNegOV/SONegV	29.000	-111.000	Tepiman	Uto-Aztecan	Word Order
cmn	Comanche	3	NegSOV/SNegOV/SONegV	33.500	-101.500	Numic	Uto-Aztecan	Word Order
cup	Cupeño	4	NegSOV/2ndPos	33.167	-116.500	Takic	Uto-Aztecan	Word Order
krc	Karachay-Balkar	5	SOVNeg/SO[V-Neg]	43.500	42.000	Turkic	Altaic	Word Order
kyr	Karkar-Yuri	5	SOVNeg/SO[V-Neg]	-3.750	141.083	Karkar-Yuri	Karkar-Yuri	Word Order
mkh	Mongol (Khamnigan)	5	SOVNeg/SO[V-Neg]	49.000	117.000	Mongolic	Altaic	Word Order
ijo	Ijo (Kolokuma)	5	SOVNeg/SO[V-Neg]	4.917	5.667	Ijoid	Niger-Congo	Word Order
nas	Nasioi	5	SOVNeg/SO[V-Neg]	-6.333	155.583	East Bougainville	East Bougainville	Word Order
lav	Lavukaleve	5	SOVNeg/SO[V-Neg]	-9.083	159.200	Lavukaleve	Solomons East Papuan	Word Order
kol	Kolami	5	SOVNeg/SO[V-Neg]	20.000	78.500	Central Dravidian	Dravidian	Word Order
paw	Pawaian	5	SOVNeg/SO[V-Neg]	-7.000	145.083	Pawaian	Teberan-Pawaian	Word Order
pum	Pumi	6	SO[Neg-V]/SO[V-Neg]	28.000	101.000	Qiangic	Sino-Tibetan	Word Order
lad	Ladakhi	6	SO[Neg-V]/SO[V-Neg]	34.000	78.000	Bodic	Sino-Tibetan	Word Order
abk	Abkhaz	6	SO[Neg-V]/SO[V-Neg]	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Word Order
uby	Ubykh	6	SO[Neg-V]/SO[V-Neg]	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Word Order
kll	Kaluli	6	SO[Neg-V]/SO[V-Neg]	-6.500	142.750	Bosavi	Bosavi	Word Order
