Dryer, Matthew S.. 2011. NegSOV Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144P.
Available online at http://wals.info/feature/144P
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
yuw	Yuwaalaraay	1	NoDoubleNeg	-29.500	148.000	Pama-Nyungan	Australian	Word Order
inn	Innamincka	1	NoDoubleNeg	-27.750	140.750	Pama-Nyungan	Australian	Word Order
pno	Paiute (Northern)	1	NoDoubleNeg	42.000	-118.000	Numic	Uto-Aztecan	Word Order
djp	Djapu	1	NoDoubleNeg	-12.667	136.000	Pama-Nyungan	Australian	Word Order
res	Resígaro	1	NoDoubleNeg	-2.417	-71.500	Arawakan	Arawakan	Word Order
trr	Tairora	1	NoDoubleNeg	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Word Order
wlw	Warluwara	1	NoDoubleNeg	-22.000	138.500	Pama-Nyungan	Australian	Word Order
qim	Quechua (Imbabura)	1	NoDoubleNeg	0.333	-78.000	Quechuan	Quechuan	Word Order
cpy	Chipaya	1	NoDoubleNeg	-18.750	-67.833	Uru-Chipaya	Uru-Chipaya	Word Order
mny	Margany	1	NoDoubleNeg	-27.000	144.500	Pama-Nyungan	Australian	Word Order
cmn	Comanche	1	NoDoubleNeg	33.500	-101.500	Numic	Uto-Aztecan	Word Order
nav	Navajo	1	NoDoubleNeg	36.167	-108.000	Athapaskan	Na-Dene	Word Order
pba	Pima Bajo	1	NoDoubleNeg	29.000	-111.000	Tepiman	Uto-Aztecan	Word Order
cup	Cupeño	1	NoDoubleNeg	33.167	-116.500	Takic	Uto-Aztecan	Word Order
wic	Wichita	1	NoDoubleNeg	33.333	-97.333	Caddoan	Caddoan	Word Order
nti	Ngiti	1	NoDoubleNeg	1.333	30.250	Lendu	Nilo-Saharan	Word Order
mno	Mono (in United States)	1	NoDoubleNeg	38.000	-119.000	Numic	Uto-Aztecan	Word Order
nue	Nuer	1	NoDoubleNeg	8.333	32.000	Nilotic	Nilo-Saharan	Word Order
mku	Maranungku	2	OptDoubleNeg	-13.667	130.000	Western Daly	Australian	Word Order
kio	Kiowa	3	OnlyWithAnotherNeg	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
zun	Zuni	3	OnlyWithAnotherNeg	35.083	-108.833	Zuni	Zuni	Word Order
klw	Kiliwa	3	OnlyWithAnotherNeg	31.333	-115.667	Yuman	Hokan	Word Order
tja	Tiipay (Jamul)	3	OnlyWithAnotherNeg	32.167	-116.500	Yuman	Hokan	Word Order
cui	Cuiba	3	OnlyWithAnotherNeg	6.500	-70.000	Guahiban	Guahiban	Word Order
hai	Haida	3	OnlyWithAnotherNeg	53.000	-132.000	Haida	Haida	Word Order
baf	Bafut	3	OnlyWithAnotherNeg	6.250	9.917	Bantoid	Niger-Congo	Word Order
hlp	Hualapai	3	OnlyWithAnotherNeg	35.500	-113.750	Yuman	Hokan	Word Order
