Dryer, Matthew S.. 2011. SONegV Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144R.
Available online at http://wals.info/feature/144R
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kty	Khanty	1	Word&NoDoubleNeg	65.000	65.000	Ugric	Uralic	Word Order
oks	Oksapmin	1	Word&NoDoubleNeg	-5.167	142.167	Oksapmin	Oksapmin	Word Order
ain	Ainu	1	Word&NoDoubleNeg	43.000	143.000	Ainu	Ainu	Word Order
mru	Maru	1	Word&NoDoubleNeg	23.500	98.500	Burmese-Lolo	Sino-Tibetan	Word Order
dji	Djingili	1	Word&NoDoubleNeg	-17.750	134.000	West Barkly	Australian	Word Order
bsq	Basque	1	Word&NoDoubleNeg	43.000	-3.000	Basque	Basque	Word Order
stl	Santali	1	Word&NoDoubleNeg	24.500	87.000	Munda	Austro-Asiatic	Word Order
idn	Iduna	1	Word&NoDoubleNeg	-9.333	150.250	Oceanic	Austronesian	Word Order
cmn	Comanche	1	Word&NoDoubleNeg	33.500	-101.500	Numic	Uto-Aztecan	Word Order
nav	Navajo	1	Word&NoDoubleNeg	36.167	-108.000	Athapaskan	Na-Dene	Word Order
cah	Cahuilla	1	Word&NoDoubleNeg	33.500	-116.250	Takic	Uto-Aztecan	Word Order
mns	Mansi	1	Word&NoDoubleNeg	62.000	62.000	Ugric	Uralic	Word Order
dag	Daga	1	Word&NoDoubleNeg	-10.000	149.333	Dagan	Dagan	Word Order
sna	Shina	1	Word&NoDoubleNeg	36.000	74.000	Indic	Indo-European	Word Order
nar	Nara (in Ethiopia)	1	Word&NoDoubleNeg	15.083	37.583	Nara	Nilo-Saharan	Word Order
hin	Hindi	1	Word&NoDoubleNeg	25.000	77.000	Indic	Indo-European	Word Order
tak	Takia	1	Word&NoDoubleNeg	-4.667	146.000	Oceanic	Austronesian	Word Order
