Dryer, Matthew S.. 2011. SOVNeg Order.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144S.
Available online at http://wals.info/feature/144S
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
eka	Ekari	1	Word&NoDoubleNeg	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Word Order
kmz	Kamasau	1	Word&NoDoubleNeg	-3.917	143.667	Marienberg	Torricelli	Word Order
dni	Dani (Lower Grand Valley)	1	Word&NoDoubleNeg	-4.333	138.833	Dani	Trans-New Guinea	Word Order
tsz	Tsez	1	Word&NoDoubleNeg	42.250	45.750	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
chp	Chipewyan	1	Word&NoDoubleNeg	59.000	-106.000	Athapaskan	Na-Dene	Word Order
kng	Kaingang	1	Word&NoDoubleNeg	-26.000	-52.000	Ge-Kaingang	Macro-Ge	Word Order
sro	Siroi	1	Word&NoDoubleNeg	-5.500	146.000	Madang	Trans-New Guinea	Word Order
nag	Nagatman	1	Word&NoDoubleNeg	-3.750	141.500	Yale	Yale	Word Order
mhi	Marathi	1	Word&NoDoubleNeg	19.000	76.000	Indic	Indo-European	Word Order
bus	Busa	1	Word&NoDoubleNeg	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
tmo	Tibetan (Modern Literary)	1	Word&NoDoubleNeg	29.833	91.500	Bodic	Sino-Tibetan	Word Order
ajg	Ajagbe	1	Word&NoDoubleNeg	7.000	1.750	Kwa	Niger-Congo	Word Order
mdw	Mbosi	1	Word&NoDoubleNeg	-1.250	15.500	Bantoid	Niger-Congo	Word Order
lai	Lai	1	Word&NoDoubleNeg	22.667	93.667	Kuki-Chin	Sino-Tibetan	Word Order
kyp	Kayapó	1	Word&NoDoubleNeg	-9.000	-52.000	Ge-Kaingang	Macro-Ge	Word Order
wom	Womo	1	Word&NoDoubleNeg	-2.917	141.833	Serra Hills	Skou	Word Order
eip	Eipo	1	Word&NoDoubleNeg	-4.333	140.083	Mek	Trans-New Guinea	Word Order
ava	Avar	1	Word&NoDoubleNeg	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
lmn	Lamani	1	Word&NoDoubleNeg	17.000	77.000	Indic	Indo-European	Word Order
