Dryer, Matthew S.. 2011. The Position of Negative Morphemes in Verb-Initial Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144T.
Available online at http://wals.info/feature/144T
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
squ	Squamish	1	NegVSO	49.667	-123.167	Central Salish	Salishan	Word Order
haw	Hawaiian	1	NegVSO	19.583	-155.500	Oceanic	Austronesian	Word Order
tri	Trique (Copala)	1	NegVSO	17.167	-97.917	Mixtecan	Oto-Manguean	Word Order
agc	Agta (Central)	1	NegVSO	17.967	121.833	Northern Philippines	Austronesian	Word Order
shp	Sahaptin (Northern)	1	NegVSO	46.500	-120.000	Sahaptian	Penutian	Word Order
mak	Makah	1	NegVSO	48.333	-124.667	Southern Wakashan	Wakashan	Word Order
pnn	Pangasinan	1	NegVSO	15.917	120.333	Northern Philippines	Austronesian	Word Order
mxo	Mixtec (Ocotepec)	1	NegVSO	17.167	-97.750	Mixtecan	Oto-Manguean	Word Order
ik	Ik	1	NegVSO	3.750	34.167	Kuliak	Nilo-Saharan	Word Order
nif	Niuafo'ou	1	NegVSO	-15.567	-175.617	Oceanic	Austronesian	Word Order
mxj	Mixtec (Jicaltepec)	1	NegVSO	16.333	-98.000	Mixtecan	Oto-Manguean	Word Order
did	Didinga	1	NegVSO	4.500	33.500	Surmic	Nilo-Saharan	Word Order
nhh	Nahuatl (Huasteca)	1	NegVSO	22.000	-99.000	Aztecan	Uto-Aztecan	Word Order
kyq	Kyuquot	1	NegVSO	50.167	-127.167	Southern Wakashan	Wakashan	Word Order
hoa	Hoava	1	NegVSO	-8.083	157.500	Oceanic	Austronesian	Word Order
mwb	Manobo (Western Bukidnon)	1	NegVSO	7.667	124.750	Southern Philippines	Austronesian	Word Order
so	So	1	NegVSO	2.583	34.750	Kuliak	Nilo-Saharan	Word Order
bco	Bella Coola	1	NegVSO	52.500	-126.667	Bella Coola	Salishan	Word Order
mmn	Mamanwa	1	NegVSO	9.417	125.500	Meso-Philippine	Austronesian	Word Order
grf	Garífuna	1	NegVSO	15.667	-88.000	Arawakan	Arawakan	Word Order
goa	Goajiro	1	NegVSO	12.000	-72.000	Arawakan	Arawakan	Word Order
msq	Musqueam	1	NegVSO	49.167	-123.000	Central Salish	Salishan	Word Order
nsg	Nisgha	1	NegVSO	55.000	-130.000	Tsimshianic	Penutian	Word Order
qum	Sipakapense	1	NegVSO	15.250	-91.750	Mayan	Mayan	Word Order
jak	Jakaltek	1	NegVSO	15.667	-91.667	Mayan	Mayan	Word Order
cso	Chatino (Sierra Occidental)	1	NegVSO	16.250	-97.333	Zapotecan	Oto-Manguean	Word Order
hei	Heiltsuk	1	NegVSO	52.000	-127.500	Northern Wakashan	Wakashan	Word Order
chq	Chinantec (Quiotepec)	1	NegVSO	17.583	-96.667	Chinantecan	Oto-Manguean	Word Order
tah	Tahitian	1	NegVSO	-17.667	-149.583	Oceanic	Austronesian	Word Order
rov	Roviana	1	NegVSO	-8.250	157.333	Oceanic	Austronesian	Word Order
zai	Zapotec (Isthmus)	1	NegVSO	16.417	-95.000	Zapotecan	Oto-Manguean	Word Order
ams	Arabic (Modern Standard)	1	NegVSO	25.000	42.000	Semitic	Afro-Asiatic	Word Order
hlu	Halkomelem (Upriver)	1	NegVSO	49.250	-121.917	Central Salish	Salishan	Word Order
kdz	Kadazan	1	NegVSO	5.917	117.167	Northwest Malayo-Polynesian	Austronesian	Word Order
cya	Chatino (Yaitepec)	1	NegVSO	16.250	-97.250	Zapotecan	Oto-Manguean	Word Order
hil	Hiligaynon	1	NegVSO	10.250	123.000	Meso-Philippine	Austronesian	Word Order
zzo	Zapotec (Zoogocho)	1	NegVSO	17.250	-96.250	Zapotecan	Oto-Manguean	Word Order
tag	Tagalog	1	NegVSO	15.000	121.000	Meso-Philippine	Austronesian	Word Order
kls	Kalispel	1	NegVSO	48.000	-117.000	Interior Salish	Salishan	Word Order
iri	Irish	1	NegVSO	53.000	-8.000	Celtic	Indo-European	Word Order
kuo	Kuot	1	NegVSO	-3.050	151.500	Kuot	Kuot	Word Order
gae	Gaelic (Scots)	1	NegVSO	57.000	-4.000	Celtic	Indo-European	Word Order
tpn	Tepehuan (Northern)	1	NegVSO	26.333	-107.000	Tepiman	Uto-Aztecan	Word Order
tim	Timugon	1	NegVSO	5.000	116.000	Northwest Malayo-Polynesian	Austronesian	Word Order
bfg	Berber (Figuig)	1	NegVSO	32.500	-1.500	Berber	Afro-Asiatic	Word Order
tbo	Tboli	1	NegVSO	6.167	124.500	South Mindanao	Austronesian	Word Order
mam	Mam	1	NegVSO	15.000	-91.833	Mayan	Mayan	Word Order
kkt	Kokota	1	NegVSO	-8.000	159.133	Oceanic	Austronesian	Word Order
mrl	Murle	1	NegVSO	6.500	33.500	Surmic	Nilo-Saharan	Word Order
wel	Welsh	1	NegVSO	52.000	-3.000	Celtic	Indo-European	Word Order
mxp	Mixtec (Peñoles)	1	NegVSO	17.083	-96.917	Mixtecan	Oto-Manguean	Word Order
qui	Quileute	1	NegVSO	47.917	-124.250	Chimakuan	Chimakuan	Word Order
mxc	Mixtec (Chalcatongo)	1	NegVSO	17.050	-97.583	Mixtecan	Oto-Manguean	Word Order
niu	Niuean	1	NegVSO	-19.050	-170.117	Oceanic	Austronesian	Word Order
agd	Agta (Dupaningan)	1	NegVSO	18.000	122.083	Northern Philippines	Austronesian	Word Order
cha	Chamorro	1	NegVSO	13.450	144.750	Chamorro	Austronesian	Word Order
yap	Yapese	1	NegVSO	9.583	138.167	Yapese	Austronesian	Word Order
wec	Welsh (Colloquial)	2	VSNegO	52.750	-3.583	Celtic	Indo-European	Word Order
pod	Podoko	3	VSONeg	11.000	14.083	Biu-Mandara	Afro-Asiatic	Word Order
nia	Nias	4	NegVOS	1.000	97.750	Sumatra	Austronesian	Word Order
nca	Nicobarese (Car)	4	NegVOS	9.000	93.000	Nicobarese	Austro-Asiatic	Word Order
gel	Gela	4	NegVOS	-9.083	160.250	Oceanic	Austronesian	Word Order
bto	Batak (Toba)	4	NegVOS	2.500	99.000	Sumatra	Austronesian	Word Order
otm	Otomí (Mezquital)	4	NegVOS	20.167	-99.167	Otomian	Oto-Manguean	Word Order
anj	Anejom	4	NegVOS	-20.200	169.800	Oceanic	Austronesian	Word Order
cle	Chinantec (Lealao)	4	NegVOS	17.333	-95.917	Chinantecan	Oto-Manguean	Word Order
see	Seediq	4	NegVOS	24.167	121.417	Atayalic	Austronesian	Word Order
lgu	Longgu	4	NegVOS	-9.750	160.667	Oceanic	Austronesian	Word Order
tzo	Tzotzil	4	NegVOS	16.500	-92.667	Mayan	Mayan	Word Order
ckl	Chinook (Lower)	4	NegVOS	46.250	-123.500	Chinookan	Penutian	Word Order
tuk	Tukang Besi	4	NegVOS	-5.500	123.500	Sulawesi	Austronesian	Word Order
wem	Wembawemba	4	NegVOS	-35.333	144.000	Pama-Nyungan	Australian	Word Order
war	Wari'	4	NegVOS	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Word Order
krb	Kiribati	4	NegVOS	1.333	173.000	Oceanic	Austronesian	Word Order
baq	Baure	4	NegVOS	-13.083	-64.167	Arawakan	Arawakan	Word Order
mal	Malagasy	4	NegVOS	-20.000	47.000	Barito	Austronesian	Word Order
cem	Cèmuhî	4	NegVOS	-20.833	165.167	Oceanic	Austronesian	Word Order
