Dryer, Matthew S.. 2011. Verb-Initial with Preverbal Negative.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144V.
Available online at http://wals.info/feature/144V
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ign	Ignaciano	1	Separate word, no double negation	Word&NoDoubleNeg	-15.167	-65.417	Arawakan	Arawakan	Word Order
tah	Tahitian	1	Separate word, no double negation	Word&NoDoubleNeg	-17.667	-149.583	Oceanic	Austronesian	Word Order
jak	Jakaltek	1	Separate word, no double negation	Word&NoDoubleNeg	15.667	-91.667	Mayan	Mayan	Word Order
hei	Heiltsuk	1	Separate word, no double negation	Word&NoDoubleNeg	52.000	-127.500	Northern Wakashan	Wakashan	Word Order
mxc	Mixtec (Chalcatongo)	1	Separate word, no double negation	Word&NoDoubleNeg	17.050	-97.583	Mixtecan	Oto-Manguean	Word Order
zai	Zapotec (Isthmus)	1	Separate word, no double negation	Word&NoDoubleNeg	16.417	-95.000	Zapotecan	Oto-Manguean	Word Order
bch	Berber (Chaouia)	1	Separate word, no double negation	Word&NoDoubleNeg	35.000	7.000	Berber	Afro-Asiatic	Word Order
rov	Roviana	1	Separate word, no double negation	Word&NoDoubleNeg	-8.250	157.333	Oceanic	Austronesian	Word Order
ams	Arabic (Modern Standard)	1	Separate word, no double negation	Word&NoDoubleNeg	25.000	42.000	Semitic	Afro-Asiatic	Word Order
bwc	Bajau (West Coast)	1	Separate word, no double negation	Word&NoDoubleNeg	6.333	116.333	Sama-Bajaw	Austronesian	Word Order
anj	Anejom	1	Separate word, no double negation	Word&NoDoubleNeg	-20.200	169.800	Oceanic	Austronesian	Word Order
hlu	Halkomelem (Upriver)	1	Separate word, no double negation	Word&NoDoubleNeg	49.250	-121.917	Central Salish	Salishan	Word Order
chx	Chontal (Huamelultec Oaxaca)	1	Separate word, no double negation	Word&NoDoubleNeg	16.000	-95.750	Tequistlatecan	Tequistlatecan	Word Order
lgu	Longgu	1	Separate word, no double negation	Word&NoDoubleNeg	-9.750	160.667	Oceanic	Austronesian	Word Order
hil	Hiligaynon	1	Separate word, no double negation	Word&NoDoubleNeg	10.250	123.000	Meso-Philippine	Austronesian	Word Order
