Dryer, Matthew S.. 2011. Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144W.
Available online at http://wals.info/feature/144W
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kri	Kipea	1	Suffix&NoDoubleNeg	-10.000	-37.000	Kariri	Kariri	Word Order
mzc	Mazatec (Chiquihuitlán)	1	Suffix&NoDoubleNeg	17.750	-96.917	Popolocan	Oto-Manguean	Word Order
miy	Miya	2	Word&OnlyWithAnotherNeg	10.917	9.667	West Chadic	Afro-Asiatic	Word Order
cak	Cakchiquel	2	Word&OnlyWithAnotherNeg	14.500	-91.000	Mayan	Mayan	Word Order
lmg	Lamang	2	Word&OnlyWithAnotherNeg	11.250	13.583	Biu-Mandara	Afro-Asiatic	Word Order
hdi	Hdi	2	Word&OnlyWithAnotherNeg	11.867	13.717	Biu-Mandara	Afro-Asiatic	Word Order
kbl	Kabyle	2	Word&OnlyWithAnotherNeg	36.500	5.000	Berber	Afro-Asiatic	Word Order
dom	Domari	3	Suffix&OptDoubleNeg	32.000	35.000	Indic	Indo-European	Word Order
chj	Chuj	4	Suffix&OnlyWithAnotherNeg	15.917	-91.583	Mayan	Mayan	Word Order
pkt	Pokot	4	Suffix&OnlyWithAnotherNeg	1.500	35.500	Nilotic	Nilo-Saharan	Word Order
amr	Arabic (Moroccan)	4	Suffix&OnlyWithAnotherNeg	34.000	-6.000	Semitic	Afro-Asiatic	Word Order
wec	Welsh (Colloquial)	5	WordBetweenSAndO	52.750	-3.583	Celtic	Indo-European	Word Order
gel	Gela	6	None	-9.083	160.250	Oceanic	Austronesian	Word Order
otm	Otomí (Mezquital)	6	None	20.167	-99.167	Otomian	Oto-Manguean	Word Order
kdz	Kadazan	6	None	5.917	117.167	Northwest Malayo-Polynesian	Austronesian	Word Order
mwb	Manobo (Western Bukidnon)	6	None	7.667	124.750	Southern Philippines	Austronesian	Word Order
tbo	Tboli	6	None	6.167	124.500	South Mindanao	Austronesian	Word Order
qui	Quileute	6	None	47.917	-124.250	Chimakuan	Chimakuan	Word Order
cem	Cèmuhî	6	None	-20.833	165.167	Oceanic	Austronesian	Word Order
bco	Bella Coola	6	None	52.500	-126.667	Bella Coola	Salishan	Word Order
mmn	Mamanwa	6	None	9.417	125.500	Meso-Philippine	Austronesian	Word Order
tlp	Tlapanec	6	None	17.083	-99.000	Subtiaba-Tlapanec	Oto-Manguean	Word Order
yok	Yokuts (Yaudanchi)	6	None	36.083	-119.083	Yokuts	Penutian	Word Order
baq	Baure	6	None	-13.083	-64.167	Arawakan	Arawakan	Word Order
cso	Chatino (Sierra Occidental)	6	None	16.250	-97.333	Zapotecan	Oto-Manguean	Word Order
sml	Semelai	6	None	3.000	103.000	Aslian	Austro-Asiatic	Word Order
tho	Thompson	6	None	49.750	-121.750	Interior Salish	Salishan	Word Order
tsk	Tamashek	6	None	20.000	-2.000	Berber	Afro-Asiatic	Word Order
mxo	Mixtec (Ocotepec)	6	None	17.167	-97.750	Mixtecan	Oto-Manguean	Word Order
bbu	Barambu	6	None	3.500	27.000	Ubangi	Niger-Congo	Word Order
tzu	Tzutujil	6	None	14.667	-91.333	Mayan	Mayan	Word Order
nan	Nandi	6	None	0.250	35.000	Nilotic	Nilo-Saharan	Word Order
cya	Chatino (Yaitepec)	6	None	16.250	-97.250	Zapotecan	Oto-Manguean	Word Order
