Dryer, Matthew S.. 2011. Verb-Initial with Clause-Final Negative.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144X.
Available online at http://wals.info/feature/144X
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
pod	Podoko	1	NoDoubleNeg	11.000	14.083	Biu-Mandara	Afro-Asiatic	Word Order
meh	Mehri	1	NoDoubleNeg	17.000	51.500	Semitic	Afro-Asiatic	Word Order
lmg	Lamang	2	OptDoubleNeg	11.250	13.583	Biu-Mandara	Afro-Asiatic	Word Order
kro	Krongo	3	OnlyWithAnotherNeg	10.500	30.000	Kadugli	Kadugli	Word Order
hdi	Hdi	3	OnlyWithAnotherNeg	11.867	13.717	Biu-Mandara	Afro-Asiatic	Word Order
miy	Miya	3	OnlyWithAnotherNeg	10.917	9.667	West Chadic	Afro-Asiatic	Word Order
bbu	Barambu	3	OnlyWithAnotherNeg	3.500	27.000	Ubangi	Niger-Congo	Word Order
mxp	Mixtec (Peñoles)	4	No clause-final neg	17.083	-96.917	Mixtecan	Oto-Manguean	Word Order
tri	Trique (Copala)	4	No clause-final neg	17.167	-97.917	Mixtecan	Oto-Manguean	Word Order
pnn	Pangasinan	4	No clause-final neg	15.917	120.333	Northern Philippines	Austronesian	Word Order
haw	Hawaiian	4	No clause-final neg	19.583	-155.500	Oceanic	Austronesian	Word Order
tzo	Tzotzil	4	No clause-final neg	16.500	-92.667	Mayan	Mayan	Word Order
ik	Ik	4	No clause-final neg	3.750	34.167	Kuliak	Nilo-Saharan	Word Order
yap	Yapese	4	No clause-final neg	9.583	138.167	Yapese	Austronesian	Word Order
shp	Sahaptin (Northern)	4	No clause-final neg	46.500	-120.000	Sahaptian	Penutian	Word Order
nhh	Nahuatl (Huasteca)	4	No clause-final neg	22.000	-99.000	Aztecan	Uto-Aztecan	Word Order
wec	Welsh (Colloquial)	4	No clause-final neg	52.750	-3.583	Celtic	Indo-European	Word Order
nia	Nias	4	No clause-final neg	1.000	97.750	Sumatra	Austronesian	Word Order
ign	Ignaciano	4	No clause-final neg	-15.167	-65.417	Arawakan	Arawakan	Word Order
yag	Yagua	4	No clause-final neg	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Word Order
gjj	Guajajara	4	No clause-final neg	-5.000	-46.000	Tupi-Guaraní	Tupian	Word Order
bco	Bella Coola	4	No clause-final neg	52.500	-126.667	Bella Coola	Salishan	Word Order
oji	Ojibwa (Eastern)	4	No clause-final neg	46.000	-80.000	Algonquian	Algic	Word Order
zqo	Zoque (Ostuacan)	4	No clause-final neg	17.417	-93.300	Mixe-Zoque	Mixe-Zoque	Word Order
cpl	Chinantec (Palantla)	4	No clause-final neg	18.833	-96.750	Chinantecan	Oto-Manguean	Word Order
maa	Maasai	4	No clause-final neg	-3.000	36.000	Nilotic	Nilo-Saharan	Word Order
qum	Sipakapense	4	No clause-final neg	15.250	-91.750	Mayan	Mayan	Word Order
mxj	Mixtec (Jicaltepec)	4	No clause-final neg	16.333	-98.000	Mixtecan	Oto-Manguean	Word Order
zap	Zapotec (Mitla)	4	No clause-final neg	16.800	-96.250	Zapotecan	Oto-Manguean	Word Order
wya	Wyandot	4	No clause-final neg	44.333	-77.500	Northern Iroquoian	Iroquoian	Word Order
