Dryer, Matthew S.. 2011. The Position of Negative Morphemes in Object-Initial Languages.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 144Y.
Available online at http://wals.info/feature/144Y
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ung	Ungarinjin	1	ONegVS	-16.333	126.000	Wororan	Australian	Word Order
tvl	Tuvaluan	1	ONegVS	-8.500	179.167	Oceanic	Austronesian	Word Order
myi	Mangarrayi	1	ONegVS	-14.667	133.500	Mangarrayi	Australian	Word Order
sel	Selknam	2	OVNegS	-53.000	-70.000	Chon Proper	Chon	Word Order
kxo	Kxoe	3	OSVNeg	-17.500	22.500	Central Khoisan	Khoisan	Word Order
tir	Tiriyo	4	O[V-Neg]S	3.250	-55.750	Cariban	Cariban	Word Order
hix	Hixkaryana	4	O[V-Neg]S	-1.000	-59.000	Cariban	Cariban	Word Order
cub	Cubeo	4	O[V-Neg]S	1.333	-70.500	Tucanoan	Tucanoan	Word Order
urn	Urarina	4	O[V-Neg]S	-4.500	-75.500	Urarina	Urarina	Word Order
tbt	Tobati	5	OS(Neg)[V(-Neg)]	-2.583	140.667	Oceanic	Austronesian	Word Order
asu	Asuriní	6	O[Neg-V-Neg]S	-3.500	-49.500	Tupi-Guaraní	Tupian	Word Order
mac	Macushi	7	OVNegS/SOVNeg	4.000	-60.000	Cariban	Cariban	Word Order
wic	Wichita	8	NegOVS/NegSOV	33.333	-97.333	Caddoan	Caddoan	Word Order
apl	Apalaí	9	O[V-Neg]S/SO[V-Neg]	0.000	-54.000	Cariban	Cariban	Word Order
nad	Nadëb	10	O[Neg-V]S/NegSVO	-1.000	-66.500	Nadahup	Nadahup	Word Order
par	Päri	11	OVS & NegV	5.000	32.500	Nilotic	Nilo-Saharan	Word Order
