Goedemans, Rob & van der Hulst, Harry. 2011. Weight-Sensitive Stress.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 15A.
Available online at http://wals.info/feature/15A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
arc	Archi	1	Left-edge: First or second	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
ava	Avar	1	Left-edge: First or second	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
bqi	Basque (Basaburua and Imoz)	1	Left-edge: First or second	43.000	-1.667	Basque	Basque	Phonology
cap	Capanahua	1	Left-edge: First or second	-7.000	-74.000	Panoan	Panoan	Phonology
dhu	Dhurga	1	Left-edge: First or second	-35.667	150.000	Pama-Nyungan	Australian	Phonology
eka	Ekari	1	Left-edge: First or second	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
hop	Hopi	1	Left-edge: First or second	36.000	-110.000	Hopi	Uto-Aztecan	Phonology
lez	Lezgian	1	Left-edge: First or second	41.667	47.833	Lezgic	Nakh-Daghestanian	Phonology
lui	Luiseño	1	Left-edge: First or second	33.333	-117.167	Takic	Uto-Aztecan	Phonology
mne	Maidu (Northeast)	1	Left-edge: First or second	40.000	-120.667	Maiduan	Penutian	Phonology
mak	Makah	1	Left-edge: First or second	48.333	-124.667	Southern Wakashan	Wakashan	Phonology
mym	Malayalam	1	Left-edge: First or second	10.000	76.500	Southern Dravidian	Dravidian	Phonology
mdm	Madimadi	1	Left-edge: First or second	-34.500	143.500	Pama-Nyungan	Australian	Phonology
mcs	Miwok (Central Sierra)	1	Left-edge: First or second	38.000	-120.333	Miwok	Penutian	Phonology
mwn	Miwok (Northern Sierra)	1	Left-edge: First or second	38.333	-120.667	Miwok	Penutian	Phonology
mss	Miwok (Southern Sierra)	1	Left-edge: First or second	37.500	-120.000	Miwok	Penutian	Phonology
mlk	Malakmalak	1	Left-edge: First or second	-13.417	130.417	Northern Daly	Australian	Phonology
nep	Nepali	1	Left-edge: First or second	28.000	85.000	Indic	Indo-European	Phonology
ung	Ungarinjin	1	Left-edge: First or second	-16.333	126.000	Wororan	Australian	Phonology
yun	Yup'ik (Norton Sound)	1	Left-edge: First or second	64.000	-161.000	Eskimo	Eskimo-Aleut	Phonology
nya	Nyawaygi	1	Left-edge: First or second	-19.000	146.167	Pama-Nyungan	Australian	Phonology
oss	Ossetic	1	Left-edge: First or second	43.000	44.000	Iranian	Indo-European	Phonology
oto	Oto	1	Left-edge: First or second	40.500	-96.000	Siouan	Siouan	Phonology
ror	Roro	1	Left-edge: First or second	-8.750	146.583	Oceanic	Austronesian	Phonology
shk	Shipibo-Konibo	1	Left-edge: First or second	-7.500	-75.000	Panoan	Panoan	Phonology
tsh	Tümpisa Shoshone	1	Left-edge: First or second	37.000	-117.000	Numic	Uto-Aztecan	Phonology
skp	Selkup	1	Left-edge: First or second	65.000	82.000	Samoyedic	Uralic	Phonology
tps	Tepehuan (Southeastern)	1	Left-edge: First or second	23.000	-104.500	Tepiman	Uto-Aztecan	Phonology
dhw	Dharawal	1	Left-edge: First or second	-34.500	150.500	Pama-Nyungan	Australian	Phonology
bwa	Bandjalang (Waalubal)	1	Left-edge: First or second	-29.083	152.583	Pama-Nyungan	Australian	Phonology
wam	Wambaya	1	Left-edge: First or second	-18.667	135.750	West Barkly	Australian	Phonology
wrg	Warrgamay	1	Left-edge: First or second	-18.583	146.083	Pama-Nyungan	Australian	Phonology
yil	Yil	1	Left-edge: First or second	-3.533	142.150	Wapei-Palei	Torricelli	Phonology
yin	Yindjibarndi	1	Left-edge: First or second	-21.750	117.917	Pama-Nyungan	Australian	Phonology
ych	Yup'ik (Chevak)	1	Left-edge: First or second	61.500	-165.750	Eskimo	Eskimo-Aleut	Phonology
ypk	Yup'ik (Central)	1	Left-edge: First or second	59.500	-160.000	Eskimo	Eskimo-Aleut	Phonology
atq	Alutiiq	1	Left-edge: First or second	57.000	-157.000	Eskimo	Eskimo-Aleut	Phonology
ksh	Kashaya	2	Left-oriented: One of the first three	38.667	-123.333	Pomoan	Hokan	Phonology
lar	Laragia	2	Left-oriented: One of the first three	-12.667	130.833	Laragiyan	Australian	Phonology
akl	Aklanon	3	Right-edge: Ultimate or penultimate	11.583	122.333	Meso-Philippine	Austronesian	Phonology
sea	Southeast Ambrym	3	Right-edge: Ultimate or penultimate	-16.300	168.217	Oceanic	Austronesian	Phonology
apu	Apurinã	3	Right-edge: Ultimate or penultimate	-9.000	-67.000	Arawakan	Arawakan	Phonology
arg	Arabic (Gulf)	3	Right-edge: Ultimate or penultimate	26.000	49.000	Semitic	Afro-Asiatic	Phonology
awd	Awadhi	3	Right-edge: Ultimate or penultimate	27.500	81.500	Indic	Indo-European	Phonology
bgv	Bagvalal	3	Right-edge: Ultimate or penultimate	42.583	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
bna	Banawá	3	Right-edge: Ultimate or penultimate	-7.000	-65.000	Arauan	Arauan	Phonology
bgg	Banggai	3	Right-edge: Ultimate or penultimate	-1.417	123.167	Sulawesi	Austronesian	Phonology
bqh	Basque (Hondarribia)	3	Right-edge: Ultimate or penultimate	42.500	-3.000	Basque	Basque	Phonology
bso	Basque (Souletin)	3	Right-edge: Ultimate or penultimate	43.500	-1.500	Basque	Basque	Phonology
meb	Melayu Betawi	3	Right-edge: Ultimate or penultimate	-6.500	107.000	Creoles and Pidgins	other	Phonology
mun	Mundari	3	Right-edge: Ultimate or penultimate	23.000	84.667	Munda	Austro-Asiatic	Phonology
bkl	Bikol	3	Right-edge: Ultimate or penultimate	13.333	123.500	Meso-Philippine	Austronesian	Phonology
bui	Buli (in Indonesia)	3	Right-edge: Ultimate or penultimate	1.000	128.500	South Halmahera - West New Guinea	Austronesian	Phonology
ctl	Catalan	3	Right-edge: Ultimate or penultimate	41.750	2.000	Romance	Indo-European	Phonology
ceb	Cebuano	3	Right-edge: Ultimate or penultimate	10.000	124.000	Meso-Philippine	Austronesian	Phonology
epe	Epena Pedee	3	Right-edge: Ultimate or penultimate	3.000	-77.000	Choco	Choco	Phonology
emc	Embera Chami	3	Right-edge: Ultimate or penultimate	5.000	-76.000	Choco	Choco	Phonology
eve	Evenki	3	Right-edge: Ultimate or penultimate	56.000	125.000	Tungusic	Altaic	Phonology
fij	Fijian	3	Right-edge: Ultimate or penultimate	-17.833	178.000	Oceanic	Austronesian	Phonology
fre	French	3	Right-edge: Ultimate or penultimate	48.000	2.000	Romance	Indo-European	Phonology
gay	Gayo	3	Right-edge: Ultimate or penultimate	4.500	97.500	Gayo	Austronesian	Phonology
guj	Gujarati	3	Right-edge: Ultimate or penultimate	23.000	72.000	Indic	Indo-European	Phonology
coo	Coos (Hanis)	3	Right-edge: Ultimate or penultimate	43.500	-124.167	Coosan	Oregon Coast	Phonology
hzb	Hunzib	3	Right-edge: Ultimate or penultimate	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
iga	Inga	3	Right-edge: Ultimate or penultimate	1.000	-77.000	Quechuan	Quechuan	Phonology
ita	Italian	3	Right-edge: Ultimate or penultimate	43.000	12.000	Romance	Indo-European	Phonology
jav	Javanese	3	Right-edge: Ultimate or penultimate	-7.000	111.000	Javanese	Austronesian	Phonology
bkr	Batak (Karo)	3	Right-edge: Ultimate or penultimate	3.250	98.250	Sumatra	Austronesian	Phonology
kws	Kawaiisu	3	Right-edge: Ultimate or penultimate	36.000	-117.500	Numic	Uto-Aztecan	Phonology
klv	Kilivila	3	Right-edge: Ultimate or penultimate	-8.500	151.083	Oceanic	Austronesian	Phonology
koa	Koasati	3	Right-edge: Ultimate or penultimate	34.833	-85.167	Muskogean	Muskogean	Phonology
kuz	Kulamanen	3	Right-edge: Ultimate or penultimate	7.750	125.000	Southern Philippines	Austronesian	Phonology
lmh	Lamaholot	3	Right-edge: Ultimate or penultimate	-8.250	122.917	Central Malayo-Polynesian	Austronesian	Phonology
let	Leti	3	Right-edge: Ultimate or penultimate	-8.200	127.667	Central Malayo-Polynesian	Austronesian	Phonology
mrs	Mairasi	3	Right-edge: Ultimate or penultimate	-3.500	134.000	Mairasi-Tanahmerah	Trans-New Guinea	Phonology
mlc	Malacca Creole	3	Right-edge: Ultimate or penultimate	2.200	102.250	Creoles and Pidgins	other	Phonology
mly	Malay	3	Right-edge: Ultimate or penultimate	3.000	102.000	Malayic	Austronesian	Phonology
mlt	Maltese	3	Right-edge: Ultimate or penultimate	35.917	14.417	Semitic	Afro-Asiatic	Phonology
mng	Manggarai	3	Right-edge: Ultimate or penultimate	-8.500	120.333	Central Malayo-Polynesian	Austronesian	Phonology
die	Diegueño (Mesa Grande)	3	Right-edge: Ultimate or penultimate	32.667	-116.167	Yuman	Hokan	Phonology
crk	Creek	3	Right-edge: Ultimate or penultimate	34.000	-85.000	Muskogean	Muskogean	Phonology
ngd	Ngad'a	3	Right-edge: Ultimate or penultimate	-8.833	121.000	Central Malayo-Polynesian	Austronesian	Phonology
plb	Polabian	3	Right-edge: Ultimate or penultimate	51.000	12.833	Slavic	Indo-European	Phonology
por	Portuguese	3	Right-edge: Ultimate or penultimate	39.000	-8.000	Romance	Indo-European	Phonology
occ	Occitan	3	Right-edge: Ultimate or penultimate	44.000	2.000	Romance	Indo-European	Phonology
rsm	Romansch (Surmeiran)	3	Right-edge: Ultimate or penultimate	46.583	9.750	Romance	Indo-European	Phonology
rot	Rotuman	3	Right-edge: Ultimate or penultimate	-12.500	177.067	Oceanic	Austronesian	Phonology
rom	Romanian	3	Right-edge: Ultimate or penultimate	46.000	25.000	Romance	Indo-European	Phonology
sak	Sakao	3	Right-edge: Ultimate or penultimate	-15.167	167.083	Oceanic	Austronesian	Phonology
srd	Sardinian	3	Right-edge: Ultimate or penultimate	40.000	9.000	Romance	Indo-European	Phonology
swi	Sawai	3	Right-edge: Ultimate or penultimate	0.500	128.000	South Halmahera - West New Guinea	Austronesian	Phonology
sru	Selaru	3	Right-edge: Ultimate or penultimate	-8.200	131.000	Central Malayo-Polynesian	Austronesian	Phonology
snt	Sentani	3	Right-edge: Ultimate or penultimate	-2.583	140.583	Sentani	Sentani	Phonology
sio	Sio	3	Right-edge: Ultimate or penultimate	-5.950	147.333	Oceanic	Austronesian	Phonology
spa	Spanish	3	Right-edge: Ultimate or penultimate	40.000	-4.000	Romance	Indo-European	Phonology
sun	Sundanese	3	Right-edge: Ultimate or penultimate	-7.000	107.000	Sundanese	Austronesian	Phonology
tns	Tanna (Southwest)	3	Right-edge: Ultimate or penultimate	-19.567	169.333	Oceanic	Austronesian	Phonology
tgw	Tarangan (West)	3	Right-edge: Ultimate or penultimate	-6.500	134.167	Central Malayo-Polynesian	Austronesian	Phonology
tlo	Tobelo	3	Right-edge: Ultimate or penultimate	1.500	128.500	North Halmaheran	West Papuan	Phonology
tol	Tol	3	Right-edge: Ultimate or penultimate	14.667	-87.000	Tol	Tol	Phonology
tng	Tongan	3	Right-edge: Ultimate or penultimate	-21.167	-175.167	Oceanic	Austronesian	Phonology
tnt	Tontemboan	3	Right-edge: Ultimate or penultimate	1.083	124.500	Sulawesi	Austronesian	Phonology
wlo	Wolio	3	Right-edge: Ultimate or penultimate	-5.500	122.750	Sulawesi	Austronesian	Phonology
yap	Yapese	3	Right-edge: Ultimate or penultimate	9.583	138.167	Yapese	Austronesian	Phonology
arh	Arabic (Hijazi)	4	Right-oriented: One of the last three	26.000	38.000	Semitic	Afro-Asiatic	Phonology
abe	Arabic (Beirut)	4	Right-oriented: One of the last three	33.917	35.500	Semitic	Afro-Asiatic	Phonology
asy	Arabic (Syrian)	4	Right-oriented: One of the last three	34.000	38.000	Semitic	Afro-Asiatic	Phonology
aeg	Arabic (Egyptian)	4	Right-oriented: One of the last three	30.000	31.000	Semitic	Afro-Asiatic	Phonology
arl	Arabic (Lebanese)	4	Right-oriented: One of the last three	34.000	36.000	Semitic	Afro-Asiatic	Phonology
ael	Arabic (Eastern Libyan)	4	Right-oriented: One of the last three	32.000	22.000	Semitic	Afro-Asiatic	Phonology
apa	Arabic (Palestinian)	4	Right-oriented: One of the last three	32.000	35.250	Semitic	Afro-Asiatic	Phonology
bej	Beja	4	Right-oriented: One of the last three	18.000	36.000	Beja	Afro-Asiatic	Phonology
bho	Bhojpuri	4	Right-oriented: One of the last three	26.000	84.000	Indic	Indo-European	Phonology
cyg	Cayuga	4	Right-oriented: One of the last three	42.750	-76.750	Northern Iroquoian	Iroquoian	Phonology
cha	Chamorro	4	Right-oriented: One of the last three	13.450	144.750	Chamorro	Austronesian	Phonology
dut	Dutch	4	Right-oriented: One of the last three	52.500	6.000	Germanic	Indo-European	Phonology
eng	English	4	Right-oriented: One of the last three	52.000	0.000	Germanic	Indo-European	Phonology
ger	German	4	Right-oriented: One of the last three	52.000	10.000	Germanic	Indo-European	Phonology
hin	Hindi	4	Right-oriented: One of the last three	25.000	77.000	Indic	Indo-European	Phonology
knm	Kunama	4	Right-oriented: One of the last three	14.500	37.000	Kunama	Nilo-Saharan	Phonology
mai	Maithili	4	Right-oriented: One of the last three	26.000	86.000	Indic	Indo-European	Phonology
mnm	Manam	4	Right-oriented: One of the last three	-4.000	145.000	Oceanic	Austronesian	Phonology
mse	Munsee	4	Right-oriented: One of the last three	41.500	-74.667	Algonquian	Algic	Phonology
prh	Pirahã	4	Right-oriented: One of the last three	-7.000	-62.000	Mura	Mura	Phonology
nor	Norwegian	4	Right-oriented: One of the last three	61.000	8.000	Germanic	Indo-European	Phonology
psm	Passamaquoddy-Maliseet	4	Right-oriented: One of the last three	45.000	-67.000	Algonquian	Algic	Phonology
snc	Seneca	4	Right-oriented: One of the last three	42.500	-77.500	Northern Iroquoian	Iroquoian	Phonology
swe	Swedish	4	Right-oriented: One of the last three	60.000	15.000	Germanic	Indo-European	Phonology
tbl	Tabla	4	Right-oriented: One of the last three	-2.450	140.417	Sentani	Sentani	Phonology
tno	Tondano	4	Right-oriented: One of the last three	1.250	125.000	Sulawesi	Austronesian	Phonology
unm	Unami	4	Right-oriented: One of the last three	40.000	-75.167	Algonquian	Algic	Phonology
agu	Aguacatec	5	Unbounded: Stress can be anywhere	15.417	-91.333	Mayan	Mayan	Phonology
ame	Amele	5	Unbounded: Stress can be anywhere	-5.250	145.583	Madang	Trans-New Guinea	Phonology
arm	Armenian (Eastern)	5	Unbounded: Stress can be anywhere	40.000	45.000	Armenian	Indo-European	Phonology
