Goedemans, Rob & van der Hulst, Harry. 2011. Weight Factors in Weight-Sensitive Stress Systems.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 16A.
Available online at http://wals.info/feature/16A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
acg	Achagua	1	No weight	4.417	-72.250	Arawakan	Arawakan	Phonology
alw	Alawa	1	No weight	-15.167	134.250	Maran	Australian	Phonology
aln	Alune	1	No weight	-3.000	128.333	Central Malayo-Polynesian	Austronesian	Phonology
aly	Alyawarra	1	No weight	-22.500	135.000	Pama-Nyungan	Australian	Phonology
kap	Kela (Apoze)	1	No weight	-7.417	147.083	Oceanic	Austronesian	Phonology
atb	Aralle-Tabulahan	1	No weight	-2.750	119.250	Sulawesi	Austronesian	Phonology
naj	Neo-Aramaic (Arbel Jewish)	1	No weight	31.750	35.000	Semitic	Afro-Asiatic	Phonology
ana	Araona	1	No weight	-12.333	-67.750	Tacanan	Tacanan	Phonology
aro	Arosi	1	No weight	-10.250	161.333	Oceanic	Austronesian	Phonology
awe	Arrernte (Western)	1	No weight	-24.000	132.500	Pama-Nyungan	Australian	Phonology
nsy	Neo-Aramaic (Assyrian)	1	No weight	36.000	41.000	Semitic	Afro-Asiatic	Phonology
awt	Awtuw	1	No weight	-3.583	142.000	Ram	Sepik	Phonology
aym	Aymara	1	No weight	-17.000	-69.000	Aymaran	Aymaran	Phonology
bdm	Badimaya	1	No weight	-27.667	118.000	Pama-Nyungan	Australian	Phonology
bag	Bagirmi	1	No weight	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Phonology
pkn	Paakantyi	1	No weight	-32.500	142.500	Pama-Nyungan	Australian	Phonology
blk	Balantak	1	No weight	-0.833	123.250	Sulawesi	Austronesian	Phonology
bal	Balinese	1	No weight	-8.333	115.250	Bali-Sasak	Austronesian	Phonology
bbm	Bambam	1	No weight	-3.083	119.083	Sulawesi	Austronesian	Phonology
bna	Banawá	1	No weight	-7.000	-65.000	Arauan	Arauan	Phonology
bnl	Banggarla	1	No weight	-32.000	137.000	Pama-Nyungan	Australian	Phonology
bnt	Bantik	1	No weight	1.417	124.750	Sulawesi	Austronesian	Phonology
bae	Baré	1	No weight	1.000	-67.000	Arawakan	Arawakan	Phonology
bsk	Bashkir	1	No weight	53.000	58.000	Turkic	Altaic	Phonology
bqb	Basque (Bidasoa Valley)	1	No weight	43.000	-3.833	Basque	Basque	Phonology
bql	Basque (Lekeitio)	1	No weight	43.000	-2.500	Basque	Basque	Phonology
bqn	Basque (Northern High Navarrese)	1	No weight	43.333	-2.500	Basque	Basque	Phonology
bqo	Basque (Oñati)	1	No weight	42.500	-3.500	Basque	Basque	Phonology
bqr	Basque (Roncalese)	1	No weight	43.000	-2.000	Basque	Basque	Phonology
bqs	Basque (Sakana)	1	No weight	42.500	-2.000	Basque	Basque	Phonology
baw	Bawm	1	No weight	22.500	92.250	Kuki-Chin	Sino-Tibetan	Phonology
bej	Beja	1	No weight	18.000	36.000	Beja	Afro-Asiatic	Phonology
ben	Bengali	1	No weight	24.000	90.000	Indic	Indo-European	Phonology
bik	Biak	1	No weight	-1.000	136.000	South Halmahera - West New Guinea	Austronesian	Phonology
bim	Bima	1	No weight	-8.500	118.500	Central Malayo-Polynesian	Austronesian	Phonology
bre	Breton	1	No weight	48.000	-3.000	Celtic	Indo-European	Phonology
bug	Bugis	1	No weight	-4.000	120.000	Sulawesi	Austronesian	Phonology
arp	Arapesh (Mountain)	1	No weight	-3.467	143.167	Kombio-Arapesh	Torricelli	Phonology
bua	Burarra	1	No weight	-12.250	134.583	Burarran	Australian	Phonology
buu	Buru	1	No weight	-3.500	126.500	Central Malayo-Polynesian	Austronesian	Phonology
cpa	Campa Pajonal Asheninca	1	No weight	-10.667	-74.250	Arawakan	Arawakan	Phonology
ckr	Canela-Krahô	1	No weight	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
cav	Cavineña	1	No weight	-13.333	-66.500	Tacanan	Tacanan	Phonology
cyv	Cayuvava	1	No weight	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
cya	Chatino (Yaitepec)	1	No weight	16.250	-97.250	Zapotecan	Oto-Manguean	Phonology
cpn	Chepang	1	No weight	27.667	84.750	Bodic	Sino-Tibetan	Phonology
cle	Chinantec (Lealao)	1	No weight	17.333	-95.917	Chinantecan	Oto-Manguean	Phonology
chk	Chukchi	1	No weight	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
cmn	Comanche	1	No weight	33.500	-101.500	Numic	Uto-Aztecan	Phonology
crn	Cornish	1	No weight	50.333	-5.000	Celtic	Indo-European	Phonology
cre	Cree (Plains)	1	No weight	54.000	-110.000	Algonquian	Algic	Phonology
cup	Cupeño	1	No weight	33.167	-116.500	Takic	Uto-Aztecan	Phonology
cze	Czech	1	No weight	50.000	15.000	Slavic	Indo-European	Phonology
daa	Da'a	1	No weight	-1.000	119.583	Sulawesi	Austronesian	Phonology
dak	Dakota	1	No weight	45.000	-93.500	Siouan	Siouan	Phonology
dri	Dari	1	No weight	35.000	66.000	Iranian	Indo-European	Phonology
dre	Drehu	1	No weight	-21.000	167.250	Oceanic	Austronesian	Phonology
diy	Diyari	1	No weight	-28.000	139.000	Pama-Nyungan	Australian	Phonology
dio	Diola-Fogny	1	No weight	13.000	-16.250	Northern Atlantic	Niger-Congo	Phonology
dji	Djingili	1	No weight	-17.750	134.000	West Barkly	Australian	Phonology
dou	Doutai	1	No weight	-3.333	138.167	Lakes Plain	Lakes Plain	Phonology
dyi	Dyirbal	1	No weight	-17.833	145.583	Pama-Nyungan	Australian	Phonology
mae	Mae	1	No weight	-16.000	167.250	Oceanic	Austronesian	Phonology
eno	Enggano	1	No weight	-5.417	102.250	Sumatra	Austronesian	Phonology
ese	Ese Ejja	1	No weight	-11.000	-66.000	Tacanan	Tacanan	Phonology
far	Faroese	1	No weight	62.000	-7.000	Germanic	Indo-European	Phonology
prs	Persian	1	No weight	32.000	54.000	Iranian	Indo-European	Phonology
fin	Finnish	1	No weight	62.000	25.000	Finnic	Uralic	Phonology
frd	Fordata	1	No weight	-6.750	131.500	Central Malayo-Polynesian	Austronesian	Phonology
glp	Gaalpu	1	No weight	-12.667	136.750	Pama-Nyungan	Australian	Phonology
gae	Gaelic (Scots)	1	No weight	57.000	-4.000	Celtic	Indo-European	Phonology
gll	Galela	1	No weight	2.417	128.333	North Halmaheran	West Papuan	Phonology
grr	Garrwa	1	No weight	-17.083	137.167	Garrwan	Australian	Phonology
geo	Georgian	1	No weight	42.000	44.000	Kartvelian	Kartvelian	Phonology
niv	Nivkh	1	No weight	53.333	142.000	Nivkh	Nivkh	Phonology
gua	Guaraní	1	No weight	-26.000	-56.000	Tupi-Guaraní	Tupian	Phonology
guu	Guugu Yimidhirr	1	No weight	-15.000	144.833	Pama-Nyungan	Australian	Phonology
bbw	Bininj Gun-Wok	1	No weight	-12.500	133.750	Gunwinygic	Australian	Phonology
hln	Halang	1	No weight	14.500	107.500	Bahnaric	Austro-Asiatic	Phonology
coo	Coos (Hanis)	1	No weight	43.500	-124.167	Coosan	Oregon Coast	Phonology
heb	Hebrew (Modern)	1	No weight	31.500	34.833	Semitic	Afro-Asiatic	Phonology
wnb	Winnebago	1	No weight	43.500	-88.500	Siouan	Siouan	Phonology
hmu	Huitoto (Muinane)	1	No weight	-2.417	-71.000	Huitoto	Huitotoan	Phonology
iaa	Iaai	1	No weight	-20.417	166.583	Oceanic	Austronesian	Phonology
ice	Icelandic	1	No weight	65.000	-17.000	Germanic	Indo-European	Phonology
ind	Indonesian	1	No weight	0.000	106.000	Malayic	Austronesian	Phonology
ing	Ingush	1	No weight	43.167	45.083	Nakh	Nakh-Daghestanian	Phonology
irr	Irarutu	1	No weight	-3.000	133.500	South Halmahera - West New Guinea	Austronesian	Phonology
jak	Jakaltek	1	No weight	15.667	-91.667	Mayan	Mayan	Phonology
jaq	Jaqaru	1	No weight	-13.000	-76.000	Aymaran	Aymaran	Phonology
jua	Juat	1	No weight	-31.000	115.500	Pama-Nyungan	Australian	Phonology
kaw	Kaiwá	1	No weight	-23.000	-55.000	Tupi-Guaraní	Tupian	Phonology
kal	Kalami	1	No weight	35.500	72.500	Indic	Indo-European	Phonology
klp	Kalapuya	1	No weight	44.500	-123.000	Kalapuyan	Kalapuyan	Phonology
kgu	Kalkatungu	1	No weight	-21.000	139.500	Pama-Nyungan	Australian	Phonology
kam	Kambera	1	No weight	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Phonology
kei	Kei	1	No weight	-5.833	132.917	Central Malayo-Polynesian	Austronesian	Phonology
khs	Khasi	1	No weight	25.500	92.000	Khasian	Austro-Asiatic	Phonology
kmu	Khmu'	1	No weight	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Phonology
ksr	Kisar	1	No weight	-8.083	127.117	Central Malayo-Polynesian	Austronesian	Phonology
kit	Kitsai	1	No weight	31.833	-96.500	Caddoan	Caddoan	Phonology
kob	Kobon	1	No weight	-5.167	144.333	Madang	Trans-New Guinea	Phonology
gug	Gugada	1	No weight	-30.000	134.000	Pama-Nyungan	Australian	Phonology
kon	Kongo	1	No weight	-5.000	15.000	Bantoid	Niger-Congo	Phonology
kjo	Konjo	1	No weight	-5.467	120.333	Sulawesi	Austronesian	Phonology
kfe	Koromfe	1	No weight	14.250	-0.917	Gur	Niger-Congo	Phonology
tla	Tolai	1	No weight	-4.250	152.083	Oceanic	Austronesian	Phonology
kya	Kuku-Yalanji	1	No weight	-16.000	145.000	Pama-Nyungan	Australian	Phonology
kjn	Kunjen	1	No weight	-16.500	142.500	Pama-Nyungan	Australian	Phonology
kwa	Kwaio	1	No weight	-8.950	161.000	Oceanic	Austronesian	Phonology
lmp	Lampung	1	No weight	-5.000	105.000	Lampungic	Austronesian	Phonology
