Goedemans, Rob & van der Hulst, Harry. 2011. Rhythm Types.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 17A.
Available online at http://wals.info/feature/17A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ace	Acehnese	1	Trochaic	5.500	95.500	Malayic	Austronesian	Phonology
aly	Alyawarra	1	Trochaic	-22.500	135.000	Pama-Nyungan	Australian	Phonology
apu	Apurinã	1	Trochaic	-9.000	-67.000	Arawakan	Arawakan	Phonology
abe	Arabic (Beirut)	1	Trochaic	33.917	35.500	Semitic	Afro-Asiatic	Phonology
asy	Arabic (Syrian)	1	Trochaic	34.000	38.000	Semitic	Afro-Asiatic	Phonology
aeg	Arabic (Egyptian)	1	Trochaic	30.000	31.000	Semitic	Afro-Asiatic	Phonology
arv	Arabic (Negev)	1	Trochaic	30.500	34.750	Semitic	Afro-Asiatic	Phonology
apa	Arabic (Palestinian)	1	Trochaic	32.000	35.250	Semitic	Afro-Asiatic	Phonology
awe	Arrernte (Western)	1	Trochaic	-24.000	132.500	Pama-Nyungan	Australian	Phonology
awt	Awtuw	1	Trochaic	-3.583	142.000	Ram	Sepik	Phonology
bdm	Badimaya	1	Trochaic	-27.667	118.000	Pama-Nyungan	Australian	Phonology
pkn	Paakantyi	1	Trochaic	-32.500	142.500	Pama-Nyungan	Australian	Phonology
blk	Balantak	1	Trochaic	-0.833	123.250	Sulawesi	Austronesian	Phonology
bna	Banawá	1	Trochaic	-7.000	-65.000	Arauan	Arauan	Phonology
bkl	Bikol	1	Trochaic	13.333	123.500	Meso-Philippine	Austronesian	Phonology
bur	Burushaski	1	Trochaic	36.500	74.500	Burushaski	Burushaski	Phonology
cah	Cahuilla	1	Trochaic	33.500	-116.250	Takic	Uto-Aztecan	Phonology
cap	Capanahua	1	Trochaic	-7.000	-74.000	Panoan	Panoan	Phonology
cav	Cavineña	1	Trochaic	-13.333	-66.500	Tacanan	Tacanan	Phonology
cyv	Cayuvava	1	Trochaic	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
cmn	Comanche	1	Trochaic	33.500	-101.500	Numic	Uto-Aztecan	Phonology
crn	Cornish	1	Trochaic	50.333	-5.000	Celtic	Indo-European	Phonology
cre	Cree (Plains)	1	Trochaic	54.000	-110.000	Algonquian	Algic	Phonology
cze	Czech	1	Trochaic	50.000	15.000	Slavic	Indo-European	Phonology
dri	Dari	1	Trochaic	35.000	66.000	Iranian	Indo-European	Phonology
dre	Drehu	1	Trochaic	-21.000	167.250	Oceanic	Austronesian	Phonology
diy	Diyari	1	Trochaic	-28.000	139.000	Pama-Nyungan	Australian	Phonology
dji	Djingili	1	Trochaic	-17.750	134.000	West Barkly	Australian	Phonology
dut	Dutch	1	Trochaic	52.500	6.000	Germanic	Indo-European	Phonology
dyi	Dyirbal	1	Trochaic	-17.833	145.583	Pama-Nyungan	Australian	Phonology
eng	English	1	Trochaic	52.000	0.000	Germanic	Indo-European	Phonology
ese	Ese Ejja	1	Trochaic	-11.000	-66.000	Tacanan	Tacanan	Phonology
est	Estonian	1	Trochaic	59.000	26.000	Finnic	Uralic	Phonology
fij	Fijian	1	Trochaic	-17.833	178.000	Oceanic	Austronesian	Phonology
fin	Finnish	1	Trochaic	62.000	25.000	Finnic	Uralic	Phonology
grr	Garrwa	1	Trochaic	-17.083	137.167	Garrwan	Australian	Phonology
kay	Kayardild	1	Trochaic	-17.050	139.500	Tangkic	Australian	Phonology
gay	Gayo	1	Trochaic	4.500	97.500	Gayo	Austronesian	Phonology
geo	Georgian	1	Trochaic	42.000	44.000	Kartvelian	Kartvelian	Phonology
ger	German	1	Trochaic	52.000	10.000	Germanic	Indo-European	Phonology
goo	Gooniyandi	1	Trochaic	-18.333	126.333	Bunuban	Australian	Phonology
grk	Greek (Modern)	1	Trochaic	39.000	22.000	Greek	Indo-European	Phonology
guu	Guugu Yimidhirr	1	Trochaic	-15.000	144.833	Pama-Nyungan	Australian	Phonology
haw	Hawaiian	1	Trochaic	19.583	-155.500	Oceanic	Austronesian	Phonology
heb	Hebrew (Modern)	1	Trochaic	31.500	34.833	Semitic	Afro-Asiatic	Phonology
